date	precipitation	temperature	discharge_spec
19960930	0.66	8.49	1.57
19961001	0.58	7.72	0.75
19961002	0.35	12.06	0.54
19961003	7.91	9.7	0.45
19961004	5.74	8.74	0.6
19961005	0.3	9.28	0.79
19961006	0.13	11.61	0.82
19961007	3.38	11.21	0.6
19961008	1.93	6.5	0.52
19961009	0.33	8.71	0.5
19961010	0.01	8.18	0.43
19961011	0.0	11.03	0.39
19961012	0.0	12.32	0.35
19961013	1.83	13.08	0.33
19961014	17.43	10.46	0.33
19961015	8.25	7.34	0.44
19961016	3.84	7.03	0.73
19961017	7.24	8.83	0.88
19961018	4.62	10.34	0.91
19961019	3.28	11.6	1.24
19961020	9.17	11.1	1.13
19961021	0.83	10.88	2.44
19961022	0.22	12.11	1.42
19961023	1.09	13.24	1.07
19961024	5.75	12.88	0.85
19961025	12.81	8.82	0.81
19961026	19.85	10.47	1.43
19961027	6.7	11.83	3.34
19961028	17.91	9.14	3.92
19961029	0.06	7.21	6.25
19961030	4.54	9.5	2.98
19961031	16.21	9.91	3.15
19961101	8.65	11.82	5.93
19961102	4.51	12.88	4.52
19961103	12.43	11.07	4.11
19961104	9.84	8.59	5.25
19961105	11.61	9.64	5.34
19961106	12.55	7.95	6.34
19961107	3.18	3.29	6.34
19961108	2.82	4.6	5.11
19961109	0.22	3.05	3.7
19961110	0.11	1.91	3.06
19961111	3.8	2.85	2.51
19961112	0.09	2.15	2.23
19961113	0.6	3.94	1.96
19961114	0.36	6.48	1.46
19961115	0.49	7.23	1.23
19961116	4.7	6.96	1.09
19961117	0.08	1.07	1.06
19961118	9.94	1.27	1.15
19961119	4.95	1.07	1.2
19961120	1.69	0.48	1.51
19961121	2.46	1.03	1.51
19961122	1.57	0.98	1.22
19961123	1.86	1.51	1.35
19961124	18.64	4.79	1.56
19961125	2.05	4.01	5.84
19961126	0.76	2.63	3.86
19961127	0.07	0.35	2.7
19961128	19.26	4.25	2.15
19961129	5.82	6.28	5.84
19961130	1.04	6.98	5.43
19961201	6.52	7.15	3.81
19961202	18.81	6.56	3.53
19961203	12.22	5.59	7.39
19961204	2.74	2.34	8.3
19961205	0.08	1.16	6.29
19961206	0.04	0.13	4.21
19961207	0.06	-0.34	3.22
19961208	0.05	0.62	2.72
19961209	0.12	1.94	2.36
19961210	0.03	1.07	2.03
19961211	0.01	1.5	1.74
19961212	0.26	1.52	1.42
19961213	0.02	-1.04	1.2
