date	precipitation	temperature	discharge_spec
19960930	0.05	8.57	0.18
19961001	0.11	8.02	0.18
19961002	0.06	12.24	0.18
19961003	6.21	9.62	0.18
19961004	3.68	8.55	0.18
19961005	0.23	9.61	0.17
19961006	0.16	11.7	0.17
19961007	2.13	11.27	0.17
19961008	1.67	6.45	0.18
19961009	0.24	9.32	0.18
19961010	0.02	8.32	0.17
19961011	0.0	11.2	0.17
19961012	0.0	12.0	0.16
19961013	1.96	12.36	0.16
19961014	19.75	10.37	0.21
19961015	5.35	7.62	0.23
19961016	1.7	7.22	0.21
19961017	6.7	9.27	0.19
19961018	3.32	10.36	0.19
19961019	2.05	11.86	0.18
19961020	5.88	10.67	0.18
19961021	0.99	10.68	0.18
19961022	0.28	11.44	0.19
19961023	1.75	11.99	0.18
19961024	3.96	12.49	0.17
19961025	7.89	8.78	0.18
19961026	12.89	10.78	0.19
19961027	4.59	11.55	0.27
19961028	13.09	9.61	0.37
19961029	0.03	6.97	0.43
19961030	3.1	9.46	0.37
19961031	14.57	9.76	0.5
19961101	5.39	11.79	0.57
19961102	3.1	12.73	0.54
19961103	9.36	11.23	0.51
19961104	8.83	8.89	0.76
19961105	6.15	9.73	0.86
19961106	9.66	7.68	0.93
19961107	3.35	3.52	1.15
19961108	1.13	4.01	1.09
19961109	0.51	3.0	1.04
19961110	0.09	2.72	0.99
19961111	3.21	2.8	0.95
19961112	0.03	2.56	0.87
19961113	0.28	3.76	0.77
19961114	0.39	6.4	0.7
19961115	0.93	6.95	0.64
19961116	3.79	7.02	0.6
19961117	0.67	1.27	0.57
19961118	12.26	1.16	0.56
19961119	8.33	0.3	0.75
19961120	1.56	0.24	0.98
19961121	3.25	0.49	0.95
19961122	2.57	1.09	0.91
19961123	1.31	1.68	0.91
19961124	14.48	3.84	1.5
19961125	2.64	4.3	2.65
19961126	0.04	2.07	2.51
19961127	1.36	-0.28	2.09
19961128	8.95	3.37	1.88
19961129	4.44	6.44	2.08
19961130	0.28	6.92	2.0
19961201	5.02	6.83	1.91
19961202	17.31	6.26	1.98
19961203	6.66	5.8	3.47
19961204	2.32	1.97	3.24
19961205	0.09	1.62	2.9
19961206	0.0	0.54	2.53
19961207	0.02	-0.9	2.23
19961208	0.05	0.21	1.99
19961209	0.24	1.3	1.81
19961210	0.15	1.11	1.64
19961211	0.01	1.62	1.51
19961212	0.03	1.55	1.41
19961213	0.0	-0.94	1.31
19961214	0.33	1.64	1.22
19961215	0.29	5.31	1.14
19961216	1.16	1.83	1.1
19961217	1.81	4.9	1.06
19961218	6.44	6.82	1.1
19961219	5.47	2.61	1.13
19961220	0.72	1.18	1.16
19961221	0.0	-0.52	1.11
19961222	0.0	0.46	1.07
19961223	0.0	-0.22	1.05
19961224	0.0	-0.31	1.02
19961225	0.01	-1.45	0.96
19961226	0.33	-1.11	0.92
19961227	0.29	1.68	0.9
19961228	0.02	-1.68	0.87
19961229	0.57	0.06	0.84
19961230	1.44	-1.23	0.83
19961231	1.65	-3.65	0.81
19970101	1.1	-5.85	0.77
19970102	0.11	-3.43	0.75
19970103	0.11	-2.26	0.75
19970104	0.04	-1.07	0.73
19970105	0.26	-0.45	0.7
19970106	0.09	-1.19	0.69
19970107	0.0	-3.53	0.67
19970108	0.0	-2.73	0.65
19970109	0.0	-1.49	0.64
19970110	1.36	-0.7	0.64
19970111	1.58	4.35	0.62
19970112	0.06	6.49	0.67
19970113	0.0	2.69	0.67
19970114	0.05	1.65	0.65
19970115	0.12	-0.76	0.63
19970116	0.19	3.17	0.62
19970117	0.24	5.74	0.61
19970118	1.59	4.91	0.61
19970119	0.26	2.6	0.6
19970120	0.0	1.8	0.58
19970121	2.17	0.99	0.58
19970122	0.81	1.87	0.57
19970123	0.19	3.11	0.57
19970124	0.08	3.82	0.55
19970125	0.01	2.65	0.55
19970126	0.05	2.88	0.55
19970127	0.0	4.83	0.52
19970128	0.04	2.33	0.51
19970129	0.04	1.83	0.51
19970130	0.0	1.03	0.51
19970131	0.0	1.94	0.54
19970201	1.45	3.16	0.53
19970202	0.03	2.0	0.52
19970203	5.75	3.92	0.57
19970204	0.33	4.65	0.56
19970205	0.36	5.65	0.55
19970206	5.08	7.9	0.55
19970207	0.04	2.69	0.55
19970208	0.51	4.06	0.55
19970209	11.87	7.48	0.58
