date	precipitation	temperature	discharge_spec
19970716	1.02	14.57	0.51
19970717	0.15	11.66	0.48
19970718	0.04	13.14	0.44
19970719	0.0	15.67	0.41
19970720	0.05	16.37	0.39
19970721	0.32	15.54	0.38
19970722	0.04	15.7	0.37
19970723	2.08	17.92	0.36
19970724	4.75	14.79	0.4
19970725	0.15	13.72	0.36
19970726	3.26	13.89	0.38
19970727	0.0	14.75	0.36
19970728	0.0	14.85	0.33
19970729	3.85	15.24	0.33
19970730	0.4	13.9	0.33
19970731	1.42	13.69	0.32
19970801	0.74	13.68	0.33
19970802	0.18	15.49	0.31
19970803	9.65	13.08	0.35
19970804	10.2	14.03	0.4
19970805	10.07	14.35	0.5
19970806	9.53	16.38	0.49
19970807	0.06	19.3	0.48
19970808	0.0	19.13	0.35
19970809	0.0	17.96	0.31
19970810	0.03	21.41	0.29
19970811	0.0	18.69	0.27
19970812	5.53	18.26	0.27
19970813	0.57	16.37	0.32
19970814	0.0	15.61	0.27
19970815	0.01	16.4	0.25
19970816	0.01	18.76	0.25
19970817	0.02	18.67	0.24
19970818	0.0	17.8	0.23
19970819	2.62	20.65	0.23
19970820	0.72	19.88	0.24
19970821	3.35	16.04	0.24
19970822	6.48	17.72	0.26
19970823	9.53	16.85	0.29
19970824	2.77	14.85	0.37
19970825	5.39	14.62	0.3
19970826	14.14	15.02	0.28
19970827	3.21	13.37	0.53
19970828	19.97	13.69	0.97
19970829	13.29	13.14	1.08
19970830	7.23	14.66	1.2
19970831	10.24	14.48	1.75
19970901	0.04	12.17	1.33
19970902	4.03	14.81	0.86
19970903	11.99	11.82	2.15
19970904	0.49	13.02	1.33
19970905	1.09	11.99	1.04
19970906	0.88	13.09	0.87
19970907	0.15	11.04	0.78
19970908	0.03	12.87	0.69
19970909	0.0	10.6	0.6
19970910	0.0	13.32	0.55
19970911	1.03	12.93	0.54
19970912	2.59	8.73	0.52
19970913	1.2	8.76	0.5
19970914	0.07	11.46	0.46
19970915	0.21	12.94	0.43
19970916	0.39	13.55	0.41
19970917	0.42	11.76	0.42
19970918	26.1	14.35	1.93
19970919	1.88	11.85	1.91
19970920	0.01	11.85	1.08
19970921	0.01	10.47	0.83
19970922	0.01	11.5	0.73
19970923	0.0	11.13	0.67
19970924	0.01	12.43	0.62
19970925	0.0	12.18	0.59
19970926	0.0	11.64	0.56
19970927	0.0	9.62	0.54
19970928	0.07	13.33	0.51
19970929	2.19	13.53	0.51
19970930	0.52	15.33	0.54
19971001	0.18	13.84	0.52
19971002	0.05	11.11	0.47
19971003	0.01	11.26	0.45
19971004	0.0	11.96	0.43
19971005	0.07	13.02	0.41
19971006	21.56	10.88	0.55
19971007	9.47	10.19	2.64
19971008	28.3	12.17	4.86
19971009	7.16	11.28	6.49
19971010	6.4	10.05	3.92
19971011	13.13	7.05	5.6
19971012	1.47	7.43	3.54
19971013	0.17	4.21	2.76
19971014	10.1	8.8	3.04
19971015	1.75	11.25	2.91
19971016	1.54	13.68	2.41
19971017	0.31	10.97	2.29
19971018	0.02	13.08	1.85
19971019	0.67	12.74	1.68
19971020	0.06	7.16	1.55
19971021	0.0	5.44	1.35
19971022	0.01	5.34	1.24
19971023	0.0	4.19	1.13
19971024	0.0	2.56	1.03
19971025	0.03	3.47	0.96
19971026	0.07	3.64	0.94
19971027	0.0	4.94	0.92
19971028	0.01	1.43	0.85
19971029	0.07	4.32	0.81
19971030	0.23	3.42	0.79
19971031	0.01	6.29	0.76
19971101	0.57	8.45	0.74
19971102	0.09	8.9	0.73
19971103	0.03	6.48	0.71
19971104	4.06	7.8	0.72
19971105	2.6	8.73	0.84
19971106	6.05	8.62	0.78
19971107	16.7	6.55	2.25
19971108	16.15	7.08	3.87
19971109	6.03	5.67	5.82
19971110	1.49	4.93	3.6
19971111	0.07	4.59	2.68
19971112	2.3	5.17	2.26
19971113	1.03	4.05	2.14
19971114	2.01	8.81	2.04
19971115	3.82	11.97	2.21
19971116	11.0	11.51	4.54
19971117	26.7	11.93	5.17
19971118	7.83	10.08	8.5
19971119	6.58	8.67	6.31
19971120	5.72	5.92	6.11
19971121	0.87	3.98	4.44
19971122	0.16	3.63	3.58
19971123	11.54	6.44	4.28
19971124	1.5	5.64	4.6
19971125	1.25	5.57	3.62
19971126	0.4	7.12	3.08
19971127	11.06	7.7	3.28
19971128	21.91	7.94	12.49
19971129	4.52	6.46	7.89
19971130	0.37	3.58	5.17
19971201	4.37	-0.09	4.68
19971202	1.06	-2.51	3.64
19971203	0.21	-0.56	3.03
19971204	0.03	-0.05	2.66
19971205	0.05	4.37	2.42
19971206	0.08	7.59	2.17
19971207	15.6	8.33	2.84
19971208	7.07	7.36	5.17
19971209	24.5	9.39	9.03
19971210	8.42	8.9	9.44
19971211	4.4	5.77	7.9
19971212	0.23	3.46	4.96
19971213	0.01	3.9	3.99
19971214	0.02	3.95	3.33
19971215	0.0	1.56	2.82
19971216	0.05	-0.71	2.47
19971217	12.04	1.97	2.53
19971218	0.96	5.68	4.16
19971219	0.11	3.15	2.56
19971220	0.04	0.55	2.22
19971221	0.31	2.06	2.04
19971222	8.66	6.01	2.78
19971223	13.7	8.7	5.0
19971224	14.58	8.72	7.13
19971225	9.07	6.66	6.75
19971226	7.78	5.66	5.73
19971227	2.17	3.12	6.77
19971228	0.14	3.63	4.73
19971229	3.2	4.71	4.57
19971230	9.4	5.82	5.26
19971231	5.65	2.19	4.96
19980101	42.5	5.0	12.66
19980102	22.41	6.53	17.94
19980103	10.6	4.22	15.76
19980104	16.39	3.21	15.79
19980105	3.08	0.99	8.94
19980106	12.97	4.76	8.41
19980107	22.5	5.23	10.04
19980108	10.77	9.31	18.1
19980109	0.4	9.34	8.28
19980110	0.0	9.17	5.8
19980111	1.03	7.5	4.6
19980112	7.13	8.4	4.28
19980113	11.68	6.07	5.65
19980114	4.5	5.0	4.85
19980115	15.6	5.46	6.94
19980116	2.11	3.82	6.0
19980117	15.24	5.77	6.01
19980118	15.91	3.8	14.46
19980119	0.22	-0.52	7.29
19980120	2.68	0.03	5.22
19980121	0.1	3.22	4.63
19980122	0.04	1.95	3.76
19980123	0.33	-0.39	3.1
19980124	0.0	1.15	2.67
19980125	0.02	0.66	2.33
19980126	0.0	-0.63	2.08
19980127	0.0	-0.25	1.91
19980128	0.0	-0.93	1.74
19980129	0.03	0.64	1.6
19980130	0.03	0.96	1.51
19980131	0.01	0.77	1.4
19980201	0.02	0.52	1.3
19980202	0.04	1.36	1.21
19980203	0.06	2.34	1.14
19980204	0.09	4.39	1.1
19980205	1.3	5.4	1.03
19980206	12.1	3.25	1.56
19980207	0.1	3.33	1.54
19980208	0.14	6.79	1.14
19980209	0.26	7.39	1.09
19980210	0.39	7.78	1.09
19980211	0.03	9.25	1.04
19980212	0.0	8.85	0.99
19980213	0.0	9.09	0.94
19980214	0.0	8.8	0.9
19980215	0.21	10.08	0.87
19980216	0.65	4.94	0.86
19980217	0.02	6.01	0.82
19980218	0.4	5.71	0.81
19980219	0.02	7.83	0.8
19980220	6.83	7.93	0.81
19980221	4.46	4.27	1.33
19980222	0.28	5.15	1.06
19980223	0.14	6.92	0.9
19980224	0.0	4.97	0.83
19980225	0.01	5.94	0.79
19980226	2.02	5.55	0.84
19980227	1.91	3.74	0.92
19980228	4.7	2.04	0.95
19980301	0.66	5.24	1.5
19980302	30.23	7.78	3.37
19980303	33.64	6.5	22.41
19980304	5.42	4.29	10.46
19980305	24.55	6.27	9.93
19980306	37.61	7.92	36.89
19980307	9.47	6.83	14.73
19980308	0.88	3.79	8.22
19980309	0.0	3.73	5.48
19980310	8.54	5.61	5.35
19980311	0.13	3.06	4.03
19980312	1.83	5.05	3.36
19980313	0.06	6.64	2.93
19980314	0.01	6.58	2.51
19980315	0.0	6.54	2.24
19980316	0.0	7.04	2.02
19980317	0.0	6.39	1.83
19980318	0.0	5.8	1.65
19980319	0.0	5.43	1.5
19980320	0.0	6.66	1.41
19980321	0.0	5.18	1.32
19980322	0.0	3.24	1.23
19980323	1.56	5.31	1.17
19980324	9.28	5.58	1.33
19980325	11.91	8.03	2.22
19980326	1.96	8.56	4.52
19980327	0.32	9.56	2.42
19980328	0.0	10.19	1.95
19980329	4.6	10.47	2.07
