date	precipitation	temperature	discharge_spec
19981116	0.01	1.82	3.59
19981117	0.27	2.35	3.1
19981118	0.01	2.72	2.77
19981119	0.2	3.53	2.47
19981120	2.21	5.47	2.25
19981121	0.19	4.51	2.17
19981122	3.83	3.88	2.07
19981123	13.48	4.97	2.12
19981124	5.76	4.74	7.86
19981125	2.57	5.44	3.56
19981126	3.57	8.56	3.19
19981127	14.45	9.17	4.16
19981128	0.45	4.75	9.39
19981129	0.01	4.25	4.19
19981130	0.0	3.51	3.1
19981201	0.05	1.89	2.58
19981202	0.0	0.23	2.31
19981203	0.41	0.46	2.07
19981204	0.1	0.57	1.85
19981205	1.63	-0.88	1.81
19981206	1.41	0.17	1.66
19981207	15.49	5.65	1.74
19981208	13.53	7.04	12.12
19981209	1.15	7.22	3.96
19981210	8.14	7.08	4.84
19981211	15.7	8.51	7.36
19981212	9.04	7.81	8.95
19981213	5.06	9.14	6.64
19981214	14.04	9.86	11.83
19981215	2.43	7.22	7.28
19981216	0.1	7.6	4.91
19981217	7.98	6.96	4.73
19981218	13.73	5.52	9.17
19981219	0.54	2.49	5.44
19981220	0.0	-1.39	3.88
19981221	6.43	1.89	3.9
19981222	22.45	4.34	9.5
19981223	0.99	1.75	9.81
19981224	40.7	5.49	23.9
19981225	32.97	6.08	42.07
19981226	23.55	6.91	28.39
19981227	12.7	4.42	12.51
19981228	4.98	2.78	9.05
19981229	5.86	7.11	7.41
19981230	1.72	6.13	7.02
19981231	1.92	5.57	5.19
19990101	23.01	5.04	9.64
19990102	22.02	4.64	11.11
19990103	25.76	7.01	27.39
19990104	26.47	8.5	22.35
19990105	1.28	10.13	18.38
19990106	9.63	6.66	9.88
19990107	16.99	4.38	14.04
19990108	5.65	1.81	10.39
19990109	0.04	0.13	6.54
19990110	0.04	-1.4	5.18
19990111	13.83	-0.47	4.12
19990112	10.85	3.89	11.26
19990113	15.1	5.21	12.98
19990114	5.14	5.18	7.93
19990115	74.61	5.34	59.04
19990116	9.16	2.56	18.16
19990117	3.79	3.41	11.12
19990118	33.48	7.23	20.18
19990119	32.39	8.66	35.02
19990120	1.69	4.71	16.03
19990121	0.0	1.29	7.86
19990122	0.15	0.77	5.85
19990123	10.77	4.61	7.69
19990124	25.34	6.83	13.1
19990125	8.48	4.79	15.12
19990126	9.75	3.35	11.99
19990127	4.97	5.35	7.96
19990128	0.96	6.33	6.41
19990129	0.74	6.43	5.05
19990130	0.72	6.77	4.29
19990131	0.02	5.38	3.64
19990201	0.01	3.18	3.17
19990202	0.31	4.42	2.71
19990203	0.76	7.66	2.38
19990204	0.2	7.09	2.13
19990205	2.15	5.61	1.92
19990206	3.86	3.39	2.06
19990207	3.54	1.04	2.2
19990208	6.06	-1.9	2.18
19990209	0.42	-1.79	1.81
19990210	0.22	-0.07	1.66
19990211	0.01	1.29	1.63
19990212	1.37	3.25	1.64
19990213	0.68	3.61	1.93
19990214	4.11	4.32	2.44
19990215	0.5	4.96	2.1
19990216	0.91	4.62	1.71
19990217	3.25	6.07	1.96
19990218	19.3	7.99	4.37
19990219	1.52	5.21	9.22
19990220	4.81	5.21	4.02
19990221	5.09	4.45	4.39
19990222	4.73	2.7	3.97
19990223	8.21	3.36	4.54
19990224	0.47	4.32	4.72
19990225	7.0	6.27	4.15
19990226	13.2	5.05	11.11
19990227	1.42	4.87	5.7
19990228	41.17	7.71	20.45
19990301	31.95	9.16	28.28
19990302	34.15	7.46	47.17
19990303	13.68	4.39	24.71
19990304	0.95	2.03	9.7
19990305	1.34	1.87	6.36
19990306	0.75	1.95	5.02
19990307	0.4	2.98	4.12
