date	precipitation	temperature	discharge_spec
19701001	0.87	12.61	0.76
19701002	1.42	10.57	0.75
19701003	1.19	11.53	0.75
19701004	8.54	13.77	0.68
19701005	4.23	8.43	1.3
19701006	1.66	7.22	1.01
19701007	4.91	7.21	0.83
19701008	1.06	6.55	0.84
19701009	0.21	7.47	0.75
19701010	4.38	8.91	0.75
19701011	37.5	12.67	8.29
19701012	0.17	11.87	3.89
19701013	0.19	11.61	2.87
19701014	0.04	12.95	2.54
19701015	0.05	10.97	2.33
19701016	0.0	8.41	2.02
19701017	0.0	10.61	1.83
19701018	1.42	10.15	1.7
19701019	12.74	6.77	1.65
19701020	6.5	4.27	5.35
19701021	4.27	6.16	1.89
19701022	0.64	8.39	2.02
19701023	1.33	9.72	2.13
19701024	2.25	11.19	1.98
19701025	7.58	9.11	2.3
19701026	8.32	7.22	4.59
19701027	12.83	11.02	3.84
19701028	1.77	11.79	3.16
19701029	10.21	12.15	4.25
19701030	21.36	12.44	8.46
19701031	9.49	10.72	8.08
19701101	34.23	11.39	15.04
19701102	12.37	11.02	14.66
19701103	0.13	9.16	10.34
19701104	10.27	8.91	8.33
19701105	0.13	7.85	6.08
19701106	29.41	7.12	9.32
19701107	0.39	4.43	8.39
19701108	3.05	7.64	6.77
19701109	2.73	8.17	5.19
19701110	3.31	10.58	4.86
19701111	17.5	7.63	6.08
19701112	2.56	3.42	5.1
19701113	15.62	4.43	5.99
19701114	9.24	3.08	7.76
19701115	19.36	4.23	6.37
19701116	5.63	6.04	15.48
19701117	32.86	6.61	21.81
19701118	26.47	7.02	20.08
19701119	3.82	4.51	16.16
19701120	10.11	5.45	12.16
19701121	9.76	4.22	9.3
19701122	16.45	7.78	9.14
19701123	4.47	11.55	12.52
19701124	0.05	11.71	8.7
19701125	0.06	10.73	6.36
19701126	0.09	10.59	4.91
19701127	13.04	10.64	4.44
19701128	11.15	8.77	5.63
19701129	5.35	6.21	6.92
19701130	6.25	6.51	6.79
19701201	0.71	6.2	5.58
19701202	6.7	8.79	5.51
19701203	12.27	7.29	5.77
19701204	2.04	6.53	5.04
19701205	7.47	6.8	4.52
19701206	1.84	6.72	5.21
19701207	0.0	3.29	3.92
19701208	0.0	1.67	3.46
19701209	0.0	2.28	3.1
19701210	0.04	3.96	2.82
19701211	1.74	6.22	2.55
19701212	5.96	5.57	2.69
19701213	0.18	3.28	2.35
19701214	0.01	2.77	2.06
19701215	14.6	6.8	3.49
19701216	12.2	8.56	5.2
19701217	2.07	7.4	5.25
19701218	6.41	9.0	5.33
19701219	3.25	8.09	4.7
19701220	0.44	3.72	4.38
19701221	0.0	0.81	3.76
19701222	0.22	0.56	3.33
19701223	5.07	2.26	3.67
19701224	0.28	-0.51	2.96
19701225	0.4	-0.24	2.6
19701226	0.87	-0.7	2.43
19701227	0.22	-2.4	2.2
19701228	0.05	-0.19	2.06
19701229	0.01	1.82	1.96
19701230	0.0	-1.62	1.8
19701231	0.01	-1.79	1.59
19710101	0.16	0.15	1.51
19710102	0.49	0.11	1.47
19710103	0.0	-1.44	1.36
19710104	0.0	-1.02	1.27
19710105	1.14	2.25	1.17
19710106	38.0	7.45	2.33
19710107	11.64	9.25	9.7
19710108	11.93	9.88	7.45
19710109	0.38	9.74	6.43
19710110	0.0	8.01	5.07
19710111	0.12	5.03	4.17
19710112	1.48	6.73	3.53
19710113	0.0	5.19	3.06
19710114	0.02	2.6	2.67
19710115	1.61	2.27	2.37
19710116	4.0	5.86	2.48
19710117	1.36	7.26	2.23
19710118	17.12	6.65	4.52
19710119	11.29	4.39	4.58
19710120	12.68	4.17	7.14
19710121	10.38	5.26	7.31
19710122	17.27	5.87	7.83
19710123	15.94	5.6	15.3
19710124	18.08	6.48	15.55
19710125	10.36	5.56	13.32
19710126	16.98	5.73	14.81
19710127	4.5	5.27	10.44
19710128	7.62	3.33	9.48
19710129	5.31	3.1	6.86
19710130	5.31	1.36	7.75
19710131	0.22	2.1	5.95
19710201	0.0	-0.75	4.96
19710202	0.07	2.15	4.39
19710203	0.0	4.84	3.83
19710204	0.0	5.43	3.3
19710205	0.0	5.16	2.89
19710206	0.0	3.45	2.58
19710207	0.0	4.73	2.31
19710208	0.04	4.52	1.98
19710209	0.0	5.58	1.81
19710210	0.05	3.62	1.65
19710211	1.46	5.9	1.54
19710212	10.68	5.88	2.15
19710213	1.76	4.0	1.75
19710214	12.68	3.68	2.52
19710215	3.6	-0.32	2.27
19710216	4.15	1.96	2.08
19710217	7.25	6.16	2.48
19710218	0.31	4.65	2.39
19710219	3.23	5.82	2.37
19710220	5.33	7.06	3.37
19710221	0.02	3.87	2.65
19710222	0.0	4.25	2.53
19710223	0.0	5.21	2.4
19710224	0.0	4.42	2.21
19710225	0.0	3.5	2.04
19710226	0.01	4.79	1.9
19710227	8.57	3.67	2.05
19710228	5.17	1.91	2.02
19710301	23.49	4.06	6.38
19710302	0.26	4.56	4.39
19710303	0.0	0.83	3.68
19710304	0.0	-0.91	3.19
19710305	2.11	-0.11	2.87
19710306	0.01	-1.26	2.56
19710307	0.01	1.35	2.26
19710308	0.0	5.54	2.07
19710309	0.0	4.79	1.88
19710310	0.01	5.32	1.72
19710311	0.12	7.38	1.59
19710312	0.64	7.31	1.5
19710313	1.18	5.47	1.42
19710314	4.34	3.64	1.47
19710315	4.98	4.24	1.59
19710316	5.17	3.64	1.59
