date	precipitation	temperature	discharge_spec
19960930	0.62	8.76	2.26
19961001	2.35	8.25	1.69
19961002	0.39	12.47	1.38
19961003	8.03	9.94	3.13
19961004	6.96	9.32	2.58
19961005	0.1	9.37	2.23
19961006	0.62	11.97	1.64
19961007	2.08	11.35	1.52
19961008	1.22	7.13	1.67
19961009	0.34	8.94	1.41
19961010	0.01	8.65	1.15
19961011	0.0	11.61	1.03
19961012	0.0	13.01	0.91
19961013	1.95	13.7	0.81
19961014	18.51	10.43	4.44
19961015	5.92	7.55	3.77
19961016	5.29	7.41	3.05
19961017	9.12	9.29	4.75
19961018	3.43	10.21	6.07
19961019	4.6	11.63	3.55
19961020	10.18	11.34	9.08
19961021	0.63	11.12	4.19
19961022	0.13	13.5	3.58
19961023	1.67	14.5	2.62
19961024	9.09	12.81	2.73
19961025	12.84	9.16	7.74
19961026	18.51	10.77	10.75
19961027	11.11	11.94	12.46
19961028	25.86	9.17	27.08
19961029	0.21	7.32	11.1
19961030	8.49	9.94	7.01
19961031	11.01	10.3	12.14
19961101	10.52	11.84	7.04
19961102	4.67	12.74	8.16
19961103	13.27	10.84	10.99
19961104	8.39	8.59	10.24
19961105	9.07	9.73	9.61
19961106	12.29	8.05	7.67
19961107	1.56	3.64	9.05
19961108	2.85	5.07	5.45
19961109	1.64	3.46	4.16
19961110	0.04	2.4	3.36
19961111	1.06	3.28	2.75
19961112	0.25	2.67	2.23
19961113	2.18	4.69	1.93
19961114	0.38	7.06	1.97
19961115	0.73	8.0	1.67
19961116	6.99	7.1	2.22
19961117	0.38	1.7	2.67
19961118	13.06	1.69	2.31
19961119	1.3	1.7	4.67
19961120	7.11	0.98	3.23
19961121	2.85	1.1	2.96
19961122	1.99	1.43	3.38
19961123	8.23	1.47	3.08
19961124	20.87	5.75	12.51
19961125	3.17	3.4	7.69
19961126	5.24	2.53	4.74
19961127	0.09	1.27	4.36
19961128	28.56	5.24	12.9
19961129	2.88	6.47	11.1
19961130	1.22	7.36	6.04
19961201	1.37	7.46	4.42
19961202	17.44	6.74	6.43
19961203	11.61	5.56	9.81
19961204	3.14	2.86	8.8
19961205	0.12	1.19	5.11
19961206	0.01	0.23	3.82
19961207	0.02	1.0	3.08
19961208	0.02	1.99	2.7
19961209	0.01	3.33	2.31
19961210	0.0	1.61	1.97
19961211	0.0	1.57	1.74
19961212	0.02	1.74	1.56
19961213	0.0	-0.51	1.37
19961214	1.89	2.18	1.34
19961215	1.1	5.29	1.45
19961216	1.22	2.36	1.53
19961217	1.61	6.82	1.32
19961218	2.73	7.41	1.89
19961219	2.09	3.68	1.9
19961220	0.01	1.92	1.56
19961221	0.0	-0.5	1.2
19961222	0.0	1.03	1.03
19961223	0.0	0.3	0.97
19961224	0.0	-0.4	0.86
19961225	0.01	-0.5	0.87
19961226	3.23	-0.42	0.82
19961227	0.1	0.73	1.03
19961228	0.01	-1.08	0.81
19961229	1.1	-0.34	0.82
19961230	0.48	-0.77	0.81
19961231	0.38	-3.42	0.61
19970101	0.13	-5.3	0.79
19970102	0.01	-3.13	0.77
19970103	0.0	-2.33	0.61
19970104	0.0	-1.12	0.58
19970105	0.52	0.2	0.57
19970106	0.03	-0.21	0.58
19970107	0.0	-3.34	0.48
19970108	0.03	-2.53	0.5
19970109	0.01	-1.07	0.48
19970110	0.95	1.14	0.48
19970111	1.87	6.27	0.81
19970112	0.19	7.08	1.29
19970113	0.0	4.62	1.08
19970114	0.01	3.66	0.72
19970115	0.0	2.09	0.62
19970116	1.26	6.41	0.7
19970117	0.33	6.83	0.83
19970118	0.18	5.69	0.78
19970119	0.02	2.59	0.68
19970120	0.0	1.81	0.6
19970121	2.12	0.81	0.56
19970122	1.52	1.17	0.68
19970123	0.37	3.71	0.68
