date	precipitation	temperature	discharge_spec
19970918	0.11	7.63	4.61
19970919	0.01	5.06	4.09
19970920	0.0	9.13	3.47
19970921	0.0	11.41	2.26
19970922	0.01	10.49	1.82
19970923	0.03	10.85	2.06
19970924	0.0	10.89	2.54
19970925	0.04	11.39	2.61
19970926	0.02	10.17	2.26
19970927	0.05	9.72	1.88
19970928	4.37	11.73	1.4
19970929	0.09	9.35	1.31
19970930	0.35	10.8	1.3
19971001	0.26	9.69	1.22
19971002	1.11	10.46	1.19
19971003	2.76	12.1	1.11
19971004	6.69	12.6	1.01
19971005	9.84	12.4	0.93
19971006	3.49	7.82	0.95
19971007	4.6	7.8	1.07
19971008	7.38	7.84	1.48
19971009	10.52	8.0	1.77
19971010	3.17	5.85	1.94
19971011	1.09	4.13	2.12
19971012	3.54	4.26	2.2
19971013	1.5	4.08	2.36
19971014	7.85	6.19	2.5
19971015	3.71	8.75	2.32
19971016	5.91	11.76	1.91
19971017	1.09	8.41	2.0
19971018	0.16	7.69	2.22
19971019	0.44	5.51	1.97
19971020	0.01	0.83	1.84
19971021	0.01	1.81	1.84
19971022	0.01	3.81	1.83
19971023	0.2	2.3	1.84
19971024	0.0	2.72	1.93
19971025	0.09	5.81	2.0
19971026	0.09	5.03	1.82
19971027	0.01	5.7	1.83
19971028	0.01	4.06	1.82
19971029	1.65	5.82	1.81
19971030	0.38	8.09	1.83
19971031	0.61	9.71	1.79
19971101	0.77	8.39	1.46
19971102	0.03	5.13	1.42
19971103	0.2	5.5	1.31
19971104	0.3	4.76	1.26
19971105	5.44	5.93	1.26
19971106	6.47	5.36	1.24
19971107	0.03	4.01	1.25
19971108	5.31	2.02	1.25
19971109	0.25	3.24	1.23
19971110	1.08	3.83	1.25
19971111	5.08	4.37	1.25
19971112	4.18	4.84	1.35
19971113	1.98	3.64	1.62
19971114	9.99	6.05	2.09
19971115	2.38	10.17	2.46
19971116	18.35	11.22	2.49
19971117	21.13	11.1	3.7
19971118	8.65	9.71	6.85
19971119	3.11	8.46	7.01
19971120	7.17	6.15	5.76
19971121	0.09	4.24	4.91
19971122	0.01	2.74	3.68
19971123	0.61	3.93	2.57
19971124	0.51	5.7	2.42
19971125	0.46	5.6	2.43
19971126	1.61	6.4	2.32
19971127	0.66	5.02	2.21
19971128	0.61	4.83	1.97
19971129	2.05	2.87	2.0
19971130	0.1	-0.53	1.9
19971201	3.3	-1.06	2.09
19971202	2.74	-0.47	2.25
19971203	0.7	0.4	2.17
19971204	7.41	3.4	2.15
19971205	32.41	8.64	2.42
19971206	10.21	9.25	5.25
19971207	11.86	8.2	6.11
19971208	8.99	5.76	6.12
19971209	7.87	4.42	6.34
19971210	5.44	2.46	5.5
19971211	0.76	0.46	4.69
19971212	12.84	2.26	4.2
19971213	0.94	2.81	4.37
19971214	0.03	3.13	3.86
19971215	0.04	0.73	3.12
19971216	0.05	0.69	2.8
19971217	0.41	2.35	2.39
19971218	3.57	3.8	2.32
19971219	13.32	3.61	2.26
19971220	2.44	3.24	2.67
19971221	0.5	2.66	2.77
19971222	2.0	2.42	2.97
19971223	13.39	4.62	3.08
19971224	9.27	3.05	3.79
19971225	2.23	2.08	4.82
19971226	3.0	2.29	4.42
