date	precipitation	temperature	discharge_spec
19960930	0.49	9.84	0.47
19961001	7.84	9.82	0.47
19961002	0.89	13.19	0.45
19961003	4.74	11.37	0.44
19961004	2.49	11.09	0.42
19961005	0.11	10.78	0.38
19961006	0.0	13.63	0.35
19961007	1.27	12.3	0.34
19961008	0.01	8.6	0.34
19961009	0.38	10.78	0.33
19961010	0.0	10.63	0.32
19961011	0.0	13.1	0.32
19961012	0.71	14.32	0.31
19961013	2.21	14.8	0.31
19961014	6.77	10.99	0.34
19961015	7.79	9.19	0.42
19961016	1.67	7.95	0.42
19961017	18.89	10.98	0.72
19961018	1.53	11.51	0.91
19961019	14.76	12.62	0.52
19961020	14.9	10.98	3.61
19961021	1.89	11.93	1.53
19961022	0.04	14.08	1.23
19961023	1.14	14.89	1.05
19961024	6.06	12.97	1.16
19961025	5.15	10.51	1.14
19961026	16.25	11.86	1.55
19961027	6.26	12.61	2.38
19961028	17.4	10.18	3.34
19961029	0.01	8.42	2.58
19961030	12.0	10.87	2.24
19961031	1.25	11.77	3.3
19961101	7.92	13.21	2.38
19961102	5.7	13.32	3.12
19961103	9.95	11.85	3.35
19961104	3.7	9.41	3.77
19961105	3.87	11.04	2.95
19961106	4.23	9.65	2.82
19961107	1.49	5.51	2.65
19961108	1.58	7.25	2.51
19961109	0.04	4.42	2.27
19961110	0.0	3.72	2.12
19961111	1.97	5.09	2.02
19961112	0.1	5.31	1.87
19961113	1.92	8.08	1.74
19961114	0.8	8.78	1.74
19961115	0.02	9.38	1.64
19961116	6.28	8.59	1.63
19961117	4.58	4.11	1.83
19961118	20.94	4.25	2.18
19961119	8.84	4.38	5.28
19961120	3.78	2.87	4.27
19961121	2.12	4.4	2.9
19961122	0.72	3.58	2.7
19961123	4.31	3.13	2.41
19961124	21.84	8.12	7.16
19961125	0.67	4.65	4.18
19961126	6.23	4.05	3.39
19961127	1.5	3.07	4.13
19961128	27.15	5.95	7.47
19961129	0.91	8.62	6.94
19961130	3.66	8.63	4.94
19961201	0.94	8.82	4.67
19961202	20.98	8.1	5.46
19961203	2.77	6.02	7.08
19961204	3.99	4.09	4.94
19961205	3.47	2.76	4.54
19961206	0.05	0.98	3.75
19961207	0.11	2.88	3.38
19961208	0.03	4.84	3.11
19961209	0.01	5.18	2.9
19961210	0.0	2.74	2.68
19961211	0.0	2.39	2.5
19961212	0.0	2.7	2.35
19961213	0.0	0.96	2.18
19961214	0.01	3.22	2.06
19961215	3.26	6.89	2.0
19961216	1.49	4.01	2.02
19961217	10.0	7.68	2.1
19961218	2.76	8.11	2.8
19961219	0.73	5.61	2.09
19961220	0.0	3.88	1.88
19961221	0.0	0.93	1.72
19961222	0.0	2.52	1.63
19961223	0.0	1.3	1.56
19961224	0.0	0.01	1.48
19961225	0.0	1.35	1.41
19961226	0.56	1.45	1.38
19961227	0.86	2.01	1.43
19961228	0.0	-0.35	1.33
19961229	0.17	0.46	1.27
19961230	0.1	1.66	1.29
