date	precipitation	temperature	discharge_spec
19960930	0.62	9.51	0.92
19961001	7.45	9.35	0.82
19961002	1.49	13.06	0.79
19961003	4.48	10.84	0.87
19961004	3.53	10.78	0.86
19961005	0.01	10.31	0.76
19961006	0.04	13.32	0.71
19961007	1.43	12.12	0.7
19961008	0.05	8.26	0.7
19961009	0.51	10.34	0.68
19961010	0.01	10.07	0.67
19961011	0.0	12.82	0.67
19961012	0.22	14.12	0.66
19961013	2.31	14.49	0.67
19961014	8.32	10.81	0.75
19961015	7.46	8.81	0.88
19961016	3.09	7.44	0.93
19961017	23.76	10.51	1.78
19961018	1.82	10.79	1.82
19961019	16.11	12.45	1.16
19961020	19.31	10.97	6.86
19961021	2.66	11.78	2.22
19961022	0.03	13.98	2.04
19961023	3.43	14.8	1.68
19961024	9.93	12.75	2.62
19961025	6.58	10.14	2.17
19961026	22.11	11.64	3.67
19961027	8.97	12.49	5.4
19961028	24.05	9.94	8.43
19961029	0.0	8.12	5.85
19961030	14.98	10.65	4.38
19961031	1.97	11.51	6.05
19961101	9.58	13.16	4.2
19961102	6.87	13.27	6.27
19961103	10.64	11.56	6.48
19961104	5.48	9.15	6.59
19961105	5.7	10.7	5.26
19961106	5.34	9.17	4.42
19961107	1.2	5.0	3.77
19961108	2.94	6.96	3.2
19961109	0.04	4.01	2.81
19961110	0.0	3.4	2.54
19961111	0.51	4.09	2.3
19961112	0.02	4.67	2.05
19961113	3.14	7.41	1.91
19961114	0.67	8.3	1.89
19961115	0.01	8.91	1.72
19961116	7.95	8.36	1.69
19961117	6.71	3.59	2.08
19961118	24.4	3.5	3.41
19961119	7.53	3.77	6.37
19961120	4.26	2.34	4.32
19961121	2.82	3.75	3.47
19961122	1.57	2.93	3.19
19961123	3.66	2.75	2.78
19961124	25.7	7.59	9.39
19961125	0.38	4.19	4.83
19961126	7.1	3.48	3.87
19961127	1.3	2.34	5.24
19961128	31.43	5.76	10.44
19961129	1.67	8.08	10.33
19961130	3.19	8.16	6.97
19961201	1.01	8.59	6.41
19961202	26.28	7.82	7.74
19961203	4.19	5.8	10.44
19961204	2.56	3.6	7.0
19961205	1.15	2.19	6.1
19961206	0.29	0.9	5.17
19961207	0.0	2.4	4.55
19961208	0.04	4.66	4.11
19961209	0.02	4.92	3.74
19961210	0.0	2.43	3.43
19961211	0.0	2.08	3.15
19961212	0.0	2.26	2.93
19961213	0.0	0.41	2.7
19961214	0.0	2.73	2.51
19961215	2.42	6.47	2.39
19961216	2.16	3.5	2.38
19961217	8.95	7.47	2.36
19961218	3.77	7.81	3.37
19961219	0.49	5.24	2.48
19961220	0.0	3.51	2.19
19961221	0.0	0.48	1.99
19961222	0.0	2.09	1.86
19961223	0.0	0.85	1.76
19961224	0.0	-0.51	1.67
19961225	0.0	0.45	1.54
19961226	1.36	1.09	1.46
19961227	0.82	1.36	1.55
19961228	0.0	-0.96	1.39
19961229	0.25	-0.14	1.3
19961230	0.01	0.83	1.31
19961231	0.02	-2.6	1.2
19970101	0.0	-4.27	1.15
19970102	0.0	-2.45	1.16
19970103	0.0	-2.41	1.02
19970104	0.0	-0.49	1.02
19970105	0.0	0.85	0.98
19970106	0.0	0.49	0.96
19970107	0.0	-2.27	0.95
19970108	0.0	-2.31	0.92
19970109	0.0	-0.17	0.9
19970110	2.33	1.94	0.9
19970111	2.46	6.97	1.04
19970112	0.82	7.3	1.11
19970113	0.01	5.47	1.04
19970114	0.02	4.47	0.92
19970115	0.0	3.17	0.9
19970116	1.26	6.71	0.88
19970117	0.12	7.86	0.88
19970118	1.08	6.22	0.85
19970119	0.0	2.99	0.84
19970120	0.0	2.64	0.8
19970121	0.67	0.77	0.78
19970122	1.38	1.14	0.81
19970123	0.99	3.82	0.8
19970124	0.14	4.69	0.79
19970125	0.0	4.69	0.75
19970126	0.0	4.97	0.73
19970127	0.0	3.65	0.72
19970128	0.0	2.73	0.7
19970129	0.0	2.95	0.68
19970130	0.0	1.66	0.66
19970131	0.05	2.13	0.68
19970201	1.12	4.35	0.7
19970202	0.01	2.33	0.7
19970203	17.42	6.05	0.72
19970204	0.76	4.92	2.35
19970205	0.71	6.07	1.07
19970206	7.36	7.77	1.06
19970207	0.29	4.13	1.3
19970208	5.68	5.13	1.03
19970209	18.54	8.46	2.08
19970210	3.36	5.72	3.91
19970211	17.44	7.98	4.54
19970212	8.03	6.24	6.02
19970213	0.07	2.98	4.34
19970214	0.04	2.43	3.4
19970215	5.73	5.64	2.88
19970216	6.35	7.11	3.34
19970217	27.92	6.77	12.52
19970218	3.45	4.71	6.6
19970219	8.82	7.24	8.14
19970220	0.46	8.48	5.3
19970221	0.05	9.5	4.25
19970222	5.82	8.41	3.77
19970223	9.77	6.25	4.54
19970224	13.12	6.02	7.04
19970225	6.59	6.7	5.05
19970226	0.0	5.91	4.23
19970227	5.5	8.05	3.55
19970228	0.01	8.08	3.93
19970301	8.9	7.38	3.61
19970302	0.02	5.09	3.61
19970303	6.88	5.07	3.01
19970304	1.08	6.37	3.56
19970305	6.45	4.71	3.91
19970306	0.12	7.05	3.09
19970307	1.18	6.86	2.96
19970308	0.0	8.31	2.66
19970309	0.06	6.77	2.42
19970310	0.04	9.51	2.26
19970311	0.05	10.65	2.1
19970312	0.0	8.62	2.0
19970313	0.97	8.69	1.92
19970314	0.7	10.43	1.85
19970315	0.04	9.41	1.72
19970316	0.02	8.87	1.58
19970317	1.82	8.65	1.54
19970318	0.04	8.59	1.52
19970319	0.0	5.34	1.35
19970320	0.0	6.26	1.24
19970321	0.0	7.0	1.2
19970322	0.0	9.2	1.17
19970323	3.93	8.06	1.14
19970324	0.13	7.46	1.2
19970325	5.94	9.23	1.12
19970326	0.34	7.54	1.47
19970327	0.03	7.22	1.1
19970328	0.0	5.45	1.01
19970329	0.0	4.84	0.93
19970330	0.0	5.5	0.9
19970331	0.0	7.06	0.88
19970401	0.0	9.45	0.86
19970402	0.0	9.21	0.84
19970403	0.0	6.95	0.84
19970404	0.0	8.71	0.78
19970405	0.05	10.71	0.77
