date	precipitation	temperature	discharge_spec
19701001	6.32	11.32	1.03
19701002	5.14	9.16	1.18
19701003	9.9	11.0	0.39
19701004	15.16	11.99	0.73
19701005	9.76	8.44	1.06
19701006	8.13	7.83	1.0
19701007	5.63	9.48	1.48
19701008	0.02	6.51	0.63
19701009	0.02	7.0	0.31
19701010	0.61	10.41	0.23
19701011	20.78	12.51	0.2
19701012	0.06	12.0	0.17
19701013	0.0	10.93	0.15
19701014	0.01	13.35	0.14
19701015	0.0	10.44	0.12
19701016	0.0	8.12	0.11
19701017	0.0	10.32	0.1
19701018	2.79	9.12	0.1
19701019	13.72	5.83	0.15
19701020	0.72	4.5	0.1
19701021	0.23	5.51	0.09
19701022	0.27	8.06	0.08
19701023	9.18	9.03	0.09
19701024	9.97	10.24	1.43
19701025	12.39	9.06	3.76
19701026	4.71	7.47	0.63
19701027	33.11	9.74	3.82
19701028	4.63	11.08	1.39
19701029	12.43	12.09	2.81
19701030	18.63	12.43	5.27
19701031	9.97	11.19	3.34
19701101	37.75	10.92	1.82
19701102	9.49	10.7	2.05
19701103	1.57	9.02	1.37
19701104	21.71	8.83	1.36
19701105	0.05	7.62	1.12
19701106	29.43	6.17	0.62
19701107	0.06	4.56	0.34
19701108	15.78	8.24	1.03
19701109	2.5	7.21	0.88
19701110	8.09	9.14	1.86
19701111	40.61	7.43	2.77
19701112	2.0	4.94	1.73
19701113	14.44	4.17	1.33
19701114	1.02	2.25	0.65
19701115	12.73	4.7	0.37
19701116	2.7	6.49	1.03
19701117	21.18	6.38	5.72
19701118	17.07	5.95	1.68
19701119	2.31	4.2	1.41
19701120	18.44	5.47	1.12
19701121	11.05	4.44	1.27
19701122	12.88	8.01	0.86
19701123	1.85	11.89	3.6
19701124	0.01	12.56	0.98
19701125	0.01	10.51	0.48
19701126	3.47	10.02	0.4
19701127	4.93	10.71	0.36
19701128	8.32	8.77	1.38
19701129	11.89	5.96	1.71
19701130	4.51	6.51	0.86
19701201	3.43	6.1	0.59
19701202	12.64	8.4	2.87
19701203	33.13	7.66	1.38
19701204	5.25	6.59	0.71
19701205	11.12	5.66	1.83
19701206	9.46	4.95	1.08
19701207	0.02	3.0	0.51
19701208	0.02	2.79	0.33
19701209	0.05	3.57	0.27
19701210	0.0	3.78	0.25
19701211	0.15	5.93	0.24
19701212	4.23	5.67	0.23
19701213	0.04	3.9	0.21
19701214	0.01	4.08	0.19
19701215	1.83	6.42	0.19
19701216	3.13	7.64	0.47
19701217	1.07	7.29	0.47
19701218	1.53	8.83	0.31
19701219	3.7	7.86	0.26
19701220	0.22	4.06	0.25
19701221	0.0	0.02	0.16
19701222	0.02	0.72	0.15
19701223	0.57	1.62	0.13
19701224	0.07	-0.93	0.14
19701225	2.03	-0.43	0.14
19701226	0.48	-1.36	0.14
19701227	0.07	-1.0	0.13
19701228	0.07	0.76	0.14
19701229	0.12	1.71	0.22
19701230	0.01	-1.71	0.21
19701231	0.02	-1.79	0.14
19710101	0.26	0.41	0.16
19710102	0.19	0.3	0.23
19710103	0.0	-2.21	0.11
19710104	0.01	-1.26	0.09
19710105	3.3	1.55	0.08
19710106	14.13	7.6	0.32
19710107	0.77	8.96	1.72
19710108	1.7	9.85	0.58
19710109	0.02	10.64	0.42
19710110	0.0	9.18	0.26
19710111	0.0	4.61	0.21
19710112	1.18	7.28	0.18
19710113	0.0	5.19	0.16
19710114	0.32	1.8	0.15
19710115	0.61	2.4	0.14
19710116	9.69	5.13	0.14
19710117	0.09	6.23	0.14
19710118	9.16	5.67	0.56
19710119	14.32	3.64	1.56
19710120	7.09	3.61	2.15
19710121	4.35	4.57	1.26
19710122	15.61	4.83	0.81
19710123	10.67	5.05	1.76
19710124	10.1	6.09	1.26
19710125	10.08	4.59	1.06
19710126	12.36	4.95	0.52
19710127	15.53	4.89	0.38
19710128	5.59	3.62	0.4
19710129	4.2	2.34	0.29
19710130	2.22	0.81	0.36
19710131	0.7	1.01	0.38
19710201	0.0	-0.91	0.2
19710202	4.48	2.25	0.23
19710203	0.09	3.52	0.27
19710204	0.03	4.6	0.2
19710205	0.0	3.64	0.18
19710206	0.0	3.16	0.17
19710207	0.01	4.26	0.15
19710208	0.02	4.42	0.15
19710209	0.0	4.8	0.14
19710210	0.02	3.94	0.13
19710211	10.36	5.29	0.2
19710212	24.11	5.37	7.74
19710213	0.95	3.05	1.76
19710214	7.74	3.06	2.18
19710215	3.91	-0.12	1.22
19710216	3.78	1.68	0.61
19710217	9.26	5.0	1.62
19710218	0.07	3.92	1.17
19710219	6.33	6.12	0.75
19710220	4.8	6.63	1.07
19710221	0.06	3.82	0.67
19710222	0.01	4.12	0.39
19710223	0.0	5.37	0.29
19710224	0.0	4.36	0.24
19710225	0.0	3.2	0.21
19710226	0.0	3.65	0.19
19710227	6.11	3.71	0.18
19710228	5.18	1.98	0.17
19710301	20.55	2.93	0.18
19710302	0.01	2.33	0.67
19710303	0.0	-0.8	0.43
19710304	0.0	-2.03	0.27
19710305	3.56	-0.08	0.22
19710306	0.0	-2.16	0.28
19710307	0.07	1.57	0.32
19710308	0.0	3.75	0.72
19710309	0.25	2.09	0.58
19710310	0.0	3.7	0.34
19710311	0.0	5.71	0.26
19710312	6.45	6.35	0.2
19710313	2.57	4.23	0.18
19710314	2.42	2.18	0.17
19710315	2.74	2.83	0.14
19710316	7.64	3.89	0.14
19710317	11.15	4.66	0.26
19710318	6.74	6.83	1.0
19710319	4.18	3.88	1.33
19710320	1.41	3.18	1.26
19710321	0.0	3.31	0.38
19710322	0.01	4.27	0.25
19710323	9.64	5.57	0.64
19710324	13.68	5.47	1.99
19710325	2.29	5.54	0.87
19710326	0.19	4.7	0.59
19710327	0.0	6.41	0.33
19710328	0.66	7.56	0.28
19710329	2.86	7.45	0.25
19710330	0.0	5.98	0.24
19710331	0.0	4.5	0.19
19710401	0.09	5.19	0.17
19710402	0.0	4.08	0.15
19710403	0.0	4.86	0.13
19710404	0.04	4.75	0.12
19710405	2.94	6.04	0.11
19710406	0.14	6.34	0.1
19710407	0.19	6.69	0.1
19710408	0.0	5.51	0.09
19710409	0.0	5.2	0.09
19710410	0.0	6.94	0.08
19710411	0.0	8.38	0.08
19710412	0.0	9.06	0.07
19710413	0.01	8.36	0.07
19710414	0.0	7.57	0.07
19710415	0.18	9.12	0.07
19710416	0.58	4.53	0.1
19710417	0.02	6.75	0.08
19710418	0.01	8.18	0.07
19710419	0.0	6.71	0.06
19710420	0.0	12.05	0.06
19710421	0.57	11.47	0.06
19710422	9.13	12.07	0.06
19710423	43.27	7.09	0.73
19710424	5.26	5.56	2.05
19710425	4.82	5.4	0.5
19710426	0.0	3.76	0.22
19710427	0.03	4.53	0.16
19710428	0.03	3.8	0.12
19710429	0.03	7.97	0.1
19710430	1.86	5.64	0.13
19710501	0.0	6.29	0.15
19710502	0.0	6.17	0.1
19710503	0.0	7.91	0.09
19710504	0.0	10.47	0.08
19710505	0.33	13.74	0.07
19710506	0.5	13.67	0.6
19710507	0.68	12.91	0.69
19710508	0.05	11.77	0.35
19710509	0.21	12.21	0.17
19710510	0.25	12.04	0.14
19710511	0.0	12.98	0.11
19710512	0.0	14.64	0.1
19710513	0.0	13.21	0.08
19710514	0.33	13.17	0.08
19710515	0.02	7.1	0.07
19710516	3.57	6.97	0.08
19710517	0.11	8.09	0.09
19710518	0.0	6.75	0.08
19710519	0.0	8.43	0.07
19710520	0.0	9.76	0.06
19710521	0.0	11.57	0.06
19710522	19.83	10.89	0.1
19710523	6.9	9.53	0.59
19710524	0.41	11.36	0.53
19710525	0.0	8.33	0.21
19710526	8.61	9.11	0.13
19710527	0.86	8.4	0.1
19710528	8.94	8.28	0.09
19710529	10.61	11.44	0.1
19710530	2.0	10.89	0.26
19710531	0.0	8.58	0.17
19710601	0.0	13.49	0.1
19710602	0.02	15.41	0.08
19710603	0.21	13.3	0.07
19710604	0.0	13.58	0.06
19710605	0.0	10.95	0.06
19710606	0.01	9.83	0.06
19710607	0.08	11.19	0.06
19710608	5.51	8.38	0.06
19710609	0.09	8.44	0.06
19710610	0.1	10.18	0.05
19710611	17.2	9.32	0.05
19710612	1.41	7.97	0.06
19710613	0.09	11.41	0.06
19710614	1.18	5.35	0.06
19710615	0.22	9.29	0.05
19710616	2.03	8.3	0.05
19710617	3.08	9.8	0.05
19710618	81.6	10.07	0.16
19710619	17.22	11.98	0.46
19710620	0.05	11.02	0.8
19710621	4.72	9.82	1.5
19710622	0.0	10.64	0.4
19710623	0.0	12.87	0.17
19710624	6.37	13.09	0.11
19710625	11.74	11.6	0.27
19710626	0.35	11.08	0.35
19710627	8.22	10.88	0.35
19710628	0.08	10.89	0.68
19710629	0.03	12.59	0.21
19710630	1.6	14.8	0.14
19710701	0.0	15.67	0.11
19710702	0.01	16.58	0.09
19710703	0.27	18.52	0.08
19710704	2.45	14.74	0.07
19710705	0.01	13.84	0.07
19710706	0.0	16.81	0.06
19710707	0.0	19.72	0.05
19710708	0.0	19.11	0.05
19710709	3.56	18.28	0.05
19710710	0.06	17.38	0.05
19710711	0.01	17.11	0.05
19710712	0.0	14.87	0.04
19710713	0.0	13.17	0.04
19710714	0.0	13.43	0.04
19710715	0.0	12.76	0.04
19710716	0.0	9.89	0.04
19710717	0.0	11.38	0.04
19710718	0.0	11.22	0.03
19710719	0.0	13.19	0.04
19710720	0.0	13.94	0.04
19710721	0.0	14.31	0.04
19710722	8.82	15.94	0.05
19710723	2.86	15.13	0.92
19710724	3.39	15.47	2.81
19710725	10.68	16.13	1.36
19710726	2.97	15.24	0.53
19710727	0.69	15.21	0.48
19710728	0.01	14.59	0.28
19710729	0.0	13.78	0.16
19710730	34.63	17.76	0.32
19710731	1.11	14.48	1.91
19710801	0.74	13.7	0.72
19710802	2.54	14.88	0.4
19710803	7.89	14.58	1.96
