date	precipitation	temperature	discharge_spec
19960930	1.52	9.58	1.06
19961001	1.63	8.17	1.06
19961002	0.64	12.65	0.94
19961003	18.86	11.22	2.63
19961004	12.87	9.57	2.37
19961005	0.96	10.09	2.09
19961006	0.14	12.38	1.76
19961007	4.59	11.56	1.66
19961008	0.15	7.35	1.68
19961009	0.32	9.32	1.52
19961010	0.0	8.69	1.34
19961011	0.0	12.15	1.24
19961012	0.0	13.64	1.17
19961013	0.5	14.54	1.11
19961014	25.23	11.27	2.06
19961015	18.61	7.81	3.73
19961016	23.24	8.0	9.43
19961017	11.21	9.8	9.85
19961018	7.08	11.59	9.52
19961019	6.95	12.38	7.46
19961020	15.9	12.06	11.07
19961021	0.7	11.4	8.31
19961022	0.01	13.99	6.19
19961023	1.16	15.19	4.72
19961024	4.64	13.42	4.06
19961025	10.89	9.85	3.97
19961026	14.71	11.15	4.27
19961027	3.32	12.36	6.43
19961028	13.0	9.61	7.15
19961029	0.16	8.25	6.37
19961030	8.06	10.27	5.51
19961031	39.74	10.64	19.04
19961101	20.28	12.29	12.56
19961102	13.12	13.29	13.83
19961103	11.89	11.35	13.11
19961104	12.83	9.28	12.0
19961105	13.07	10.3	11.13
19961106	12.13	8.68	11.02
19961107	3.12	4.02	9.4
19961108	2.54	5.82	7.54
19961109	0.69	3.78	5.99
19961110	0.01	2.22	4.97
19961111	0.83	3.63	4.2
19961112	0.39	2.7	3.56
19961113	1.27	4.92	3.11
19961114	0.45	7.99	2.87
19961115	1.41	8.99	2.57
19961116	16.91	7.67	3.54
19961117	0.01	1.52	4.33
19961118	8.48	1.42	3.7
19961119	1.17	2.05	4.07
19961120	2.87	0.86	3.68
19961121	3.56	1.86	3.56
19961122	0.96	1.48	3.58
19961123	3.64	2.78	3.29
19961124	19.34	5.81	6.95
19961125	1.55	3.42	6.13
19961126	0.96	2.43	5.21
19961127	0.0	1.74	4.47
19961128	35.55	5.16	7.05
19961129	4.7	6.94	9.15
19961130	3.28	7.68	7.12
19961201	1.49	8.12	6.19
19961202	22.15	7.21	5.91
19961203	15.99	6.14	10.76
19961204	4.02	3.4	10.27
19961205	0.01	2.01	7.86
19961206	0.11	0.31	6.19
19961207	0.02	1.04	5.09
19961208	0.0	2.93	4.32
19961209	0.01	3.7	3.76
19961210	0.0	1.67	3.32
19961211	0.0	2.12	2.94
19961212	0.0	2.36	2.68
19961213	0.0	-0.29	2.42
19961214	1.52	3.24	2.22
19961215	1.49	5.91	2.18
19961216	0.73	2.34	2.12
19961217	5.63	7.37	2.19
19961218	3.76	8.74	2.35
19961219	2.12	4.03	2.23
19961220	0.01	2.4	2.07
19961221	0.0	0.38	1.91
19961222	0.0	1.58	1.85
19961223	0.0	1.34	1.8
19961224	0.0	0.01	1.7
19961225	0.0	-0.13	1.68
19961226	5.41	0.08	1.65
19961227	0.04	1.31	1.87
19961228	0.02	-0.6	1.65
19961229	0.08	-0.02	1.59
19961230	0.39	0.44	1.57
19961231	0.07	-2.42	1.46
19970101	0.17	-5.0	1.55
19970102	0.01	-2.13	1.37
19970103	0.0	-1.71	1.21
19970104	0.0	-0.41	1.16
19970105	0.0	0.17	1.08
19970106	0.0	0.21	1.03
19970107	0.0	-3.04	0.9
19970108	0.0	-1.83	0.89
19970109	0.0	-0.52	0.84
19970110	1.74	1.59	0.77
19970111	1.28	7.17	0.89
19970112	0.07	8.16	0.91
19970113	0.0	4.8	0.84
19970114	0.0	3.56	0.78
19970115	0.09	2.24	0.75
19970116	0.01	6.7	0.75
19970117	0.03	6.91	0.74
19970118	0.14	6.16	0.72
19970119	0.14	2.41	0.71
19970120	0.0	1.93	0.69
19970121	0.75	0.95	0.67
19970122	1.4	1.15	0.69
19970123	0.56	4.18	0.67
19970124	0.77	4.68	0.67
19970125	0.0	6.04	0.65
19970126	0.01	5.5	0.64
19970127	0.0	3.35	0.63
19970128	0.0	2.15	0.6
19970129	0.02	1.66	0.59
19970130	0.0	1.97	0.58
19970131	0.11	2.47	0.57
19970201	4.53	3.87	0.59
19970202	0.04	1.69	0.64
19970203	30.06	5.29	0.87
19970204	1.04	4.68	3.42
19970205	0.41	4.9	1.88
19970206	10.57	7.31	1.95
19970207	0.03	3.33	2.47
19970208	6.21	4.83	2.29
19970209	11.21	8.16	3.64
19970210	2.53	5.69	4.56
19970211	28.21	8.08	6.02
19970212	16.53	6.28	16.0
19970213	0.01	2.35	10.14
19970214	0.08	1.99	6.74
19970215	1.55	4.82	4.94
19970216	7.01	7.14	4.1
19970217	32.39	6.56	9.21
19970218	1.38	4.27	7.53
19970219	13.99	6.92	7.52
19970220	7.1	7.91	6.58
19970221	0.09	8.4	5.65
19970222	5.28	8.23	4.71
19970223	7.29	5.9	4.82
19970224	14.43	4.94	5.63
19970225	4.65	6.14	5.31
19970226	3.22	4.58	4.8
19970227	9.51	7.56	4.23
19970228	0.01	7.4	4.63
19970301	18.75	7.38	5.02
19970302	0.1	4.37	6.55
19970303	2.89	5.16	5.25
19970304	0.19	6.05	4.5
19970305	11.41	4.03	5.34
19970306	0.01	6.79	4.34
19970307	1.41	6.11	3.93
19970308	0.01	7.08	3.47
19970309	0.71	4.62	3.07
19970310	0.04	7.84	2.7
19970311	0.0	10.97	2.35
19970312	0.68	8.47	2.14
19970313	6.02	8.97	2.05
19970314	5.56	9.12	2.29
19970315	0.18	8.93	2.21
19970316	0.0	8.93	1.87
19970317	5.05	7.86	1.74
19970318	4.49	7.34	1.8
19970319	0.15	4.43	1.75
19970320	1.08	4.55	1.63
19970321	0.0	5.71	1.52
19970322	6.67	9.13	1.48
19970323	5.52	7.33	1.55
19970324	3.06	6.74	1.85
19970325	4.72	8.59	1.89
19970326	1.0	8.57	2.08
19970327	3.13	7.38	1.94
19970328	0.0	5.97	1.82
19970329	0.0	4.92	1.68
19970330	0.0	4.47	1.6
19970331	0.0	6.52	1.49
19970401	0.0	8.5	1.4
