date	precipitation	temperature	discharge_spec
19960930	0.15	9.36	0.25
19961001	0.51	8.74	0.22
19961002	0.02	12.33	0.21
19961003	6.42	11.09	0.22
19961004	8.28	9.15	0.25
19961005	0.26	10.19	0.27
19961006	0.0	11.94	0.24
19961007	0.8	11.86	0.22
19961008	0.12	9.27	0.22
19961009	0.74	9.55	0.22
19961010	0.02	8.76	0.22
19961011	0.04	11.46	0.21
19961012	0.0	12.92	0.2
19961013	0.03	13.32	0.2
19961014	12.08	11.3	0.25
19961015	14.41	7.3	0.32
19961016	3.1	7.21	0.64
19961017	5.45	9.49	0.48
19961018	4.11	10.55	0.54
19961019	2.1	12.14	0.52
19961020	5.19	11.27	0.64
19961021	0.26	10.94	0.62
19961022	0.01	13.16	0.52
19961023	0.03	14.06	0.46
19961024	2.38	13.96	0.43
19961025	7.8	9.88	0.45
19961026	2.46	10.55	0.58
19961027	4.07	12.03	0.6
19961028	8.6	9.55	0.91
19961029	0.03	7.78	1.13
19961030	1.87	9.99	0.89
19961031	9.87	9.75	1.47
19961101	5.48	12.43	1.48
19961102	2.72	13.44	1.93
19961103	3.14	11.79	1.71
19961104	5.94	9.31	1.75
19961105	6.82	10.01	1.8
19961106	4.33	7.52	2.33
19961107	7.12	3.48	2.35
19961108	1.3	5.54	1.98
19961109	0.32	3.94	1.73
19961110	0.19	2.41	1.49
19961111	4.25	3.71	1.33
19961112	0.32	3.68	1.26
19961113	0.93	5.01	1.07
19961114	1.21	8.37	0.98
19961115	3.25	8.65	0.95
19961116	6.27	7.37	0.95
19961117	4.38	1.13	1.45
19961118	4.93	1.71	1.27
19961119	39.48	1.01	2.24
19961120	7.83	0.59	4.08
19961121	8.44	1.45	3.12
19961122	3.47	1.64	3.72
19961123	5.52	2.21	3.48
19961124	14.31	4.04	5.0
19961125	4.48	3.26	8.97
19961126	0.01	2.24	9.8
19961127	0.0	0.57	6.86
19961128	7.93	4.77	4.74
19961129	3.46	6.43	5.83
19961130	0.31	7.39	4.89
19961201	1.3	7.81	3.87
19961202	5.32	5.67	3.12
19961203	9.7	6.03	3.48
19961204	4.73	3.25	3.74
19961205	0.41	1.97	3.5
19961206	0.02	0.68	2.86
19961207	0.03	1.66	2.41
19961208	0.01	3.61	2.14
19961209	0.01	2.95	1.89
19961210	0.05	1.33	1.68
19961211	0.01	2.52	1.53
19961212	0.48	1.85	1.41
19961213	0.01	-0.33	1.27
19961214	0.2	3.78	1.18
19961215	0.22	5.93	1.11
19961216	0.0	3.09	1.06
19961217	0.41	5.45	1.0
19961218	5.02	7.85	1.0
19961219	14.98	3.14	1.41
19961220	0.58	0.91	1.77
19961221	0.0	-0.08	1.41
19961222	0.0	0.97	1.28
19961223	0.02	1.06	1.24
19961224	0.02	-0.13	1.16
19961225	0.0	-0.51	1.08
19961226	2.76	0.26	1.01
19961227	0.02	1.32	1.06
19961228	0.01	-1.68	0.98
19961229	0.36	-0.58	0.92
19961230	0.04	-0.07	0.91
19961231	2.12	-1.81	0.85
19970101	0.22	-3.63	0.82
19970102	0.66	-3.31	0.8
19970103	0.28	-2.05	0.77
19970104	0.03	-1.05	0.74
19970105	0.13	-0.03	0.72
19970106	0.06	-0.65	0.7
19970107	0.0	-2.75	0.67
19970108	0.0	-1.53	0.65
19970109	0.0	-0.12	0.64
19970110	0.32	0.85	0.61
19970111	0.69	6.26	0.68
19970112	0.08	8.75	0.75
19970113	0.0	7.07	0.69
19970114	0.0	4.93	0.64
19970115	0.01	2.67	0.61
19970116	0.0	4.35	0.61
19970117	0.8	6.21	0.61
19970118	0.38	5.6	0.61
19970119	0.23	2.51	0.59
19970120	0.0	0.78	0.56
19970121	1.38	0.33	0.54
19970122	2.65	1.04	0.59
19970123	0.03	3.17	0.57
19970124	0.13	5.02	0.55
19970125	0.01	5.36	0.53
19970126	0.0	5.62	0.52
19970127	0.01	4.23	0.5
19970128	0.02	1.68	0.49
19970129	0.01	1.53	0.48
19970130	0.0	1.63	0.48
19970131	0.0	2.59	0.47
19970201	0.6	3.61	0.47
19970202	0.11	1.95	0.47
19970203	5.07	5.48	0.47
19970204	0.32	4.7	0.62
19970205	0.02	5.57	0.54
19970206	3.57	7.64	0.52
19970207	0.02	4.05	0.61
19970208	0.58	5.65	0.56
19970209	9.2	8.44	0.57
19970210	3.15	5.45	1.21
19970211	7.31	8.04	1.35
19970212	9.85	6.58	2.26
19970213	0.1	2.62	3.01
19970214	0.0	2.98	2.24
19970215	0.84	5.07	1.82
19970216	6.94	6.75	1.97
19970217	14.93	6.09	3.72
19970218	0.92	4.24	4.12
19970219	12.52	6.97	4.57
19970220	7.62	8.46	4.63
19970221	0.15	8.2	4.57
19970222	4.33	8.9	3.37
19970223	7.67	6.53	3.55
19970224	11.01	4.48	4.81
19970225	6.34	6.21	4.83
19970226	4.39	4.29	4.48
19970227	2.68	7.47	3.69
19970228	0.11	7.81	3.22
19970301	7.68	7.45	2.78
19970302	0.03	4.66	3.03
19970303	2.05	4.15	2.35
19970304	0.18	5.55	2.22
19970305	3.44	4.21	2.05
19970306	0.03	6.81	1.83
19970307	0.71	6.98	1.65
19970308	0.02	6.48	1.48
19970309	1.35	5.02	1.39
19970310	0.05	7.04	1.29
19970311	0.0	10.72	1.19
19970312	0.01	9.85	1.11
19970313	2.97	9.84	1.05
19970314	0.15	10.04	1.07
19970315	0.01	9.98	0.97
19970316	0.0	9.92	0.9
19970317	2.21	9.33	0.86
19970318	2.82	7.96	0.86
19970319	0.02	5.18	0.85
19970320	0.38	4.88	0.78
19970321	0.02	6.07	0.73
19970322	3.9	9.5	0.73
19970323	4.72	7.34	0.79
19970324	3.14	7.97	0.93
19970325	0.25	9.56	0.81
19970326	0.18	9.21	0.77
19970327	3.98	7.47	0.79
19970328	0.01	6.4	0.79
19970329	0.0	6.96	0.73
19970330	0.0	4.8	0.7
19970331	0.0	8.44	0.69
19970401	0.0	10.27	0.66
19970402	0.16	9.63	0.65
19970403	0.05	6.13	0.63
19970404	0.05	8.1	0.6
19970405	0.31	10.26	0.59
19970406	0.44	9.65	0.57
19970407	0.96	7.32	0.57
19970408	0.01	8.83	0.54
19970409	0.0	8.19	0.51
19970410	0.0	8.91	0.5
19970411	0.0	5.59	0.48
19970412	0.0	6.49	0.47
19970413	0.0	8.73	0.46
19970414	0.04	9.66	0.45
19970415	0.0	7.22	0.44
19970416	0.0	10.28	0.43
19970417	0.0	8.16	0.42
19970418	0.13	7.34	0.41
19970419	0.0	3.26	0.41
19970420	0.0	2.96	0.4
19970421	0.56	6.41	0.39
19970422	0.34	6.74	0.39
19970423	0.02	10.38	0.38
19970424	19.48	9.16	0.39
19970425	7.28	7.14	0.94
19970426	2.38	9.65	0.73
19970427	0.95	13.09	0.61
19970428	5.31	10.9	0.67
19970429	0.02	8.8	0.71
19970430	0.0	12.28	0.56
19970501	0.0	13.93	0.51
19970502	0.0	14.24	0.48
19970503	3.0	15.87	0.48
19970504	3.93	12.53	0.51
19970505	26.78	6.38	0.82
19970506	4.37	3.78	1.65
19970507	13.87	5.59	1.89
19970508	5.43	4.56	3.12
19970509	3.36	6.99	2.52
19970510	11.78	8.63	2.41
19970511	3.79	8.62	2.93
19970512	0.9	9.34	2.39
19970513	1.04	9.5	2.06
19970514	0.01	9.78	1.73
19970515	0.0	11.62	1.5
19970516	7.78	13.37	1.45
19970517	2.73	15.81	1.47
19970518	0.05	13.92	1.26
19970519	3.81	12.25	1.17
19970520	6.74	12.69	1.24
19970521	1.03	8.73	1.17
19970522	0.74	7.88	1.06
19970523	0.03	6.8	0.96
19970524	0.0	7.66	0.86
19970525	0.0	9.58	0.8
19970526	0.0	13.51	0.76
19970527	0.0	12.14	0.72
19970528	0.0	11.43	0.67
19970529	0.0	14.05	0.63
19970530	0.0	16.41	0.59
19970531	0.0	15.62	0.56
19970601	0.0	12.9	0.53
19970602	0.0	12.57	0.53
19970603	0.0	13.7	0.52
19970604	0.0	14.35	0.5
19970605	0.3	16.66	0.49
19970606	1.89	16.31	0.49
19970607	1.55	16.04	0.47
19970608	0.17	13.09	0.44
19970609	0.76	12.84	0.42
19970610	13.07	16.22	0.46
19970611	28.38	16.27	0.88
19970612	0.84	14.69	2.01
19970613	3.68	12.53	0.78
19970614	1.38	10.31	0.77
19970615	0.25	8.1	0.63
19970616	0.0	10.2	0.57
19970617	0.02	11.76	0.53
19970618	2.01	12.97	0.52
19970619	2.0	10.99	0.54
19970620	7.65	11.06	0.57
19970621	3.44	12.06	0.69
19970622	0.34	12.85	0.59
19970623	0.08	9.35	0.52
19970624	13.49	11.62	0.5
19970625	30.67	10.96	1.46
19970626	17.15	8.83	7.58
19970627	2.64	11.2	6.73
19970628	2.23	11.68	5.08
19970629	0.1	12.38	3.74
19970630	3.89	11.08	2.9
19970701	1.24	9.53	2.71
19970702	2.16	10.91	2.2
19970703	0.14	11.97	1.77
19970704	0.02	11.9	1.39
19970705	0.01	14.81	1.14
19970706	0.0	15.98	0.99
19970707	0.0	15.99	0.91
19970708	0.0	16.54	0.83
19970709	0.36	18.31	0.76
19970710	0.0	17.45	0.72
19970711	0.0	17.38	0.67
19970712	0.7	17.66	0.63
19970713	0.48	14.82	0.61
19970714	2.81	15.76	0.59
19970715	0.09	16.19	0.57
19970716	12.48	14.11	0.57
19970717	0.05	12.66	0.73
19970718	0.0	13.44	0.55
19970719	0.0	16.92	0.5
19970720	0.03	17.63	0.47
19970721	0.01	16.63	0.45
19970722	0.0	17.25	0.42
19970723	1.41	18.83	0.42
19970724	4.95	16.1	0.45
19970725	1.65	15.89	0.44
19970726	4.64	15.33	0.45
19970727	0.01	16.66	0.42
19970728	0.0	15.09	0.39
19970729	1.2	16.84	0.37
19970730	1.46	14.7	0.36
19970731	6.09	14.81	0.4
19970801	0.25	14.85	0.4
19970802	0.01	14.2	0.37
19970803	0.02	14.41	0.35
19970804	1.03	15.41	0.34
19970805	0.01	16.83	0.34
19970806	0.0	19.05	0.33
19970807	0.0	19.91	0.32
19970808	0.0	20.67	0.25
19970809	0.0	18.2	0.24
19970810	10.51	22.52	0.36
19970811	0.08	18.78	0.34
19970812	0.02	19.67	0.26
19970813	7.84	17.45	0.36
19970814	0.01	17.59	0.28
19970815	0.0	17.53	0.25
19970816	0.12	20.4	0.23
19970817	0.59	17.63	0.24
19970818	0.0	18.31	0.24
19970819	1.74	22.0	0.22
19970820	5.62	19.7	0.27
19970821	8.48	15.37	0.38
19970822	3.35	17.17	0.29
19970823	5.1	16.84	0.31
19970824	0.08	13.95	0.3
19970825	0.03	15.06	0.26
19970826	2.4	16.18	0.24
19970827	0.57	14.55	0.25
19970828	11.21	14.99	0.28
19970829	4.33	13.77	0.34
19970830	9.01	13.35	0.32
19970831	3.46	15.39	0.5
19970901	0.04	12.94	0.37
19970902	0.76	15.61	0.29
19970903	3.51	13.2	0.29
19970904	0.37	14.24	0.29
19970905	0.02	13.66	0.26
19970906	1.95	14.07	0.24
19970907	0.05	12.99	0.25
19970908	0.0	14.13	0.23
19970909	0.0	10.71	0.22
19970910	0.0	13.12	0.21
19970911	2.28	13.13	0.22
19970912	4.52	10.24	0.23
19970913	0.09	10.48	0.23
19970914	0.02	13.22	0.2
19970915	0.34	14.51	0.2
19970916	1.77	11.83	0.2
19970917	0.05	13.39	0.2
19970918	0.79	13.98	0.2
19970919	0.11	11.41	0.2
19970920	0.0	12.04	0.2
19970921	0.0	10.94	0.19
19970922	0.0	11.55	0.18
19970923	0.0	11.14	0.18
19970924	0.0	12.96	0.18
19970925	0.0	13.1	0.18
19970926	0.0	12.79	0.18
19970927	0.0	11.35	0.18
19970928	0.17	14.51	0.18
19970929	0.55	13.37	0.17
19970930	2.38	15.17	0.18
19971001	0.09	13.69	0.18
19971002	0.02	12.13	0.18
19971003	0.0	13.65	0.17
19971004	0.1	13.62	0.17
19971005	1.37	13.9	0.17
19971006	8.52	11.39	0.2
19971007	3.85	10.44	0.22
19971008	11.92	12.18	0.25
19971009	3.26	12.29	0.36
19971010	1.63	10.13	0.31
19971011	10.8	7.47	0.36
19971012	4.12	7.72	0.57
19971013	0.23	5.17	0.41
19971014	13.21	9.37	0.45
19971015	3.02	12.1	0.66
19971016	0.2	15.17	0.54
19971017	0.02	12.68	0.44
19971018	0.02	14.71	0.38
19971019	0.01	14.17	0.35
19971020	0.0	7.88	0.32
19971021	0.0	5.31	0.3
19971022	0.0	4.26	0.3
19971023	0.0	4.18	0.29
19971024	0.01	3.51	0.28
19971025	0.0	4.55	0.27
19971026	0.0	4.97	0.27
19971027	0.0	5.71	0.26
19971028	0.0	2.56	0.24
19971029	2.66	6.08	0.24
19971030	0.03	7.06	0.25
19971031	0.38	9.76	0.25
19971101	2.61	10.4	0.25
19971102	0.54	9.97	0.26
19971103	0.01	7.43	0.25
19971104	2.83	8.54	0.24
19971105	0.33	10.04	0.26
19971106	1.53	7.78	0.26
19971107	19.64	6.99	0.29
19971108	4.71	7.19	1.19
19971109	4.72	5.44	0.84
19971110	4.6	7.22	0.99
19971111	0.13	6.56	0.94
19971112	1.53	6.32	0.78
19971113	0.49	4.45	0.73
19971114	0.44	8.67	0.67
19971115	0.21	12.83	0.62
19971116	5.41	12.99	0.72
19971117	3.6	12.71	0.7
19971118	1.76	11.36	0.77
19971119	2.02	9.91	0.77
19971120	4.06	5.53	0.86
19971121	1.12	4.46	0.86
19971122	0.07	4.35	0.79
19971123	4.47	6.39	0.8
19971124	0.64	6.6	0.92
19971125	1.64	6.28	0.85
19971126	0.3	7.51	0.8
19971127	9.34	6.11	0.76
19971128	21.89	8.28	2.33
19971129	3.08	7.31	4.72
19971130	0.26	3.78	3.22
19971201	0.03	0.09	2.46
19971202	2.17	-0.92	1.99
19971203	0.04	0.4	1.62
19971204	0.04	1.34	1.4
19971205	0.32	6.92	1.27
19971206	0.03	9.18	1.15
19971207	4.04	9.48	1.07
19971208	2.24	8.53	1.21
19971209	9.66	9.88	1.18
19971210	4.74	9.07	2.03
19971211	5.11	6.4	2.54
19971212	0.1	4.79	2.2
19971213	0.03	6.01	1.88
19971214	0.01	5.9	1.63
19971215	0.0	3.12	1.41
19971216	0.0	1.54	1.27
19971217	7.15	1.9	1.19
19971218	2.44	4.45	1.47
19971219	0.06	2.99	1.2
19971220	0.03	4.0	1.05
19971221	0.0	5.16	0.96
19971222	3.38	5.78	0.98
19971223	6.69	8.99	1.31
19971224	6.64	9.04	1.82
19971225	20.12	7.26	3.44
19971226	5.78	5.85	5.3
19971227	3.53	4.38	4.23
19971228	16.82	4.15	5.15
19971229	4.06	5.27	5.68
19971230	4.51	6.89	4.48
19971231	2.09	3.54	3.78
19980101	11.07	5.94	4.81
19980102	14.28	6.7	4.87
19980103	3.44	4.97	6.41
19980104	18.45	3.36	7.15
19980105	1.84	2.11	7.71
19980106	10.7	4.64	5.89
19980107	11.11	5.06	5.87
19980108	11.2	9.82	7.58
19980109	0.04	11.27	8.18
19980110	0.01	11.34	5.92
19980111	1.32	8.14	4.14
19980112	6.35	8.63	3.27
19980113	17.16	6.36	3.97
19980114	1.67	5.61	5.13
19980115	4.57	6.32	4.14
19980116	0.66	5.32	3.8
19980117	7.09	6.63	3.22
19980118	12.64	4.34	4.38
19980119	0.55	0.19	4.74
19980120	4.85	1.05	3.67
19980121	1.29	4.95	3.48
19980122	0.22	4.38	3.03
19980123	0.02	1.38	2.54
19980124	0.0	0.96	2.2
19980125	0.0	0.75	1.95
19980126	0.01	0.81	1.76
19980127	0.0	-0.45	1.62
19980128	0.0	-0.08	1.48
19980129	0.0	1.79	1.36
19980130	0.0	2.99	1.25
19980131	0.13	0.9	1.16
19980201	4.15	1.91	1.13
19980202	1.68	2.1	1.15
19980203	0.28	3.22	1.06
19980204	0.05	5.58	0.99
19980205	0.06	6.93	0.93
19980206	4.49	4.7	0.94
19980207	0.44	4.54	0.95
19980208	0.03	8.48	0.88
19980209	0.26	8.96	0.83
19980210	0.23	9.79	0.8
19980211	0.03	11.37	0.77
19980212	0.01	11.56	0.75
19980213	0.01	10.73	0.72
19980214	0.01	12.28	0.7
19980215	0.02	11.91	0.69
