date	precipitation	temperature	discharge_spec
19960930	0.54	10.13	0.3
19961001	0.23	9.22	0.29
19961002	0.0	12.55	0.28
19961003	6.39	11.09	0.3
19961004	7.54	9.29	0.3
19961005	0.09	10.39	0.3
19961006	0.0	11.93	0.28
19961007	0.27	12.01	0.29
19961008	0.14	9.73	0.28
19961009	1.47	9.63	0.3
19961010	0.03	8.86	0.28
19961011	0.13	11.76	0.27
19961012	0.0	12.68	0.27
19961013	0.0	13.55	0.27
19961014	12.62	11.17	0.32
19961015	8.4	7.45	0.32
19961016	1.04	7.65	0.33
19961017	2.4	9.83	0.3
19961018	3.25	10.83	0.31
19961019	2.93	12.55	0.3
19961020	2.48	11.75	0.31
19961021	0.34	11.09	0.29
19961022	0.03	13.19	0.29
19961023	0.0	13.86	0.28
19961024	1.43	14.12	0.28
19961025	5.08	9.86	0.28
19961026	0.73	10.76	0.28
19961027	3.16	12.01	0.28
19961028	5.93	9.75	0.31
19961029	0.03	7.77	0.29
19961030	1.0	9.84	0.28
19961031	8.3	10.03	0.33
19961101	2.8	12.15	0.31
19961102	0.39	13.72	0.3
19961103	1.52	11.93	0.3
19961104	4.34	9.57	0.31
19961105	4.12	9.96	0.33
19961106	4.4	7.53	0.33
19961107	8.85	3.42	0.48
19961108	0.29	6.27	0.42
19961109	0.43	4.33	0.41
19961110	0.19	2.85	0.41
19961111	2.69	3.86	0.4
19961112	0.25	4.27	0.39
19961113	0.91	4.87	0.38
19961114	1.29	8.29	0.38
19961115	3.46	8.77	0.38
19961116	8.35	7.46	0.43
19961117	6.44	1.1	0.66
19961118	3.94	1.85	0.58
19961119	34.76	1.03	0.83
19961120	8.55	0.93	1.16
19961121	6.98	1.96	1.09
19961122	3.86	1.75	1.23
19961123	7.62	2.05	1.4
19961124	15.76	3.69	2.32
19961125	2.63	2.95	5.08
19961126	0.0	2.24	3.79
19961127	0.0	0.58	2.75
19961128	7.64	4.76	2.33
19961129	4.12	6.04	2.66
19961130	0.3	7.31	2.17
19961201	0.4	7.72	1.95
19961202	4.03	5.06	1.79
19961203	8.43	6.25	1.77
19961204	4.49	3.26	1.73
19961205	0.07	2.07	1.55
19961206	0.0	1.17	1.48
19961207	0.0	2.28	1.43
19961208	0.0	3.57	1.37
19961209	0.0	3.39	1.3
19961210	0.06	1.49	1.23
19961211	0.02	2.44	1.17
19961212	0.35	1.78	1.14
19961213	0.0	-0.15	1.01
19961214	0.06	3.96	0.96
19961215	0.04	6.22	0.95
19961216	0.0	3.43	0.94
19961217	0.4	4.62	0.92
19961218	5.96	7.79	0.93
19961219	20.54	3.05	1.35
19961220	0.5	0.76	1.36
19961221	0.0	-0.08	1.28
