date	precipitation	temperature	discharge_spec
19960930	0.37	9.03	4.9
19961001	1.76	8.54	2.59
19961002	2.76	11.5	1.84
19961003	19.09	10.14	11.91
19961004	12.33	7.92	5.32
19961005	1.19	9.27	4.87
19961006	0.01	11.21	2.77
19961007	1.71	11.16	2.04
19961008	0.43	7.93	1.78
19961009	0.82	8.56	1.52
19961010	0.05	7.66	1.33
19961011	0.01	11.0	1.11
19961012	0.0	12.81	0.93
19961013	0.21	13.36	0.79
19961014	15.57	10.76	1.37
19961015	27.83	6.45	8.64
19961016	6.95	6.79	14.36
19961017	12.1	8.03	6.42
19961018	11.19	10.12	12.47
19961019	4.75	11.23	5.6
19961020	20.47	11.4	20.05
19961021	0.73	10.54	6.16
19961022	0.0	13.39	3.73
19961023	2.64	14.46	2.65
19961024	11.37	12.59	4.59
19961025	14.79	8.61	9.42
19961026	20.26	9.77	11.45
19961027	11.46	11.31	16.46
19961028	23.53	8.21	23.17
19961029	0.63	7.2	9.94
19961030	12.28	9.54	4.91
19961031	34.26	9.26	36.4
19961101	28.69	11.12	22.03
19961102	22.35	12.23	23.73
19961103	9.49	10.22	18.55
19961104	19.93	7.9	18.79
19961105	35.74	9.09	33.51
19961106	6.59	7.0	14.19
19961107	9.38	3.03	9.98
19961108	3.02	4.77	6.34
19961109	2.52	3.18	4.77
19961110	0.19	1.57	3.8
19961111	10.44	3.55	3.83
19961112	0.55	3.42	4.36
19961113	2.5	5.95	2.87
19961114	1.11	8.15	2.66
19961115	1.24	8.3	2.35
19961116	12.08	6.89	3.07
19961117	3.03	1.42	5.1
19961118	6.67	1.17	2.95
19961119	31.68	0.9	4.92
19961120	11.36	0.4	9.67
19961121	14.01	1.11	5.92
19961122	4.01	1.52	8.07
19961123	4.27	1.78	5.24
19961124	32.92	4.49	24.88
19961125	5.82	3.46	22.47
19961126	0.15	2.08	7.57
19961127	0.1	0.88	4.63
19961128	23.77	4.47	13.58
19961129	5.72	5.84	12.62
19961130	2.22	7.5	5.83
19961201	2.63	6.93	4.92
19961202	19.49	5.6	3.9
19961203	20.55	5.27	20.63
19961204	7.47	2.31	11.65
19961205	0.69	1.75	6.55
19961206	0.21	-0.74	4.14
19961207	0.15	1.5	3.15
19961208	0.0	3.55	2.69
19961209	0.13	3.4	2.3
19961210	0.09	0.69	2.0
19961211	0.06	1.87	1.81
19961212	0.05	1.52	1.62
19961213	0.12	-0.71	1.43
19961214	3.14	3.53	1.42
19961215	2.36	5.63	1.72
19961216	0.12	1.85	1.87
19961217	3.14	4.98	1.53
19961218	3.39	7.32	2.15
19961219	5.16	2.44	2.18
19961220	0.13	0.44	2.22
19961221	0.0	-0.63	1.62
