date	precipitation	temperature	discharge_spec
19960930	0.44	8.41	3.39
19961001	1.18	7.99	1.94
19961002	2.67	11.17	1.45
19961003	19.09	9.55	12.46
19961004	10.45	7.47	5.36
19961005	1.44	8.71	4.66
19961006	0.0	10.8	2.3
19961007	2.14	10.49	1.76
19961008	0.28	7.2	1.67
19961009	0.63	8.0	1.4
19961010	0.01	7.04	1.2
19961011	0.01	10.18	1.03
19961012	0.0	12.08	0.89
19961013	0.2	12.54	0.8
19961014	16.0	9.94	1.85
19961015	30.88	5.8	18.68
19961016	11.99	6.48	20.99
19961017	10.64	7.69	5.71
19961018	11.93	9.48	9.61
19961019	5.42	10.69	4.91
19961020	24.99	10.78	19.7
19961021	0.69	9.96	4.25
19961022	0.0	12.51	2.64
19961023	1.46	13.41	1.9
19961024	6.3	12.11	2.61
19961025	14.55	8.09	7.72
19961026	17.46	9.25	8.6
19961027	13.12	10.76	13.34
19961028	19.56	7.5	18.35
19961029	0.7	6.63	6.7
19961030	10.84	8.87	3.57
19961031	35.18	8.71	29.45
19961101	34.14	10.74	21.53
19961102	28.48	11.76	25.52
19961103	10.57	9.67	15.5
19961104	17.33	7.32	15.98
19961105	32.78	8.52	28.57
19961106	5.8	6.44	8.94
19961107	5.7	2.61	6.07
19961108	1.95	4.23	3.91
19961109	2.11	2.58	3.36
19961110	0.08	1.52	2.77
19961111	6.57	2.86	3.37
19961112	0.5	2.55	3.25
19961113	1.6	5.16	2.19
19961114	0.67	7.78	2.01
19961115	0.82	7.92	1.87
19961116	13.48	6.33	3.89
19961117	2.58	0.59	5.21
19961118	4.62	0.66	2.59
19961119	14.9	0.14	2.67
19961120	9.1	-0.4	4.26
19961121	22.99	0.49	5.07
19961122	3.04	0.71	6.54
19961123	3.02	1.13	3.47
19961124	24.8	3.77	25.05
19961125	5.55	2.68	26.6
19961126	0.05	1.56	5.49
19961127	0.03	0.38	3.24
19961128	23.39	3.9	19.23
19961129	5.81	5.23	11.37
19961130	1.84	6.93	4.6
19961201	5.45	6.35	5.0
19961202	15.75	4.98	4.94
19961203	23.22	4.73	17.8
19961204	6.14	2.05	10.36
19961205	0.24	1.38	4.37
19961206	0.05	-0.48	2.81
19961207	0.26	0.97	2.29
19961208	0.0	2.74	2.06
19961209	0.15	2.52	1.83
19961210	0.17	0.36	1.65
19961211	0.01	1.29	1.54
19961212	0.08	0.86	1.44
19961213	0.04	-1.36	1.32
19961214	4.54	2.74	1.81
19961215	2.27	4.88	2.11
19961216	0.07	1.64	1.9
19961217	2.57	5.03	1.57
19961218	3.37	6.82	2.05
19961219	4.7	1.83	2.4
19961220	0.09	-0.03	3.08
19961221	0.0	-1.14	2.06
19961222	0.0	0.2	1.4
19961223	0.0	-0.18	1.3
19961224	0.0	-0.84	1.09
19961225	0.0	-1.2	1.05
19961226	4.41	-0.86	1.07
19961227	0.02	0.61	1.22
19961228	0.12	-2.24	1.08
19961229	1.06	-1.28	1.04
19961230	0.21	-1.14	1.0
19961231	0.75	-2.8	0.9
19970101	0.11	-4.75	0.89
19970102	1.02	-3.19	0.87
19970103	0.13	-3.38	0.87
19970104	0.02	-2.01	0.83
19970105	0.01	-0.8	0.81
19970106	0.02	-1.3	0.8
19970107	0.0	-3.93	0.78
19970108	0.0	-2.97	0.76
19970109	0.0	-2.15	0.71
19970110	0.98	-0.41	0.73
19970111	4.69	5.53	2.35
19970112	1.1	7.17	3.55
19970113	0.0	5.49	1.89
19970114	0.0	3.88	1.19
19970115	0.16	2.17	1.0
19970116	0.0	4.93	0.95
19970117	1.86	5.81	1.0
19970118	0.07	4.59	1.14
19970119	0.1	1.64	1.0
19970120	0.0	0.1	0.9
19970121	0.33	-0.76	0.84
19970122	1.34	0.15	0.84
19970123	0.41	2.73	0.87
19970124	3.8	4.17	1.09
19970125	0.01	5.3	1.1
19970126	0.0	5.14	0.93
19970127	0.0	3.31	0.85
19970128	0.0	0.98	0.81
19970129	0.16	0.12	0.77
19970130	0.0	-0.08	0.76
19970131	0.12	0.88	0.72
19970201	2.5	2.47	0.76
19970202	0.16	0.86	0.87
19970203	47.78	4.71	23.96
19970204	1.14	3.05	18.35
19970205	0.22	3.68	2.88
19970206	16.44	5.66	11.44
19970207	0.04	2.64	6.65
19970208	9.51	4.25	4.63
19970209	30.6	6.73	12.19
19970210	7.44	3.78	19.9
19970211	34.92	6.61	28.97
19970212	24.66	4.67	31.01
19970213	0.1	1.35	10.09
19970214	0.06	1.63	3.19
19970215	5.37	3.46	2.28
19970216	24.0	5.14	11.1
19970217	52.94	4.63	48.34
19970218	2.97	3.19	6.61
19970219	35.01	5.39	28.57
19970220	10.59	6.35	6.97
19970221	0.23	6.74	4.71
19970222	18.38	6.82	5.89
19970223	18.94	4.42	23.08
19970224	20.5	2.77	16.52
19970225	15.44	4.26	7.31
19970226	7.85	2.77	10.15
19970227	16.78	5.87	10.49
19970228	0.09	6.11	11.03
19970301	25.94	5.87	19.84
19970302	0.04	2.75	9.27
19970303	3.63	2.99	3.45
19970304	0.06	4.07	5.28
19970305	15.84	2.92	10.49
19970306	0.13	4.56	3.77
19970307	3.55	5.25	3.09
19970308	0.01	5.84	2.77
19970309	0.73	4.3	2.16
19970310	0.01	6.8	1.81
19970311	0.27	10.44	1.55
19970312	1.54	7.95	1.6
19970313	15.83	7.85	6.76
19970314	1.62	8.01	5.39
19970315	0.44	8.32	2.73
19970316	0.26	8.0	2.04
19970317	7.64	6.72	2.04
19970318	7.17	5.99	6.76
19970319	0.01	3.31	3.66
19970320	0.48	2.95	2.13
19970321	0.0	4.89	1.73
19970322	14.0	7.68	4.37
19970323	2.75	5.85	5.36
19970324	1.17	6.27	3.07
19970325	8.24	7.39	3.13
19970326	4.01	7.58	8.19
19970327	12.59	5.54	7.04
19970328	0.0	4.62	3.32
19970329	0.0	5.55	2.07
19970330	0.04	3.6	1.71
19970331	0.0	6.36	1.49
19970401	0.0	8.18	1.39
19970402	0.94	7.82	1.29
19970403	0.17	4.41	1.16
19970404	1.34	6.44	1.17
19970405	1.47	8.98	1.11
19970406	0.05	8.25	1.08
19970407	0.02	6.35	1.04
19970408	0.0	8.27	0.95
19970409	0.0	8.05	0.89
19970410	0.0	8.14	0.85
