date	precipitation	temperature	discharge_spec
19701001	2.76	10.45	1.7
19701002	6.86	7.92	2.18
19701003	4.92	9.9	2.5
19701004	15.75	11.08	8.31
19701005	4.4	7.8	11.63
19701006	3.36	6.64	4.63
19701007	7.44	6.23	6.24
19701008	0.09	6.44	3.36
19701009	0.01	6.56	2.23
19701010	1.35	9.41	1.83
19701011	13.75	10.74	5.22
19701012	0.01	10.25	4.19
19701013	0.01	9.99	2.08
19701014	0.02	11.44	1.77
19701015	0.0	8.87	1.57
19701016	0.0	7.05	1.4
19701017	0.0	9.71	1.25
19701018	3.07	8.46	1.21
19701019	19.52	4.99	7.32
19701020	1.85	3.44	5.38
19701021	2.72	4.84	2.55
19701022	0.06	7.43	2.25
19701023	2.33	8.22	1.74
19701024	16.78	9.79	7.6
19701025	20.09	8.23	29.8
19701026	5.76	5.62	6.4
19701027	46.95	8.52	37.76
19701028	2.39	10.81	14.54
19701029	18.81	11.56	19.08
19701030	28.95	11.5	39.07
19701031	10.6	10.08	29.88
19701101	34.28	10.04	22.89
19701102	11.95	9.83	20.86
19701103	10.23	7.55	14.62
19701104	18.19	7.4	18.84
19701105	0.16	6.84	6.6
19701106	23.95	5.77	11.66
19701107	0.74	3.31	7.09
19701108	6.28	7.43	8.07
19701109	3.87	6.76	5.29
19701110	9.69	8.58	8.32
19701111	36.68	6.02	32.79
19701112	3.04	3.14	9.28
19701113	8.38	2.89	10.94
19701114	2.35	1.44	6.66
19701115	13.36	2.68	5.38
19701116	6.35	4.83	11.19
19701117	26.43	3.98	17.0
19701118	16.34	3.52	12.75
19701119	2.8	2.71	9.0
19701120	30.42	4.09	19.65
19701121	8.73	3.2	9.92
19701122	19.15	6.01	11.09
19701123	7.54	10.18	18.87
19701124	0.03	10.73	6.0
19701125	0.17	9.04	3.71
19701126	2.13	7.57	3.24
19701127	9.73	8.9	3.1
19701128	6.2	7.67	5.5
19701129	10.66	5.2	6.03
19701130	4.22	5.41	5.11
19701201	2.86	5.47	5.16
19701202	18.87	7.76	20.43
19701203	22.87	7.06	19.83
19701204	4.08	5.96	9.55
19701205	15.56	5.67	8.51
19701206	9.79	5.18	14.92
19701207	0.15	1.73	5.86
19701208	0.01	2.32	3.82
19701209	0.01	2.52	3.11
19701210	0.0	2.34	2.65
19701211	0.28	4.66	2.25
19701212	3.07	4.96	2.43
19701213	0.18	4.19	2.26
19701214	0.04	3.15	1.8
19701215	6.25	5.53	2.36
19701216	4.57	7.03	3.87
19701217	1.24	6.49	4.18
19701218	4.4	8.41	4.37
19701219	6.57	7.03	4.4
19701220	1.05	3.43	5.69
19701221	0.03	-0.5	2.8
19701222	0.99	0.47	2.16
19701223	2.66	0.89	2.48
19701224	1.31	-1.88	2.03
19701225	3.04	-0.44	1.69
19701226	2.09	-1.92	1.73
19701227	0.39	-1.32	1.49
19701228	0.37	0.39	1.41
19701229	1.16	0.42	1.36
19701230	0.04	-2.22	1.2
19701231	0.08	-2.07	1.09
19710101	0.33	-0.82	1.06
19710102	0.12	-1.32	1.02
19710103	0.06	-3.29	0.78
19710104	0.03	-3.56	0.9
19710105	2.34	0.16	0.88
19710106	28.47	6.58	14.35
