date	precipitation	temperature	discharge_spec
19701001	1.7	12.78	0.5
19701002	8.62	10.11	0.85
19701003	1.67	11.85	0.78
19701004	0.68	14.02	0.61
19701005	2.47	9.36	0.77
19701006	0.45	8.23	0.62
19701007	2.76	7.9	0.62
19701008	0.09	7.01	0.59
19701009	0.01	7.32	0.56
19701010	0.29	10.16	0.56
19701011	0.32	13.35	0.55
19701012	0.0	12.68	0.58
19701013	0.0	12.54	0.57
19701014	0.0	12.1	0.56
19701015	0.0	9.12	0.56
19701016	0.0	8.3	0.51
19701017	0.0	10.93	0.5
19701018	2.43	10.84	0.51
19701019	5.1	7.43	0.64
19701020	0.05	5.46	0.61
19701021	0.0	5.99	0.56
19701022	0.01	9.31	0.55
19701023	0.11	9.93	0.57
19701024	0.04	12.75	0.54
19701025	1.84	10.18	0.56
19701026	2.27	7.29	0.59
19701027	17.88	9.12	1.54
19701028	0.99	11.85	1.09
19701029	0.03	13.65	0.8
19701030	9.37	13.05	0.87
19701031	0.18	12.8	1.15
19701101	14.53	11.12	1.75
19701102	2.51	12.1	1.85
19701103	0.33	9.41	1.15
19701104	3.48	8.79	1.01
19701105	0.27	8.1	0.92
19701106	11.16	7.18	1.38
19701107	0.02	5.04	1.81
19701108	1.44	8.17	1.13
19701109	0.88	8.11	0.98
19701110	2.3	9.96	0.9
19701111	16.75	7.94	3.43
19701112	0.15	4.39	2.43
19701113	5.33	3.76	1.8
19701114	0.02	2.2	1.61
19701115	5.0	2.35	1.21
19701116	1.11	4.78	1.58
19701117	14.75	5.51	3.38
19701118	5.98	6.08	3.8
19701119	3.18	4.02	3.2
19701120	3.5	5.61	2.58
19701121	0.08	4.32	1.93
19701122	4.92	4.82	1.53
19701123	1.44	10.44	1.88
19701124	0.14	10.44	1.61
19701125	3.65	9.43	1.45
19701126	0.31	7.98	1.49
19701127	1.5	8.91	1.31
19701128	3.95	9.46	1.28
19701129	14.5	7.08	2.7
19701130	4.73	6.69	5.53
19701201	1.42	5.69	3.28
19701202	1.38	8.43	2.29
19701203	7.85	7.68	2.36
19701204	0.22	6.99	2.82
19701205	5.18	7.06	1.92
19701206	3.12	5.51	2.69
19701207	0.1	2.96	2.14
19701208	0.0	2.18	1.59
19701209	0.0	2.9	1.4
19701210	0.0	4.63	1.3
19701211	0.04	5.69	1.21
19701212	0.93	6.03	1.12
19701213	0.53	3.92	1.05
19701214	0.0	3.17	1.0
19701215	1.41	4.91	0.97
19701216	0.18	7.45	1.01
19701217	0.13	7.31	0.99
