date	precipitation	temperature	discharge_spec
19701001	2.01	12.97	0.13
19701002	4.43	10.22	0.14
19701003	0.5	12.01	0.15
19701004	0.4	14.14	0.15
19701005	1.7	9.4	0.17
19701006	0.56	8.14	0.16
19701007	3.56	7.75	0.16
19701008	0.33	6.75	0.16
19701009	0.01	7.05	0.15
19701010	1.01	9.59	0.15
19701011	1.12	12.66	0.16
19701012	0.0	12.02	0.17
19701013	0.0	12.35	0.16
19701014	0.0	11.97	0.16
19701015	0.0	8.98	0.16
19701016	0.0	7.65	0.15
19701017	0.0	10.44	0.14
19701018	2.08	10.91	0.13
19701019	5.02	7.64	0.15
19701020	0.04	5.67	0.15
19701021	0.0	6.19	0.13
19701022	0.01	9.33	0.11
19701023	0.46	10.0	0.13
19701024	0.04	12.55	0.14
19701025	2.09	10.16	0.13
19701026	2.68	7.13	0.13
19701027	16.98	9.33	0.27
19701028	1.08	12.13	0.34
19701029	0.05	13.79	0.25
19701030	9.44	13.23	0.23
19701031	0.5	12.92	0.37
19701101	15.84	11.41	0.35
19701102	2.45	12.27	0.8
19701103	0.42	9.61	0.52
19701104	3.27	8.92	0.39
19701105	0.04	8.28	0.33
19701106	15.58	7.26	0.5
19701107	0.02	4.83	1.22
19701108	0.31	8.66	0.66
19701109	0.5	8.14	0.5
19701110	0.54	9.99	0.42
19701111	18.04	7.98	1.5
19701112	0.05	4.47	1.6
19701113	5.41	3.98	1.05
19701114	0.04	2.43	1.07
19701115	3.29	2.56	0.75
19701116	1.24	4.87	0.76
19701117	15.93	5.5	1.93
19701118	6.46	5.95	3.2
19701119	1.47	4.1	2.07
19701120	4.19	5.63	1.6
19701121	0.14	4.37	1.32
19701122	6.57	5.29	0.98
19701123	2.31	10.65	1.71
19701124	0.62	10.66	1.48
19701125	3.39	9.39	1.16
19701126	0.26	8.07	1.24
19701127	1.3	8.92	1.06
19701128	3.3	9.44	1.05
19701129	18.95	7.11	2.33
19701130	6.44	6.87	5.58
19701201	0.58	5.93	3.14
19701202	2.96	8.76	1.91
19701203	8.81	7.94	2.29
19701204	0.59	7.21	2.76
19701205	4.7	7.28	1.72
19701206	1.72	5.8	1.72
19701207	0.01	2.95	1.51
19701208	0.0	2.22	1.2
19701209	0.02	2.74	1.03
19701210	0.0	4.59	0.91
19701211	0.02	5.88	0.83
19701212	1.65	5.8	0.81
19701213	0.01	4.04	0.79
19701214	0.0	3.22	0.73
19701215	0.66	5.08	0.68
19701216	0.13	7.92	0.66
19701217	0.32	7.49	0.63
19701218	0.18	9.34	0.61
19701219	0.51	7.49	0.57
19701220	0.06	4.79	0.54
19701221	0.0	0.83	0.51
19701222	0.57	2.53	0.51
19701223	0.76	1.86	0.54
19701224	1.06	-0.89	0.52
19701225	1.78	0.31	0.51
19701226	2.13	-0.57	0.61
19701227	0.07	-0.27	0.58
19701228	0.45	2.05	0.59
19701229	0.17	2.22	0.69
19701230	0.01	-0.32	0.6
19701231	0.04	-0.99	0.52
19710101	0.09	-0.53	0.47
19710102	0.09	-1.45	0.44
19710103	0.0	-3.88	0.41
19710104	0.0	-3.53	0.41
19710105	0.59	-1.24	0.37
19710106	3.92	5.81	0.38
19710107	3.38	9.17	1.06
19710108	0.14	10.21	0.97
19710109	0.0	10.46	0.8
19710110	0.0	6.89	0.66
19710111	0.0	2.56	0.59
19710112	0.33	4.31	0.53
19710113	0.11	5.11	0.5
19710114	0.01	3.33	0.48
19710115	0.2	3.49	0.48
19710116	1.87	3.0	0.48
19710117	0.26	5.27	0.51
19710118	3.27	6.52	0.57
19710119	2.0	4.72	0.75
19710120	4.35	4.88	0.82
19710121	4.2	6.18	1.07
19710122	6.31	5.05	1.17
19710123	8.09	6.01	2.57
19710124	2.26	7.32	2.39
19710125	2.64	5.4	1.76
19710126	8.61	5.88	2.4
19710127	1.75	5.51	2.16
19710128	1.72	4.6	1.68
19710129	2.09	3.93	1.44
19710130	8.16	2.08	2.29
19710131	0.44	2.74	1.87
19710201	0.01	0.24	1.37
19710202	0.31	3.66	1.07
19710203	0.05	7.08	0.98
19710204	0.01	4.61	0.85
19710205	0.0	4.56	0.82
19710206	0.0	4.32	0.76
19710207	0.03	5.84	0.71
19710208	0.0	6.07	0.67
19710209	0.01	5.61	0.63
19710210	0.06	3.97	0.58
19710211	0.18	5.62	0.54
19710212	0.63	6.98	0.54
19710213	0.35	4.49	0.49
19710214	4.16	4.14	0.48
19710215	0.23	0.67	0.55
19710216	1.94	-0.54	0.51
19710217	5.27	3.12	0.81
19710218	0.39	4.28	0.88
19710219	0.81	6.34	0.75
19710220	2.28	8.01	0.72
19710221	0.08	5.39	0.68
19710222	0.0	4.21	0.61
19710223	0.0	5.71	0.63
19710224	0.0	5.82	0.54
19710225	0.0	5.36	0.51
19710226	0.0	4.38	0.51
19710227	4.71	2.68	0.51
19710228	0.27	1.41	0.58
19710301	13.42	2.66	1.04
19710302	0.03	3.81	2.01
19710303	0.01	0.46	1.3
19710304	0.08	-0.16	0.97
19710305	1.73	0.25	0.82
19710306	0.11	0.14	0.78
19710307	0.32	2.89	0.73
19710308	0.04	5.13	0.7
19710309	0.01	3.43	0.65
19710310	0.33	4.84	0.59
19710311	0.0	7.39	0.56
19710312	0.0	8.05	0.5
19710313	0.17	6.26	0.49
19710314	0.92	5.55	0.48
19710315	0.13	4.06	0.45
19710316	3.16	4.49	0.41
19710317	8.96	5.47	0.47
19710318	1.03	8.34	0.82
19710319	4.15	6.92	0.76
19710320	2.07	5.67	0.94
19710321	0.01	4.94	0.87
19710322	0.01	4.71	0.68
19710323	3.12	7.19	0.63
19710324	5.26	8.02	0.66
19710325	1.52	6.31	0.8
19710326	0.02	5.42	0.69
19710327	0.0	7.91	0.59
19710328	0.01	9.21	0.54
19710329	1.34	8.62	0.49
19710330	0.0	7.21	0.46
19710331	0.0	4.24	0.43
19710401	0.31	5.42	0.42
19710402	0.01	4.69	0.39
19710403	0.01	5.97	0.37
19710404	0.01	6.47	0.34
19710405	0.0	7.04	0.33
19710406	0.02	7.23	0.35
19710407	0.0	7.53	0.29
19710408	0.0	5.83	0.28
19710409	0.0	5.33	0.32
19710410	0.0	5.62	0.3
19710411	0.0	7.97	0.29
19710412	0.0	8.35	0.28
19710413	0.0	7.66	0.26
19710414	0.0	6.96	0.25
19710415	0.19	8.84	0.24
19710416	2.95	5.58	0.29
19710417	0.01	7.81	0.27
19710418	0.01	9.83	0.26
19710419	0.0	9.55	0.25
19710420	0.01	11.52	0.24
19710421	0.06	11.24	0.23
19710422	5.53	13.24	0.24
19710423	39.92	10.78	1.06
19710424	17.85	6.27	5.71
19710425	0.02	6.26	5.49
19710426	0.14	4.06	1.88
19710427	0.49	4.28	1.3
19710428	0.01	6.25	0.92
19710429	0.01	8.77	0.73
19710430	2.43	6.88	0.7
19710501	0.04	5.67	0.65
19710502	0.07	7.31	0.56
19710503	0.01	9.24	0.5
19710504	0.0	11.0	0.46
19710505	0.0	14.1	0.42
19710506	21.04	13.35	1.26
19710507	6.63	12.96	1.71
19710508	0.06	12.19	1.19
19710509	0.01	14.24	0.76
19710510	0.0	14.74	0.6
19710511	0.01	15.07	0.54
19710512	0.0	13.2	0.48
19710513	0.0	11.85	0.42
19710514	0.08	12.84	0.38
19710515	0.15	7.46	0.37
19710516	0.08	9.07	0.33
19710517	0.74	9.35	0.31
19710518	0.0	8.63	0.28
19710519	0.0	9.8	0.27
19710520	0.0	9.07	0.25
19710521	0.0	12.39	0.24
19710522	0.07	13.14	0.24
19710523	0.94	10.65	0.24
19710524	2.09	11.87	0.25
19710525	0.01	8.59	0.26
19710526	5.66	10.88	0.25
19710527	0.33	8.73	0.28
19710528	1.15	9.66	0.22
19710529	8.43	13.04	0.26
19710530	0.19	12.27	0.28
19710531	0.56	10.74	0.25
19710601	0.01	14.95	0.22
19710602	2.5	15.25	0.2
19710603	0.15	12.97	0.2
19710604	0.0	13.6	0.2
19710605	0.0	11.13	0.2
19710606	0.02	10.98	0.19
19710607	3.8	10.75	0.19
19710608	19.64	8.28	0.35
19710609	0.56	9.3	0.53
19710610	2.07	11.14	0.34
19710611	8.02	11.3	0.45
19710612	0.05	11.5	0.42
19710613	0.21	12.26	0.31
19710614	0.05	7.57	0.27
19710615	1.37	10.61	0.24
19710616	3.84	10.13	0.24
19710617	0.4	10.13	0.23
19710618	24.48	11.28	0.73
19710619	10.07	13.39	1.53
19710620	1.84	11.92	1.65
19710621	1.01	11.34	0.92
19710622	0.0	11.65	0.67
