date	precipitation	temperature	discharge_spec
19701001	7.67	11.19	1.71
19701002	9.18	8.4	3.3
19701003	8.29	10.77	2.72
19701004	2.74	12.01	3.36
19701005	5.73	8.65	3.18
19701006	0.41	7.63	2.82
19701007	5.1	7.69	2.52
19701008	0.04	7.06	2.43
19701009	0.01	7.74	1.99
19701010	0.12	10.71	1.83
19701011	0.39	12.51	1.47
19701012	0.0	12.59	1.63
19701013	0.0	12.46	1.69
19701014	0.0	11.59	1.46
19701015	0.0	9.04	1.4
19701016	0.0	8.69	1.6
19701017	0.0	10.68	1.49
19701018	3.82	8.8	1.27
19701019	5.92	5.89	2.24
19701020	0.0	4.28	2.0
19701021	0.0	5.6	1.56
19701022	0.03	8.45	1.38
19701023	5.29	9.22	1.46
19701024	5.89	11.14	1.85
19701025	19.91	9.1	7.6
19701026	0.79	6.71	3.21
19701027	31.06	8.52	14.07
19701028	5.59	9.65	9.51
19701029	2.72	12.69	4.82
19701030	27.49	10.97	13.82
19701031	1.23	11.44	8.72
19701101	15.26	9.35	6.95
19701102	6.34	10.7	9.94
19701103	8.18	8.53	8.59
19701104	10.05	8.06	8.93
19701105	1.9	7.03	5.99
19701106	3.52	6.57	3.91
19701107	0.04	4.13	3.47
19701108	5.42	7.2	3.25
19701109	3.72	6.39	3.5
19701110	18.83	9.06	6.04
19701111	18.74	5.98	16.27
19701112	7.63	3.72	11.55
19701113	3.38	2.8	8.07
19701114	0.05	1.72	5.43
19701115	8.45	1.58	3.82
19701116	3.25	4.24	6.62
19701117	28.36	4.75	17.37
19701118	10.32	4.81	13.55
19701119	6.28	3.06	12.56
19701120	7.99	4.4	7.07
19701121	0.99	3.72	7.07
19701122	11.58	4.15	4.1
19701123	4.43	9.27	10.94
19701124	0.01	10.41	5.04
19701125	3.48	8.3	3.68
19701126	1.37	7.71	3.5
19701127	4.33	8.92	3.07
19701128	4.06	7.97	3.97
19701129	11.74	6.24	6.2
19701130	2.13	5.23	5.23
19701201	2.78	5.8	3.19
19701202	14.09	6.4	6.79
19701203	8.24	5.97	8.82
19701204	2.11	6.28	7.01
19701205	8.03	6.14	4.51
19701206	4.99	4.06	8.25
19701207	0.01	2.33	4.74
19701208	0.01	2.71	3.54
19701209	0.06	2.79	3.07
19701210	0.02	3.62	2.63
19701211	0.03	5.02	2.66
19701212	8.82	6.41	2.72
19701213	0.02	4.03	5.02
19701214	0.0	3.63	3.74
19701215	2.46	4.31	3.33
19701216	4.18	6.77	3.22
19701217	0.02	6.3	3.38
19701218	0.59	8.27	2.53
19701219	1.83	6.52	2.38
19701220	0.41	3.57	2.07
19701221	0.01	0.42	2.28
19701222	0.57	2.37	2.36
19701223	0.66	1.71	2.46
19701224	2.4	-0.86	2.25
19701225	3.68	0.54	2.41
19701226	1.57	-1.4	2.28
19701227	1.26	-0.2	2.25
19701228	0.28	1.56	2.03
19701229	1.6	1.17	2.32
19701230	0.38	-1.11	2.13
19701231	0.0	-2.24	1.85
19710101	0.0	-1.74	1.64
19710102	0.0	-2.21	1.74
19710103	0.01	-2.52	1.99
19710104	0.0	-2.99	1.97
19710105	0.23	-1.64	2.02
19710106	8.7	4.98	2.6
19710107	3.01	8.02	4.04
19710108	0.83	8.94	2.5
19710109	0.01	9.68	2.74
19710110	0.01	7.61	2.75
19710111	0.0	2.17	2.43
19710112	0.03	3.59	1.89
19710113	0.06	4.51	2.0
19710114	0.06	3.45	1.75
19710115	1.2	3.38	1.8
19710116	0.3	2.89	1.82
19710117	0.06	4.16	2.46
19710118	11.3	5.67	3.61
19710119	8.3	4.01	5.57
19710120	8.02	3.71	4.68
19710121	0.5	5.58	5.93
19710122	13.36	4.41	3.79
19710123	6.29	4.59	7.29
19710124	3.42	6.26	5.19
19710125	0.51	5.05	4.43
19710126	1.83	5.53	3.3
19710127	2.76	4.02	3.1
19710128	1.89	3.33	2.82
19710129	2.64	3.34	2.71
19710130	2.39	1.84	2.86
19710131	1.47	1.59	2.58
19710201	0.0	-0.49	2.36
19710202	3.33	3.45	2.63
19710203	0.44	4.69	2.28
19710204	0.04	4.27	1.72
19710205	0.03	3.71	1.97
19710206	0.05	3.77	1.41
19710207	0.14	5.39	1.25
19710208	0.01	5.0	1.25
19710209	0.01	4.84	1.2
19710210	0.0	3.78	1.11
19710211	7.58	4.61	1.08
19710212	26.22	5.59	13.36
19710213	7.64	2.95	5.99
19710214	5.87	3.17	5.24
19710215	1.57	-0.33	5.24
19710216	0.07	0.24	3.79
19710217	13.86	2.59	4.85
19710218	0.15	3.45	5.95
19710219	3.2	4.87	3.79
19710220	8.5	6.56	4.62
19710221	0.15	4.78	4.52
19710222	0.01	4.19	3.16
19710223	0.0	5.3	2.58
19710224	0.0	6.69	2.28
19710225	0.0	5.63	2.22
19710226	0.0	4.03	2.1
19710227	4.96	1.57	2.21
19710228	0.4	0.39	2.08
19710301	14.01	1.18	2.89
19710302	0.5	2.32	4.41
19710303	0.17	-0.7	3.21
19710304	0.58	-1.28	2.5
19710305	1.26	-0.42	2.28
19710306	0.14	-0.17	2.1
19710307	1.08	2.68	1.94
19710308	0.06	3.97	2.3
19710309	0.87	2.02	2.35
19710310	0.21	3.16	2.11
19710311	0.08	6.81	1.99
19710312	0.41	7.15	1.86
19710313	0.3	5.44	1.77
19710314	0.05	3.76	1.64
19710315	0.28	2.34	1.69
19710316	4.75	3.64	1.71
19710317	10.86	4.01	2.19
19710318	5.35	6.66	4.77
19710319	2.77	6.33	3.32
19710320	1.18	4.47	2.88
19710321	0.16	3.74	2.24
