date	precipitation	temperature	discharge_spec
19960930	0.33	9.39	2.38
19961001	1.56	8.78	1.47
19961002	0.11	11.21	1.14
19961003	15.13	10.45	2.63
19961004	7.89	7.91	3.83
19961005	0.63	9.78	2.28
19961006	0.1	11.58	1.53
19961007	1.69	10.98	1.3
19961008	2.31	9.23	1.32
19961009	1.2	8.85	1.31
19961010	0.01	8.02	1.19
19961011	0.09	10.67	1.06
19961012	0.0	12.54	1.0
19961013	0.0	14.02	0.96
19961014	8.9	11.81	1.3
19961015	2.49	8.73	1.75
19961016	1.72	7.73	1.39
19961017	12.42	8.71	1.51
19961018	5.87	10.79	4.05
19961019	6.05	11.03	3.21
19961020	14.96	11.63	6.88
19961021	0.21	10.06	3.63
19961022	0.0	12.24	2.27
19961023	0.56	12.98	1.78
19961024	2.09	13.14	1.61
19961025	2.73	9.24	1.52
19961026	7.49	9.28	1.39
19961027	3.28	11.19	2.5
19961028	8.98	8.9	3.61
19961029	0.32	7.03	2.75
19961030	3.58	8.46	1.8
19961031	13.79	9.73	5.35
19961101	7.24	11.04	3.72
19961102	9.97	13.42	3.88
19961103	7.01	11.35	5.49
19961104	23.64	9.01	8.59
19961105	24.44	9.11	16.12
19961106	12.97	6.9	11.88
19961107	2.64	3.02	9.23
19961108	7.34	5.46	5.15
19961109	2.83	3.82	5.37
19961110	0.09	2.14	3.52
19961111	4.8	3.62	2.83
19961112	0.04	2.9	2.83
19961113	0.59	3.67	2.14
19961114	1.88	6.75	1.94
19961115	2.41	8.06	2.02
19961116	15.99	7.31	4.29
19961117	4.68	0.75	6.93
19961118	0.07	0.25	3.41
19961119	10.37	0.95	3.58
19961120	0.1	-0.18	4.07
19961121	6.35	1.35	2.64
19961122	4.91	0.78	4.44
19961123	4.89	0.79	3.52
19961124	23.36	2.7	7.06
19961125	0.36	2.73	10.47
19961126	0.0	2.1	4.9
19961127	0.01	0.25	3.29
19961128	18.57	2.81	5.1
19961129	9.46	4.87	10.69
19961130	2.83	5.16	6.7
19961201	5.01	6.24	5.96
19961202	13.72	3.71	4.6
19961203	11.84	5.27	11.33
19961204	1.28	3.27	7.79
19961205	0.01	1.67	4.29
19961206	0.02	1.07	3.16
19961207	0.01	1.27	2.52
19961208	0.06	2.15	2.14
19961209	0.05	1.74	1.96
19961210	0.02	2.0	1.72
19961211	0.0	2.7	1.6
19961212	0.04	2.14	1.48
19961213	0.0	-0.07	1.41
19961214	2.56	4.01	1.43
19961215	1.49	6.02	1.43
19961216	0.26	3.29	1.45
19961217	4.14	4.13	1.45
19961218	20.55	6.33	4.16
19961219	12.16	2.27	7.93
19961220	0.7	0.83	5.77
19961221	0.0	0.43	3.1
19961222	0.24	1.32	2.32
19961223	0.06	1.02	1.96
19961224	0.0	0.69	1.71
19961225	0.0	-0.14	1.47
19961226	2.84	-0.35	1.37
19961227	0.25	1.32	1.46
19961228	0.01	-0.27	1.34
19961229	1.59	0.38	1.27
19961230	0.76	-1.02	1.34
19961231	1.03	-1.61	1.27
19970101	0.06	-2.16	1.18
19970102	0.14	-1.6	1.16
19970103	0.1	-1.28	1.14
