date	precipitation	temperature	discharge_spec
19960930	0.17	9.52	0.46
19961001	2.65	8.2	0.38
19961002	0.04	11.27	0.35
19961003	13.35	10.28	0.71
19961004	7.67	7.97	0.78
19961005	2.21	9.35	0.59
19961006	0.44	11.12	0.51
19961007	2.58	11.46	0.45
19961008	3.5	8.29	0.53
19961009	1.22	8.52	0.54
19961010	0.02	8.08	0.47
19961011	0.0	10.56	0.42
19961012	0.0	12.21	0.4
19961013	0.0	13.44	0.39
19961014	4.64	11.92	0.4
19961015	1.81	7.54	0.4
19961016	2.64	7.42	0.43
19961017	10.08	8.61	0.45
19961018	3.26	10.39	0.89
19961019	3.48	11.15	0.6
19961020	16.65	11.64	2.34
19961021	0.02	10.09	1.24
19961022	0.03	12.13	0.91
19961023	0.02	12.63	0.76
19961024	4.41	13.09	0.74
19961025	1.98	9.4	0.71
19961026	3.95	9.58	0.63
19961027	1.65	11.61	0.76
19961028	8.36	8.69	0.92
19961029	0.1	6.38	0.82
19961030	3.85	8.44	0.67
19961031	15.77	9.25	2.19
19961101	6.01	11.32	1.63
19961102	5.93	13.31	1.62
19961103	7.4	11.54	1.98
19961104	13.7	8.43	2.28
19961105	12.39	8.75	4.88
19961106	9.2	7.18	5.02
19961107	4.08	2.8	6.71
19961108	2.79	4.87	3.67
19961109	6.05	3.37	4.06
19961110	0.3	1.59	2.79
19961111	7.94	4.21	2.67
19961112	0.26	2.33	2.69
19961113	0.07	2.96	1.96
19961114	1.14	6.41	1.78
19961115	1.77	7.69	1.64
19961116	9.56	6.99	2.01
19961117	5.61	1.01	3.28
19961118	1.95	-0.22	2.22
19961119	21.84	0.22	3.22
19961120	0.08	-0.68	4.0
19961121	2.66	0.94	2.54
19961122	3.67	0.46	2.89
19961123	5.94	0.57	2.81
19961124	24.78	2.45	6.1
19961125	1.14	3.16	11.77
19961126	0.01	1.62	6.42
19961127	0.0	-0.24	4.38
19961128	14.2	1.96	4.74
19961129	17.84	4.58	8.91
19961130	2.14	4.75	7.97
19961201	8.86	6.24	6.24
19961202	13.62	3.45	4.63
19961203	12.61	4.99	6.99
19961204	1.5	2.73	7.08
19961205	0.23	1.41	5.21
19961206	0.01	0.77	3.87
19961207	0.01	0.48	3.06
19961208	0.01	1.35	2.57
19961209	0.03	1.12	2.02
19961210	0.02	1.18	1.73
19961211	0.0	2.13	1.56
19961212	0.15	1.52	1.4
19961213	0.0	-0.72	1.23
19961214	0.8	2.72	1.18
19961215	0.21	5.65	1.21
19961216	0.27	2.55	1.08
19961217	3.26	3.42	1.08
19961218	20.14	6.07	2.39
19961219	15.81	2.07	4.97
19961220	0.65	0.49	4.1
19961221	0.01	-0.37	2.94
19961222	0.65	0.95	2.35
19961223	0.13	0.48	2.01
19961224	0.05	0.2	1.74
19961225	0.0	-1.1	1.56
19961226	1.96	-1.74	1.39
19961227	1.09	0.64	1.34
19961228	0.0	-1.36	1.24
19961229	2.22	0.08	1.17
19961230	1.53	-1.14	1.11
19961231	3.4	-2.85	0.97
19970101	0.1	-3.05	0.88
19970102	0.09	-2.35	0.84
19970103	0.01	-1.94	0.81
19970104	0.0	-0.88	0.78
19970105	0.15	0.31	0.75
19970106	0.05	-1.26	0.75
19970107	0.0	-2.77	0.71
19970108	0.03	-1.72	0.67
19970109	0.13	-0.03	0.65
19970110	0.68	-1.2	0.63
19970111	0.76	3.79	0.74
19970112	0.03	7.19	1.53
19970113	0.0	5.23	1.05
19970114	0.0	3.99	0.83
19970115	0.01	1.61	0.74
19970116	0.06	2.1	0.71
19970117	0.01	4.67	0.69
19970118	0.02	4.01	0.68
19970119	0.5	1.76	0.65
19970120	0.01	0.72	0.63
19970121	3.11	-0.3	0.63
19970122	1.75	0.68	0.72
19970123	0.29	2.01	0.68
19970124	0.79	4.16	0.71
19970125	0.06	4.5	0.68
19970126	0.02	4.05	0.64
19970127	0.58	3.26	0.6
19970128	0.12	1.87	0.57
19970129	0.01	2.58	0.56
19970130	0.0	1.85	0.54
19970131	0.0	2.88	0.53
19970201	3.61	2.45	0.53
19970202	0.07	1.87	0.59
19970203	15.13	3.91	0.66
19970204	2.1	5.06	1.98
19970205	0.48	4.56	1.0
19970206	9.9	7.08	1.03
19970207	0.03	3.33	2.03
19970208	1.78	4.41	1.21
19970209	0.95	7.5	1.16
19970210	2.88	4.93	1.13
19970211	11.14	7.2	1.36
19970212	16.79	6.19	2.44
19970213	5.55	2.16	6.05
19970214	0.05	2.72	3.32
19970215	0.41	4.28	2.37
19970216	2.14	4.91	2.04
19970217	10.27	5.17	2.26
19970218	1.97	2.87	2.36
19970219	11.56	5.63	3.55
19970220	10.74	7.11	3.88
19970221	0.85	7.23	3.83
19970222	0.24	7.77	2.9
19970223	6.62	6.78	3.05
19970224	11.32	4.2	3.91
19970225	9.67	5.29	3.42
19970226	10.11	3.5	6.42
19970227	4.95	6.28	5.06
19970228	0.45	6.74	3.93
19970301	9.79	6.88	3.19
19970302	0.03	3.82	3.68
19970303	0.67	3.85	2.21
19970304	0.4	4.88	1.94
19970305	4.32	4.01	1.89
19970306	0.08	5.48	1.88
19970307	0.01	6.18	1.71
19970308	0.0	6.03	1.61
19970309	0.08	6.35	1.31
19970310	0.0	6.7	0.98
19970311	0.0	10.36	0.9
19970312	0.0	8.87	0.86
19970313	5.14	9.04	0.84
19970314	6.21	8.54	1.03
19970315	4.29	9.1	1.69
19970316	2.4	9.49	1.32
19970317	2.47	10.28	1.13
19970318	11.01	6.66	2.15
19970319	0.17	5.52	2.04
19970320	3.73	4.53	1.99
19970321	0.04	5.0	1.76
19970322	12.07	8.15	1.76
19970323	3.75	6.56	3.46
19970324	0.63	6.24	2.62
19970325	0.11	8.52	2.09
19970326	0.4	8.94	1.87
19970327	9.83	6.65	2.24
19970328	0.3	5.55	2.3
19970329	0.0	6.38	1.74
19970330	0.0	4.81	1.54
19970331	0.0	7.3	1.38
19970401	0.0	9.54	1.26
19970402	1.68	8.32	1.15
19970403	0.61	3.92	1.11
19970404	0.61	6.81	0.99
19970405	2.76	7.74	1.01
19970406	0.01	8.07	0.93
19970407	0.0	6.73	0.85
19970408	0.0	8.49	0.77
19970409	0.0	9.82	0.71
19970410	0.0	9.0	0.68
19970411	0.0	4.36	0.66
19970412	0.0	7.36	0.64
19970413	0.08	7.6	0.63
19970414	0.46	8.53	0.62
19970415	0.0	6.87	0.59
19970416	0.0	9.98	0.58
19970417	0.0	7.33	0.56
19970418	0.0	6.39	0.57
19970419	0.0	3.1	0.55
19970420	0.0	2.64	0.53
19970421	3.34	3.85	0.56
19970422	0.06	5.88	0.52
19970423	0.01	9.55	0.51
19970424	5.8	7.75	0.5
19970425	7.53	5.42	0.69
19970426	2.79	8.19	0.6
19970427	3.83	12.43	0.56
19970428	27.01	9.9	3.97
19970429	0.1	8.07	1.68
19970430	0.0	12.07	1.13
19970501	0.0	14.52	1.0
19970502	0.0	15.37	1.0
19970503	4.26	15.86	0.93
19970504	7.77	12.41	1.07
19970505	20.68	5.52	3.88
19970506	6.32	2.97	1.6
19970507	22.84	3.51	4.37
19970508	2.23	3.77	4.78
19970509	0.21	6.83	3.4
19970510	5.43	7.83	2.85
19970511	4.19	8.27	2.23
19970512	2.67	9.14	1.58
19970513	2.81	9.04	1.37
19970514	0.16	10.09	1.18
19970515	0.0	12.22	1.14
19970516	2.35	11.37	1.25
19970517	2.06	13.93	1.12
19970518	0.6	14.02	0.94
19970519	10.27	11.75	1.06
19970520	2.95	11.79	0.92
19970521	0.0	6.98	0.79
19970522	0.0	7.15	0.71
19970523	0.0	6.24	0.66
19970524	0.0	6.9	0.63
19970525	0.0	10.44	0.62
19970526	0.0	12.66	0.61
19970527	0.0	10.46	0.58
19970528	0.0	10.32	0.54
19970529	0.0	15.34	0.53
19970530	0.0	16.35	0.51
19970531	0.0	14.88	0.49
19970601	0.0	11.99	0.47
19970602	0.0	12.35	0.47
19970603	0.0	12.74	0.46
19970604	0.0	14.65	0.46
19970605	0.53	16.58	0.45
19970606	2.68	16.52	0.47
19970607	1.49	16.19	0.51
19970608	2.98	13.13	0.5
19970609	0.09	14.37	0.45
19970610	12.5	15.89	0.44
19970611	12.42	15.06	0.79
19970612	6.14	14.9	0.96
19970613	5.45	12.47	0.61
19970614	4.75	9.55	0.55
19970615	3.15	8.41	0.67
19970616	0.01	11.36	0.53
19970617	0.12	12.15	0.48
19970618	0.43	13.73	0.47
19970619	4.37	10.44	0.5
19970620	8.2	10.58	0.55
19970621	15.52	9.91	1.74
19970622	12.68	12.44	1.32
19970623	0.29	11.27	0.91
19970624	5.83	11.33	0.71
19970625	9.78	9.52	1.11
19970626	5.46	8.6	1.36
19970627	3.47	10.44	1.05
19970628	4.01	11.2	1.18
19970629	0.21	10.87	0.97
19970630	7.28	10.08	1.44
19970701	1.69	9.96	1.39
19970702	2.58	12.17	1.05
19970703	5.52	11.61	1.16
19970704	0.05	12.98	0.99
19970705	0.22	14.36	0.83
19970706	0.19	16.49	0.76
19970707	0.0	16.97	0.69
19970708	0.0	18.22	0.64
19970709	0.1	19.05	0.88
19970710	0.0	14.97	0.68
19970711	0.0	16.59	0.6
19970712	1.26	17.48	0.58
19970713	1.75	15.52	0.68
19970714	1.27	15.46	0.57
19970715	2.49	16.51	0.55
19970716	10.38	14.04	0.6
19970717	1.59	13.39	0.89
19970718	0.02	14.16	0.58
19970719	0.0	16.72	0.52
19970720	0.01	16.78	0.5
19970721	0.0	16.6	0.48
19970722	0.0	16.78	0.47
19970723	1.66	18.17	0.46
19970724	13.89	15.61	0.63
19970725	0.5	14.85	0.58
19970726	9.69	14.8	0.65
19970727	0.23	15.33	0.55
19970728	0.0	15.07	0.48
19970729	7.25	17.52	0.51
19970730	3.58	14.44	0.47
19970731	14.6	13.62	0.76
19970801	3.63	13.66	1.21
19970802	0.01	13.76	0.68
19970803	0.01	13.85	0.56
19970804	0.0	15.86	0.5
19970805	0.0	15.86	0.48
19970806	0.0	19.02	0.46
19970807	0.0	19.03	0.44
19970808	0.0	21.16	0.43
19970809	0.0	18.91	0.42
19970810	0.0	21.91	0.41
19970811	0.08	20.25	0.41
19970812	0.59	21.62	0.4
19970813	5.75	16.18	0.48
19970814	0.02	16.96	0.41
19970815	0.0	18.5	0.39
19970816	0.0	20.46	0.38
19970817	2.31	19.0	0.39
19970818	0.04	19.67	0.39
19970819	1.1	21.41	0.38
19970820	0.18	19.97	0.38
19970821	12.13	16.63	0.55
19970822	4.84	17.27	0.43
19970823	10.31	18.16	0.47
19970824	4.86	14.6	0.78
19970825	0.15	14.35	0.47
19970826	0.62	15.29	0.43
19970827	2.5	12.71	0.44
19970828	19.43	14.27	0.63
19970829	7.55	13.46	0.99
19970830	5.78	13.58	0.82
19970831	17.83	14.92	2.31
19970901	0.07	12.6	1.06
19970902	3.78	15.68	0.75
19970903	5.74	12.46	0.92
19970904	0.04	13.88	0.73
19970905	0.07	13.02	0.63
19970906	8.59	13.07	0.69
19970907	0.23	13.27	0.8
19970908	0.02	12.98	0.64
19970909	0.0	11.18	0.56
19970910	0.01	13.67	0.54
19970911	6.15	12.87	0.6
19970912	4.94	9.24	0.63
19970913	7.19	9.07	0.92
19970914	0.02	12.22	0.74
19970915	1.13	13.63	0.61
