date	precipitation	temperature	discharge_spec
19990517	0.01	9.3	1.52
19990518	0.0	11.61	1.37
19990519	0.0	12.66	1.27
19990520	0.28	12.92	1.19
19990521	2.84	10.02	1.24
19990522	1.86	11.29	1.15
19990523	1.0	13.19	1.09
19990524	11.02	9.64	2.1
19990525	0.74	10.65	1.18
19990526	0.02	12.45	1.12
19990527	5.78	16.38	1.31
19990528	0.07	13.92	1.18
19990529	0.73	11.69	1.04
19990530	0.02	9.12	1.02
19990531	0.04	11.61	0.96
19990601	1.47	14.5	0.97
19990602	20.1	11.7	2.76
19990603	7.57	12.26	2.89
19990604	2.09	9.13	2.57
19990605	0.99	10.54	1.61
19990606	8.56	10.99	1.99
19990607	6.89	9.06	2.69
19990608	0.28	9.47	2.0
19990609	0.01	10.96	1.43
19990610	0.01	11.8	1.24
19990611	1.48	10.84	1.26
19990612	1.53	11.42	1.19
19990613	0.23	13.53	1.09
19990614	0.05	14.33	1.07
19990615	0.03	16.37	1.01
19990616	0.72	16.06	0.98
19990617	0.03	11.97	0.94
19990618	0.05	16.29	0.92
19990619	13.96	13.82	1.52
19990620	1.46	10.18	1.42
19990621	0.31	9.99	1.04
19990622	1.47	12.53	0.97
19990623	0.01	13.29	0.93
19990624	0.02	15.15	0.93
19990625	0.01	15.42	0.87
19990626	7.31	17.42	0.89
19990627	12.13	11.31	2.31
19990628	3.1	11.1	1.49
19990629	0.0	13.54	1.05
19990630	5.13	12.98	1.03
19990701	2.13	15.35	1.09
19990702	4.94	18.59	1.33
19990703	0.14	15.19	1.17
19990704	0.67	15.92	0.91
19990705	4.65	16.74	1.42
19990706	0.07	17.49	0.94
19990707	0.01	17.23	0.87
19990708	0.0	20.06	0.83
19990709	0.0	18.4	0.8
19990710	0.0	18.06	0.78
19990711	0.0	17.18	0.76
19990712	0.0	16.82	0.75
19990713	2.54	15.37	0.82
19990714	0.32	13.33	0.75
19990715	3.01	14.44	0.74
19990716	0.01	15.7	0.78
19990717	0.22	16.93	0.73
19990718	0.32	17.21	0.73
19990719	7.85	17.82	0.95
19990720	8.15	14.53	1.07
19990721	3.25	12.76	1.0
19990722	0.13	12.48	0.78
19990723	0.0	16.47	0.74
19990724	0.0	17.47	0.71
19990725	0.01	13.88	0.68
19990726	0.0	13.15	0.67
19990727	0.0	14.54	0.67
19990728	0.0	14.76	0.66
19990729	0.0	17.6	0.67
19990730	0.0	19.0	0.65
19990731	0.0	20.68	0.64
19990801	2.31	20.98	0.73
19990802	1.22	21.69	0.78
19990803	0.08	18.42	0.69
19990804	3.09	19.56	0.68
19990805	12.1	16.11	1.83
19990806	4.72	18.95	0.97
19990807	0.14	14.64	0.87
19990808	5.35	14.09	0.78
19990809	6.94	11.54	1.17
