date	precipitation	temperature	discharge_spec
19960930	1.83	9.71	1.43
19961001	0.86	8.78	1.0
19961002	0.21	11.15	0.77
19961003	16.62	10.81	2.59
19961004	10.07	7.51	6.45
19961005	0.41	9.8	2.1
19961006	0.25	11.9	1.27
19961007	1.77	11.12	1.06
19961008	2.17	8.56	1.11
19961009	0.77	8.39	1.12
19961010	0.01	8.4	0.9
19961011	0.57	10.83	0.81
19961012	0.0	12.65	0.74
19961013	0.0	13.98	0.69
19961014	6.55	12.13	0.95
19961015	3.57	8.8	1.11
19961016	1.3	7.86	1.0
19961017	6.55	8.64	0.93
19961018	5.15	11.1	2.02
19961019	4.45	11.16	1.77
19961020	9.8	11.76	4.3
19961021	0.59	10.26	2.2
19961022	0.05	12.52	1.41
19961023	0.34	13.25	1.15
19961024	2.57	13.52	1.08
19961025	8.57	9.8	1.31
19961026	7.8	9.65	2.11
19961027	3.93	11.34	3.4
19961028	5.65	8.42	3.4
19961029	0.17	6.9	1.96
19961030	2.78	8.77	1.36
19961031	9.97	9.8	4.33
19961101	5.47	11.33	2.63
19961102	7.37	13.17	2.89
19961103	6.46	11.28	3.97
19961104	24.07	8.92	11.84
19961105	21.47	9.02	15.43
19961106	13.36	6.64	11.49
19961107	0.91	3.36	5.36
19961108	4.58	5.7	3.46
19961109	2.96	3.32	3.54
19961110	0.25	1.69	2.48
19961111	5.35	4.24	2.35
19961112	0.01	2.66	2.58
19961113	0.69	3.34	1.77
19961114	0.91	6.92	1.54
19961115	1.8	8.19	1.52
19961116	9.18	7.28	2.4
19961117	4.95	1.09	4.95
19961118	0.03	0.16	2.38
19961119	9.66	0.96	3.08
19961120	0.02	-0.49	3.57
19961121	5.59	1.62	2.25
19961122	2.64	0.37	4.03
19961123	6.36	0.38	3.51
19961124	14.46	2.85	7.95
19961125	0.18	2.78	7.19
19961126	0.02	2.08	3.24
19961127	0.0	-0.04	2.19
19961128	12.77	2.52	3.35
19961129	5.32	4.72	5.55
19961130	2.34	5.12	3.97
19961201	4.41	6.34	4.03
19961202	10.84	3.48	3.35
19961203	9.13	4.94	8.3
19961204	0.76	3.36	4.74
19961205	0.03	1.73	2.75
19961206	0.05	1.06	2.06
19961207	0.02	1.57	1.71
19961208	0.03	2.97	1.51
19961209	0.01	2.4	1.4
19961210	0.01	2.25	1.27
19961211	0.0	2.75	1.17
19961212	0.01	2.12	1.12
19961213	0.02	-0.29	1.04
19961214	3.24	4.27	1.16
19961215	1.19	5.88	1.26
19961216	0.33	3.48	1.19
19961217	4.71	4.72	1.22
19961218	22.33	6.01	4.46
19961219	14.79	2.44	10.48
19961220	1.22	0.82	6.53
19961221	0.01	0.32	2.83
19961222	0.05	1.18	1.99
19961223	0.18	0.85	1.7
19961224	0.02	0.68	1.42
19961225	0.0	-0.31	1.2
19961226	2.5	-0.5	1.12
19961227	0.57	1.19	1.18
19961228	0.01	-0.5	1.09
19961229	0.93	0.87	1.02
19961230	1.18	-0.3	1.05
19961231	0.49	-1.8	0.99
19970101	0.03	-2.35	0.9
19970102	0.15	-2.07	0.9
19970103	0.05	-1.22	0.87
19970104	0.0	-0.22	0.84
19970105	0.27	0.82	0.82
19970106	0.11	-0.55	0.84
19970107	0.02	-1.22	0.82
19970108	0.13	-0.94	0.79
19970109	0.12	0.63	0.77
19970110	0.68	-0.38	0.76
19970111	1.46	4.52	0.85
19970112	0.3	7.89	1.89
19970113	0.02	6.03	1.27
19970114	0.01	5.33	0.98
19970115	0.0	2.55	0.87
19970116	0.06	2.78	0.84
19970117	0.29	4.9	0.83
19970118	0.0	4.83	0.79
19970119	0.37	2.81	0.76
19970120	0.04	1.06	0.75
19970121	1.38	0.75	0.73
19970122	2.24	1.24	0.87
19970123	0.09	2.7	0.82
19970124	1.03	4.89	0.82
19970125	0.0	5.2	0.82
19970126	0.05	5.52	0.76
19970127	0.24	2.97	0.74
19970128	0.01	2.72	0.72
19970129	0.0	2.69	0.7
19970130	0.0	1.73	0.7
19970131	0.01	2.56	0.69
19970201	1.3	3.12	0.67
19970202	0.03	2.49	0.7
19970203	28.81	4.43	2.29
19970204	1.74	4.65	9.06
19970205	0.19	4.43	2.4
19970206	7.6	7.13	1.94
19970207	0.0	3.9	2.72
19970208	6.53	4.87	1.63
19970209	6.85	6.96	2.62
19970210	5.91	5.04	5.96
19970211	15.97	7.54	5.25
19970212	7.79	6.81	9.42
19970213	3.82	3.34	6.21
19970214	0.06	3.25	3.16
19970215	0.34	4.53	2.1
19970216	8.02	5.54	2.86
19970217	17.84	5.76	9.5
19970218	1.76	3.19	4.98
19970219	14.89	6.5	8.98
19970220	6.52	7.53	5.33
19970221	0.03	7.31	3.89
19970222	3.28	8.45	2.42
19970223	10.12	6.34	5.39
19970224	10.87	4.26	7.1
19970225	8.27	5.07	5.2
19970226	6.59	4.1	6.67
19970227	8.78	6.71	4.84
19970228	0.13	6.68	5.25
19970301	11.79	7.07	4.11
19970302	0.03	4.51	5.47
19970303	0.01	2.92	2.57
19970304	0.11	4.72	2.02
19970305	5.0	4.06	2.23
19970306	0.03	5.75	1.91
19970307	0.09	6.09	1.57
19970308	0.01	5.83	1.33
19970309	2.28	6.13	1.35
19970310	0.0	6.31	1.25
19970311	0.0	10.27	1.12
19970312	0.01	8.18	1.06
19970313	6.94	8.83	1.24
19970314	2.84	8.87	2.08
19970315	3.17	8.95	2.4
19970316	2.47	9.05	2.22
19970317	5.26	9.11	1.92
19970318	4.58	7.14	4.06
19970319	0.06	5.65	2.53
19970320	0.7	4.92	1.8
19970321	0.0	5.4	1.43
19970322	10.72	8.31	1.79
19970323	3.59	7.46	3.97
19970324	0.89	7.03	2.69
19970325	0.64	8.64	1.92
19970326	1.65	8.92	1.84
19970327	4.6	6.45	1.85
19970328	0.08	5.93	1.67
19970329	0.0	6.38	1.28
19970330	0.01	5.42	1.12
19970331	0.0	7.17	1.04
