date	precipitation	temperature	discharge_spec
19780727	9.93	17.12	1.3
19780728	0.33	14.09	0.96
19780729	0.47	15.21	0.54
19780730	1.69	15.44	0.49
19780731	4.19	14.18	0.44
19780801	3.08	14.0	0.52
19780802	11.36	15.71	0.48
19780803	15.75	13.03	4.36
19780804	2.95	13.48	5.9
19780805	38.52	13.83	14.29
19780806	4.46	12.68	16.59
19780807	2.88	12.97	3.78
19780808	2.34	12.47	3.07
19780809	0.12	11.04	2.17
19780810	0.0	13.35	1.42
19780811	3.62	15.8	1.08
19780812	4.76	13.06	2.09
19780813	7.44	15.11	1.88
19780814	7.07	14.41	3.67
19780815	5.99	13.88	4.17
19780816	2.87	11.77	2.64
19780817	0.0	13.14	1.65
19780818	0.0	14.9	1.14
19780819	0.26	17.79	0.9
19780820	0.21	15.12	0.81
19780821	8.24	16.17	0.91
19780822	0.11	13.6	1.25
19780823	0.0	12.5	0.83
19780824	0.0	13.77	0.72
19780825	0.0	12.83	0.62
19780826	0.1	13.73	0.56
19780827	0.01	14.26	0.55
19780828	0.01	12.71	0.52
19780829	0.06	12.0	0.48
19780830	1.29	10.69	0.43
19780831	7.77	11.19	0.64
19780901	0.11	10.81	0.57
19780902	0.0	12.82	0.47
19780903	0.1	13.45	0.42
19780904	0.04	13.48	0.4
19780905	5.9	11.6	0.46
19780906	2.47	13.45	0.48
19780907	0.38	11.96	0.46
19780908	17.62	15.06	3.62
19780909	2.78	15.29	1.68
19780910	24.26	15.01	8.39
19780911	2.47	11.92	4.11
19780912	3.55	13.91	1.96
19780913	12.98	14.47	5.51
19780914	0.5	12.79	3.21
19780915	0.42	13.85	1.65
19780916	0.31	13.15	1.16
19780917	0.02	11.13	0.93
19780918	0.0	11.55	0.83
19780919	0.0	11.15	0.75
19780920	0.62	13.2	0.71
19780921	0.0	14.19	0.67
19780922	0.09	13.83	0.63
19780923	7.34	14.87	0.69
19780924	13.17	12.83	4.0
19780925	6.33	11.26	2.4
19780926	6.2	10.65	2.8
19780927	26.5	10.28	8.09
19780928	37.86	11.21	29.62
19780929	27.37	9.3	17.85
19780930	0.5	9.82	7.79
19781001	0.63	10.0	3.73
19781002	7.97	9.55	4.72
19781003	0.83	9.96	3.18
19781004	0.78	11.55	2.28
19781005	0.0	13.64	1.91
19781006	0.0	10.96	1.41
19781007	0.0	12.77	1.19
19781008	1.35	14.87	1.06
19781009	2.54	14.15	0.98
19781010	0.14	14.12	0.95
19781011	2.89	16.36	1.01
19781012	0.06	14.9	0.92
19781013	0.0	13.32	0.82
19781014	3.39	10.33	0.77
19781015	6.13	9.78	1.53
19781016	7.9	8.43	2.33
19781017	0.53	5.6	1.85
19781018	0.06	8.95	1.11
19781019	1.84	10.59	0.98
19781020	0.8	7.7	0.97
19781021	8.56	9.5	1.6
19781022	0.01	9.06	2.88
19781023	0.45	11.32	1.36
19781024	9.33	11.9	2.88
19781025	1.8	12.24	2.73
19781026	0.94	9.31	2.06
19781027	0.0	10.83	1.39
19781028	0.0	10.26	1.14
19781029	0.0	9.41	1.02
19781030	0.0	11.37	0.95
19781031	4.8	7.6	1.13
19781101	3.19	10.42	1.08
19781102	0.55	9.48	1.49
19781103	0.32	10.71	1.07
19781104	0.03	11.76	0.98
19781105	0.0	10.47	0.88
19781106	0.53	9.29	0.8
19781107	0.0	10.74	0.75
19781108	0.63	7.88	0.69
19781109	0.0	8.15	0.67
19781110	0.95	10.3	0.67
19781111	0.03	9.64	0.67
19781112	8.96	8.48	2.12
19781113	0.61	9.44	1.34
19781114	25.42	11.1	12.42
19781115	22.27	8.98	5.81
19781116	7.16	8.29	3.26
19781117	16.21	10.65	5.95
19781118	22.84	10.69	13.63
19781119	7.68	7.18	4.2
19781120	5.5	7.81	3.92
19781121	0.79	10.86	2.91
19781122	0.76	10.83	8.28
19781123	28.27	7.83	7.51
19781124	7.51	3.53	5.13
19781125	5.12	1.7	3.24
19781126	0.0	-0.7	2.21
19781127	0.0	-0.88	1.51
19781128	0.0	-1.46	1.31
19781129	0.0	0.76	1.29
19781130	0.0	-1.8	1.26
19781201	1.03	-1.36	1.14
19781202	2.97	1.62	1.13
19781203	8.37	3.33	1.96
19781204	0.1	2.51	2.27
19781205	0.05	1.82	1.44
19781206	0.0	0.84	1.24
19781207	4.33	3.07	1.24
19781208	10.94	6.75	2.8
19781209	6.12	8.1	2.47
19781210	0.85	10.73	3.51
19781211	3.66	9.6	2.16
19781212	8.5	6.54	3.92
19781213	2.27	3.1	2.96
19781214	8.68	3.02	3.54
19781215	0.07	3.23	2.61
19781216	0.0	0.67	1.85
19781217	0.0	-0.52	1.39
19781218	0.01	-1.25	1.18
19781219	0.0	-2.9	1.09
19781220	1.54	-0.81	1.06
19781221	2.78	0.67	1.04
19781222	0.01	-0.58	1.22
19781223	0.34	-0.32	1.05
19781224	9.17	3.75	2.35
19781225	5.82	4.66	3.24
19781226	8.33	5.94	3.43
19781227	34.97	5.46	15.47
19781228	15.54	2.51	19.44
19781229	0.37	-0.3	4.69
19781230	0.04	-3.58	2.8
19781231	0.17	-6.28	3.13
19790101	12.28	-3.44	2.35
19790102	1.07	-2.34	1.63
19790103	0.01	-2.77	1.27
19790104	0.0	-5.23	1.17
19790105	0.37	-4.71	1.11
19790106	15.74	3.05	6.22
19790107	11.1	4.64	16.04
19790108	5.55	2.47	4.11
19790109	3.94	1.27	3.56
19790110	0.03	0.54	2.96
19790111	1.2	-1.1	1.99
19790112	0.0	-3.77	2.82
19790113	0.0	-3.94	1.39
19790114	2.57	1.14	1.89
19790115	0.53	3.88	2.4
19790116	1.86	1.27	2.36
19790117	0.89	1.75	1.88
19790118	0.17	0.08	1.63
19790119	11.04	-0.47	1.26
19790120	3.55	0.25	1.3
19790121	0.01	-0.4	1.39
19790122	0.0	-0.78	1.2
19790123	0.0	-1.88	1.05
19790124	6.13	-0.23	2.2
19790125	1.02	-2.96	1.72
19790126	5.37	-3.14	1.29
19790127	0.01	-5.55	0.91
19790128	3.15	-1.27	1.04
19790129	0.01	-0.18	0.87
19790130	0.08	-0.31	0.8
19790131	12.25	2.68	4.25
19790201	4.52	-1.45	6.53
19790202	0.06	-0.21	2.09
19790203	3.92	1.62	4.0
19790204	0.0	0.24	3.26
19790205	0.0	-0.08	1.68
19790206	0.01	-0.49	1.25
19790207	0.0	-1.34	1.07
19790208	0.0	-0.22	1.09
19790209	0.0	0.41	0.87
19790210	0.0	0.45	0.79
19790211	0.0	1.33	0.74
19790212	1.84	0.47	0.74
19790213	0.79	-1.15	0.84
19790214	1.4	-5.04	0.65
19790215	0.2	-3.84	0.69
19790216	0.0	-2.32	0.68
19790217	0.0	-1.09	0.6
19790218	0.05	-0.5	0.58
19790219	0.01	1.06	0.65
19790220	0.0	1.68	0.75
19790221	4.58	1.47	0.83
19790222	0.02	2.95	1.26
19790223	0.0	1.78	0.99
19790224	0.0	2.35	0.86
19790225	0.03	2.86	0.81
19790226	3.77	3.79	1.48
19790227	12.64	3.15	12.04
19790228	0.87	1.96	5.87
19790301	11.18	4.54	10.8
19790302	11.3	7.98	12.31
19790303	5.62	5.0	19.03
19790304	0.0	4.55	6.09
19790305	0.22	5.96	4.52
19790306	13.63	3.17	9.08
19790307	2.59	2.88	7.76
19790308	26.27	4.3	17.91
19790309	0.27	1.48	5.05
19790310	18.19	4.6	8.94
19790311	5.7	5.59	8.58
19790312	0.02	4.13	3.32
19790313	0.72	2.84	2.36
19790314	0.32	1.99	1.88
19790315	0.33	0.83	1.53
19790316	6.4	-0.29	1.26
19790317	0.38	-0.29	1.2
19790318	0.01	0.63	1.65
19790319	0.0	1.86	1.46
19790320	7.17	1.58	1.69
19790321	3.94	0.49	2.09
19790322	0.02	1.25	2.57
19790323	0.0	1.74	2.12
19790324	11.11	5.52	3.24
19790325	3.65	7.03	4.44
19790326	17.82	2.33	8.25
19790327	1.03	2.26	6.53
19790328	3.56	2.88	3.04
19790329	0.27	4.12	2.85
19790330	4.84	5.2	2.23
19790331	0.09	5.69	2.56
19790401	0.56	3.56	1.83
19790402	0.51	1.45	1.47
19790403	2.17	2.21	1.35
19790404	4.07	2.05	2.21
19790405	1.69	1.97	1.78
19790406	0.02	3.21	1.31
19790407	9.53	4.3	1.72
19790408	9.64	3.5	8.36
19790409	10.23	4.64	4.74
19790410	5.8	9.14	5.05
19790411	5.62	9.56	6.28
19790412	5.64	7.92	3.59
19790413	0.28	8.92	2.62
19790414	0.11	11.67	1.86
19790415	0.0	6.9	1.42
19790416	0.0	6.33	1.19
19790417	0.0	6.34	1.04
19790418	0.0	8.54	0.95
19790419	14.33	7.71	3.02
19790420	3.35	7.83	2.28
19790421	0.15	7.12	1.83
19790422	12.89	6.88	3.87
19790423	0.36	6.81	2.69
19790424	0.07	6.89	1.57
19790425	0.88	5.96	1.18
19790426	0.51	6.33	1.06
19790427	3.25	7.97	1.0
19790428	1.93	8.7	0.97
19790429	3.88	4.56	1.42
19790430	1.35	3.53	1.15
19790501	3.49	1.61	1.16
19790502	0.08	3.37	1.06
19790503	2.34	1.96	0.96
19790504	2.91	2.67	0.85
19790505	3.18	3.47	1.7
19790506	25.18	5.75	8.53
19790507	2.13	6.97	5.18
19790508	13.19	5.83	8.36
19790509	0.01	6.71	3.26
19790510	14.83	8.31	4.39
19790511	2.73	10.19	7.73
19790512	0.28	12.21	3.1
19790513	0.1	13.75	2.22
19790514	0.01	11.81	1.64
19790515	0.0	11.97	1.32
19790516	3.91	7.69	1.48
19790517	5.52	8.84	2.22
19790518	0.45	6.05	1.59
19790519	0.0	8.67	1.13
19790520	12.03	10.23	1.81
19790521	10.03	8.58	4.8
19790522	13.76	9.13	6.09
19790523	4.76	8.19	6.31
19790524	2.62	7.62	2.74
19790525	2.62	8.81	2.13
19790526	13.97	8.81	5.18
19790527	3.81	9.55	3.04
19790528	10.58	10.16	6.17
19790529	0.09	11.24	2.85
19790530	4.18	10.37	2.17
19790531	0.06	9.06	1.86
19790601	0.0	12.39	1.41
19790602	0.03	12.85	1.13
19790603	0.0	17.96	0.98
19790604	0.81	15.39	0.92
19790605	0.41	12.15	0.86
19790606	6.91	11.24	1.26
19790607	2.53	10.96	1.35
19790608	0.11	10.59	0.92
19790609	0.0	13.66	0.8
19790610	0.01	15.45	0.7
19790611	0.18	14.92	0.6
19790612	8.95	15.6	0.8
19790613	4.43	12.29	0.77
19790614	6.4	9.53	1.08
19790615	2.32	11.0	0.97
19790616	0.01	11.74	0.75
19790617	0.0	12.32	0.61
19790618	0.0	14.31	0.53
19790619	0.0	19.22	0.47
19790620	0.0	17.14	0.43
19790621	6.73	11.92	0.54
19790622	0.0	12.76	0.44
19790623	5.68	11.24	0.47
19790624	3.57	11.27	0.44
19790625	0.53	10.85	0.4
19790626	0.04	10.64	0.36
19790627	5.49	14.57	0.34
19790628	6.54	12.69	1.03
19790629	1.77	10.98	0.55
19790630	0.08	10.74	0.45
19790701	0.92	11.53	0.39
19790702	0.0	11.99	0.37
19790703	0.0	12.38	0.35
19790704	0.0	14.48	0.32
19790705	0.0	13.76	0.33
19790706	2.56	16.29	0.33
19790707	0.79	13.15	0.37
19790708	8.72	14.08	0.47
19790709	0.0	12.02	0.42
19790710	0.0	13.01	0.34
19790711	0.0	15.21	0.32
19790712	0.24	16.54	0.3
19790713	0.72	12.65	0.31
19790714	0.01	12.7	0.29
19790715	1.07	14.12	0.28
19790716	3.36	15.29	0.33
19790717	7.54	15.81	0.45
19790718	0.74	11.94	0.41
19790719	0.67	11.44	0.35
19790720	7.73	11.53	0.33
19790721	2.17	11.8	0.55
19790722	0.01	11.43	0.4
19790723	0.32	13.03	0.34
19790724	8.15	14.42	0.37
19790725	1.5	15.95	0.6
19790726	0.0	15.8	0.43
19790727	0.16	18.86	0.35
19790728	0.65	17.21	0.33
19790729	0.01	15.74	0.32
19790730	11.39	14.68	0.41
19790731	13.04	14.04	2.17
19790801	14.91	13.81	3.65
19790802	1.89	12.16	2.93
19790803	3.15	12.37	1.81
19790804	0.0	13.54	0.98
19790805	0.02	16.06	0.68
19790806	2.63	16.87	0.58
19790807	5.58	13.53	0.83
19790808	31.48	12.2	3.95
19790809	3.26	11.66	10.75
19790810	2.96	13.71	2.01
19790811	3.66	15.94	1.35
19790812	3.59	17.61	1.93
19790813	23.36	14.88	10.06
19790814	16.36	12.82	9.38
19790815	0.74	12.58	4.17
19790816	19.26	13.25	8.45
19790817	1.97	13.24	4.83
19790818	0.0	15.19	2.55
19790819	0.01	14.34	1.86
19790820	5.74	13.06	1.98
19790821	6.88	11.65	2.22
19790822	17.56	11.2	2.36
19790823	18.61	9.28	19.5
19790824	0.01	10.12	3.37
19790825	0.0	11.78	2.21
19790826	0.08	10.68	1.5
19790827	0.05	10.75	1.12
19790828	0.0	11.75	1.0
19790829	0.0	13.86	0.87
19790830	0.0	16.76	0.77
19790831	0.01	18.64	0.7
19790901	10.55	15.73	1.02
19790902	27.44	14.07	4.61
19790903	1.0	13.02	4.72
19790904	0.0	14.09	1.65
19790905	0.0	15.74	1.09
19790906	0.66	14.87	0.92
19790907	0.33	13.97	0.82
19790908	1.64	14.2	0.79
19790909	0.05	12.03	0.73
19790910	0.02	13.59	0.67
19790911	13.11	13.32	1.79
19790912	0.65	12.43	2.65
19790913	1.31	11.33	1.04
19790914	1.34	7.34	0.94
19790915	0.01	9.24	0.76
19790916	14.58	13.39	2.18
19790917	12.63	14.47	7.62
19790918	0.06	12.79	3.13
19790919	0.22	12.74	1.52
19790920	5.48	9.28	1.17
19790921	0.87	5.48	1.16
19790922	8.58	8.99	0.97
19790923	0.21	7.98	2.69
19790924	0.91	11.33	1.14
19790925	27.8	13.58	11.44
19790926	11.79	11.72	12.07
19790927	0.18	8.64	3.21
19790928	0.0	8.83	2.13
19790929	0.0	9.71	1.48
19790930	0.3	12.02	1.17
19791001	1.21	11.23	1.19
19791002	0.62	13.64	1.07
19791003	8.33	13.61	1.51
19791004	5.15	11.12	1.92
19791005	0.0	9.0	1.18
19791006	5.27	11.78	1.19
19791007	0.65	14.38	1.26
19791008	0.43	16.94	1.0
19791009	1.23	15.96	0.9
19791010	0.38	11.82	0.86
19791011	0.68	12.42	0.7
19791012	1.06	13.4	0.66
19791013	1.89	11.08	0.69
19791014	5.37	11.03	0.87
19791015	3.67	11.16	0.87
19791016	0.03	9.4	0.93
19791017	14.68	10.16	4.83
19791018	0.76	10.45	2.11
19791019	6.6	9.74	2.96
19791020	0.0	7.11	1.59
19791021	0.0	9.01	1.13
19791022	0.0	8.16	0.95
19791023	0.0	7.04	0.82
19791024	0.13	8.55	0.75
19791025	16.26	9.48	1.98
19791026	0.1	7.12	2.68
19791027	0.0	5.31	1.28
19791028	1.52	5.61	1.16
19791029	3.68	6.87	1.12
19791030	17.32	10.07	6.25
19791031	4.76	7.94	3.73
19791101	1.84	6.91	2.69
19791102	14.72	8.91	3.84
19791103	16.82	10.73	11.41
19791104	9.66	7.8	4.96
19791105	4.92	7.31	4.17
19791106	4.29	5.23	3.51
19791107	6.64	4.65	4.11
19791108	7.69	5.22	3.73
19791109	3.64	1.72	3.98
19791110	2.99	4.83	3.54
19791111	13.05	3.81	5.81
19791112	0.0	-0.55	2.99
19791113	3.25	0.28	2.27
19791114	4.63	1.91	2.65
19791115	3.37	3.36	3.4
19791116	0.01	2.35	2.23
19791117	4.16	5.1	2.3
