date	precipitation	temperature	discharge_spec
19990517	0.01	8.08	2.29
19990518	0.01	10.5	1.88
19990519	0.0	11.44	1.62
19990520	4.78	12.84	1.41
19990521	3.86	8.91	1.66
19990522	4.78	10.12	1.52
19990523	8.95	10.76	2.03
19990524	1.6	8.9	3.41
19990525	11.9	9.86	3.01
19990526	0.23	12.91	4.31
19990527	3.28	15.44	2.16
19990528	26.74	11.74	13.32
19990529	0.03	10.66	4.63
19990530	0.14	8.61	2.99
19990531	0.0	8.8	2.37
19990601	0.0	11.88	1.92
19990602	15.47	10.79	2.79
19990603	3.75	11.37	2.66
19990604	2.43	8.15	2.57
19990605	1.86	7.88	2.08
19990606	2.75	9.13	1.95
19990607	5.45	7.85	2.04
19990608	0.05	8.34	1.85
19990609	0.0	10.14	1.47
19990610	0.01	10.82	1.32
19990611	0.2	10.66	1.21
19990612	1.39	10.67	1.12
19990613	1.13	12.0	1.07
19990614	0.19	13.09	1.02
19990615	0.01	15.04	0.92
19990616	1.38	13.44	0.83
19990617	0.0	10.77	0.77
19990618	0.53	14.73	0.72
19990619	27.49	11.68	3.81
19990620	0.25	9.26	2.08
19990621	0.6	8.96	1.2
19990622	0.13	11.36	1.01
19990623	0.0	11.85	0.92
19990624	0.0	13.33	0.82
19990625	0.0	14.94	0.74
19990626	14.02	16.34	0.74
19990627	8.24	10.57	1.62
19990628	3.17	10.21	1.93
19990629	0.04	12.73	1.11
19990630	7.55	11.7	0.97
19990701	2.74	14.07	1.29
19990702	2.85	16.19	1.21
19990703	1.42	14.83	1.26
19990704	0.32	14.52	1.02
19990705	0.07	15.2	0.84
19990706	0.11	16.37	0.76
19990707	0.0	16.26	0.72
19990708	0.0	18.63	0.68
19990709	0.54	19.72	0.64
19990710	0.17	16.49	0.61
19990711	0.0	14.86	0.55
19990712	0.0	16.34	0.51
19990713	4.36	13.19	0.54
19990714	0.22	11.52	0.54
19990715	5.87	13.02	0.54
19990716	0.14	14.35	0.71
19990717	28.63	14.21	5.4
19990718	2.97	14.52	4.73
19990719	28.58	16.17	5.18
19990720	7.49	12.76	11.46
19990721	4.21	11.31	7.37
19990722	0.0	11.67	3.64
19990723	0.0	15.19	2.54
19990724	0.07	12.95	1.97
19990725	0.0	10.92	1.57
19990726	0.0	11.78	1.28
19990727	0.0	13.28	1.09
19990728	0.0	12.75	0.97
19990729	0.0	15.31	0.87
19990730	0.0	17.29	0.77
19990731	0.05	18.85	0.7
19990801	0.8	19.49	0.66
19990802	0.74	20.2	0.63
19990803	0.22	18.63	0.6
19990804	0.06	18.78	0.57
19990805	2.62	14.19	0.57
19990806	8.27	18.49	0.55
19990807	2.51	13.44	0.62
19990808	0.19	13.33	0.55
19990809	0.38	10.34	0.51
19990810	0.01	10.28	0.47
19990811	0.08	12.57	0.45
19990812	6.9	13.38	0.44
19990813	14.67	13.25	1.57
19990814	14.34	12.48	1.52
19990815	2.34	11.45	2.16
19990816	3.77	11.04	1.22
19990817	2.8	11.15	1.14
19990818	5.83	11.99	1.17
19990819	0.03	10.99	1.06
19990820	0.01	8.61	0.8
19990821	0.01	9.18	0.68
19990822	0.01	10.75	0.61
19990823	0.0	11.9	0.57
19990824	1.77	13.53	0.53
19990825	33.92	15.04	5.45
19990826	1.7	14.59	3.31
19990827	0.02	13.89	1.82
19990828	0.0	13.27	1.3
19990829	2.77	12.13	1.19
19990830	0.12	13.25	1.09
19990831	0.02	13.91	1.0
19990901	2.28	16.37	0.92
19990902	0.55	16.18	1.13
19990903	0.06	14.18	1.01
19990904	0.05	16.13	0.84
19990905	0.0	17.12	0.73
19990906	38.34	15.74	5.73
19990907	0.08	12.76	5.7
19990908	7.71	13.2	2.91
19990909	0.14	9.87	2.19
