date	precipitation	temperature	discharge_spec
19960930	5.61	7.82	10.02
19961001	0.54	7.46	8.74
19961002	2.04	9.67	7.17
19961003	20.86	10.62	6.65
19961004	6.25	6.52	7.05
19961005	2.07	9.01	6.43
19961006	0.62	11.85	5.52
19961007	0.87	8.49	4.73
19961008	0.75	7.94	3.9
19961009	0.38	8.25	3.18
19961010	0.04	7.69	2.55
19961011	24.25	10.65	2.06
19961012	2.82	12.22	3.07
19961013	0.06	14.72	3.55
19961014	29.25	11.51	3.59
19961015	14.24	7.52	4.9
19961016	22.89	6.86	7.19
19961017	16.6	8.28	8.38
19961018	10.13	10.65	8.84
19961019	4.74	10.67	8.92
19961020	19.14	11.74	8.98
19961021	0.31	9.68	9.15
19961022	1.29	11.52	8.2
19961023	0.07	13.92	7.05
19961024	10.58	12.81	6.0
19961025	34.71	9.03	5.79
19961026	32.1	9.5	7.39
19961027	18.79	10.46	11.16
19961028	14.11	7.77	13.6
19961029	1.19	6.42	13.77
19961030	22.2	8.94	11.77
19961031	12.4	9.56	12.24
19961101	6.39	10.79	12.39
19961102	8.83	12.33	11.32
19961103	19.63	10.42	10.57
19961104	19.73	8.62	10.99
19961105	43.84	8.41	13.12
19961106	9.24	5.55	17.89
19961107	0.98	3.11	16.32
19961108	8.91	4.93	13.69
19961109	2.25	3.12	11.66
19961110	0.05	1.45	9.77
19961111	19.64	3.84	8.64
19961112	0.42	1.62	7.86
19961113	2.67	3.32	6.97
19961114	0.47	6.69	6.15
19961115	0.71	8.03	5.39
19961116	11.59	5.98	4.8
19961117	0.49	-0.21	4.67
19961118	0.04	-0.55	4.29
19961119	2.96	1.28	4.0
19961120	0.43	-1.32	3.25
19961121	4.98	0.61	2.87
19961122	3.89	-0.19	2.78
19961123	2.93	0.19	2.65
19961124	35.52	2.36	2.94
19961125	0.32	2.34	4.01
19961126	0.23	1.4	4.56
19961127	0.0	-0.15	4.5
19961128	25.31	2.53	4.42
19961129	10.1	5.06	5.6
19961130	4.44	4.94	6.63
19961201	11.79	6.46	7.12
19961202	17.04	3.24	7.64
19961203	20.13	3.47	8.59
19961204	3.36	2.5	9.59
19961205	0.03	0.22	9.26
19961206	0.03	0.64	8.22
19961207	0.41	2.38	7.14
19961208	1.0	3.93	6.21
19961209	0.33	3.21	5.51
19961210	0.03	2.62	4.91
19961211	0.0	2.79	4.26
19961212	0.07	1.25	3.71
19961213	0.69	-0.81	3.15
19961214	4.88	4.91	2.74
19961215	3.32	5.73	2.72
19961216	0.48	2.9	2.72
19961217	8.16	4.2	2.63
19961218	16.02	5.98	2.83
19961219	2.5	2.61	3.57
19961220	0.0	0.88	3.56
19961221	0.0	0.73	3.27
19961222	0.01	1.47	2.92
19961223	0.01	0.88	2.64
19961224	0.0	-0.13	2.33
19961225	0.0	-0.44	2.09
19961226	4.69	0.28	1.89
19961227	0.2	0.22	1.79
19961228	0.03	-0.11	1.67
19961229	0.44	0.82	1.57
19961230	0.48	0.47	1.43
19961231	0.16	-1.05	1.33
19970101	0.08	-1.31	1.11
19970102	0.08	-0.88	1.04
19970103	0.01	-0.07	1.01
19970104	0.0	-1.34	0.84
19970105	0.06	-0.46	0.68
19970106	0.01	-1.95	0.61
19970107	0.0	-3.01	0.55
19970108	0.01	-1.83	0.59
19970109	0.0	0.12	0.59
19970110	2.03	-0.05	0.6
19970111	8.0	4.3	0.64
19970112	0.92	7.54	0.79
19970113	0.06	5.68	1.06
19970114	0.59	5.02	1.2
19970115	0.16	3.04	1.18
19970116	0.15	2.81	1.07
19970117	3.37	5.53	0.88
19970118	0.1	3.0	0.88
19970119	0.02	1.92	0.82
19970120	0.03	0.48	0.7
19970121	0.34	-0.71	0.64
19970122	0.82	-0.43	0.57
19970123	1.41	1.76	0.56
19970124	12.06	4.67	0.78
19970125	0.96	4.46	1.15
19970126	0.04	5.15	1.22
19970127	0.02	2.36	1.18
19970128	0.02	1.87	1.05
19970129	0.07	1.36	0.92
19970130	0.0	0.13	0.81
19970131	0.03	2.28	0.71
19970201	6.72	3.15	0.59
19970202	0.07	2.27	0.69
19970203	80.58	4.49	2.02
19970204	1.5	2.39	10.31
19970205	0.88	2.88	10.99
19970206	9.79	6.32	9.56
19970207	0.02	4.62	8.69
19970208	20.76	5.39	7.49
19970209	47.79	6.19	8.33
19970210	6.47	4.34	13.32
19970211	19.44	6.6	13.7
19970212	14.88	6.02	14.25
19970213	3.49	2.84	14.47
19970214	0.03	3.04	12.51
19970215	5.51	4.0	10.26
19970216	33.78	5.23	8.86
19970217	87.93	4.66	17.01
19970218	11.47	3.06	24.33
19970219	45.05	5.61	25.54
19970220	19.84	6.33	26.07
19970221	0.16	6.7	23.36
19970222	21.65	7.39	18.95
19970223	11.03	5.91	17.12
19970224	16.62	4.58	15.52
19970225	10.09	4.98	14.57
19970226	6.88	3.77	13.14
19970227	37.91	5.88	12.73
19970228	0.08	6.04	14.4
19970301	20.75	6.71	13.29
19970302	0.04	4.16	13.1
19970303	0.0	2.03	11.55
19970304	0.35	4.82	9.68
19970305	13.65	2.78	8.55
19970306	1.65	4.72	7.82
19970307	2.49	4.24	6.88
19970308	0.0	4.94	6.13
19970309	3.85	6.58	5.4
19970310	0.02	5.0	4.79
19970311	1.02	9.7	4.13
19970312	1.14	7.1	3.54
19970313	13.22	7.64	3.15
19970314	2.17	8.59	3.46
19970315	1.35	8.8	3.53
19970316	3.38	8.53	3.5
19970317	9.23	7.62	3.39
19970318	11.49	6.94	4.05
19970319	0.57	5.04	5.09
19970320	0.41	4.41	4.98
19970321	0.01	4.81	4.56
19970322	20.04	7.17	4.1
19970323	4.76	7.29	4.93
19970324	2.0	7.53	5.02
19970325	18.19	8.38	4.78
19970326	3.49	7.89	6.09
19970327	22.85	6.17	7.5
19970328	0.22	5.69	8.61
19970329	0.0	6.12	7.97
19970330	0.0	6.09	7.0
19970331	0.0	7.22	6.05
19970401	0.05	8.23	5.26
19970402	1.67	7.5	4.49
19970403	1.15	2.64	3.87
19970404	4.75	6.24	3.31
19970405	2.51	7.73	3.07
19970406	0.78	7.97	2.98
19970407	0.12	7.16	2.67
19970408	0.0	7.3	2.32
19970409	0.0	7.59	2.0
19970410	0.0	7.91	1.63
19970411	0.0	5.31	1.45
19970412	0.0	7.35	1.21
19970413	0.0	7.54	1.06
19970414	0.77	9.62	0.95
19970415	0.0	7.49	0.82
19970416	0.0	10.71	0.73
19970417	0.01	7.98	0.66
19970418	0.04	7.06	0.69
19970419	0.0	3.33	0.68
19970420	0.13	3.21	0.55
19970421	1.35	3.31	0.6
19970422	0.01	3.94	0.53
19970423	11.79	8.79	0.54
19970424	13.36	6.18	0.81
19970425	1.74	5.39	1.23
19970426	2.83	7.86	1.28
19970427	10.91	11.21	1.17
19970428	13.14	9.56	1.92
19970429	0.05	7.22	3.1
19970430	0.0	10.64	2.85
19970501	0.04	11.63	2.39
19970502	0.0	13.1	1.98
19970503	20.3	15.37	1.57
19970504	35.55	9.45	2.36
19970505	7.47	2.77	6.06
19970506	3.77	3.42	6.37
19970507	12.14	5.06	6.0
19970508	1.95	4.22	6.0
19970509	0.35	6.54	5.51
19970510	20.57	7.62	5.02
19970511	5.4	7.8	5.09
19970512	2.35	8.88	5.01
19970513	3.85	9.16	4.84
19970514	0.02	9.27	4.54
19970515	0.05	11.37	4.07
19970516	8.9	12.39	3.63
19970517	10.36	14.42	3.31
19970518	1.98	12.08	3.38
19970519	7.09	14.1	3.4
19970520	0.07	11.97	3.47
19970521	0.0	6.31	3.16
19970522	0.0	6.03	2.8
19970523	0.01	6.15	2.46
19970524	0.0	8.74	2.09
19970525	0.0	10.47	1.79
19970526	0.0	12.25	1.56
19970527	0.01	11.67	1.42
19970528	0.0	12.26	1.27
19970529	0.0	14.73	1.17
19970530	0.0	16.31	1.06
19970531	1.03	15.59	1.05
19970601	0.0	12.58	0.99
19970602	0.04	12.7	0.86
19970603	0.0	13.09	0.61
19970604	0.0	14.07	0.5
19970605	0.16	16.51	0.5
19970606	5.42	16.79	0.44
19970607	14.58	15.61	0.7
19970608	0.74	12.83	0.65
19970609	0.64	14.46	0.64
19970610	8.64	15.59	0.76
19970611	2.79	13.37	0.82
19970612	4.5	13.86	0.77
19970613	2.46	11.94	0.86
19970614	2.16	10.49	0.91
19970615	0.01	9.18	0.81
19970616	0.05	11.37	0.78
19970617	0.03	11.74	0.69
19970618	16.24	12.81	0.67
19970619	8.53	10.1	1.0
19970620	8.89	11.95	1.38
19970621	2.45	12.18	1.72
19970622	1.13	12.65	1.64
19970623	0.0	11.05	1.41
19970624	4.19	11.16	1.26
19970625	15.04	9.99	1.44
19970626	1.74	9.95	1.8
19970627	0.83	11.26	1.79
19970628	0.86	11.71	1.47
19970629	0.05	11.91	1.27
19970630	2.04	11.15	1.18
19970701	5.45	9.71	1.1
19970702	11.21	11.5	1.15
19970703	1.64	10.73	1.45
19970704	0.01	12.0	1.63
19970705	0.04	14.95	1.5
19970706	0.05	15.58	1.31
19970707	0.0	14.68	1.19
19970708	0.0	16.26	1.07
19970709	0.0	17.31	0.91
19970710	0.0	17.18	0.79
19970711	0.36	18.08	0.71
19970712	11.0	17.35	0.67
19970713	6.83	14.24	0.75
19970714	2.94	15.0	0.76
19970715	4.23	15.4	0.7
19970716	0.55	13.23	0.79
19970717	0.15	13.26	0.84
19970718	0.0	14.6	0.81
19970719	0.0	17.28	0.69
19970720	1.44	17.37	0.65
19970721	0.04	17.02	0.6
19970722	0.35	16.41	0.54
19970723	23.55	17.37	0.64
19970724	5.56	14.82	0.95
19970725	1.41	14.02	1.24
19970726	13.69	12.83	1.5
19970727	2.95	15.86	1.6
19970728	0.06	14.08	1.61
19970729	15.62	16.0	1.55
19970730	5.84	13.85	1.77
19970731	10.39	13.8	2.23
19970801	0.84	12.36	2.98
19970802	0.0	13.05	2.99
19970803	0.0	14.13	2.66
19970804	0.0	15.79	2.28
19970805	0.0	16.36	1.85
19970806	0.0	18.09	1.5
19970807	0.0	18.83	1.2
19970808	0.0	20.55	0.94
19970809	0.03	15.61	0.86
19970810	0.01	21.55	0.84
19970811	1.28	19.4	0.74
19970812	0.0	19.47	0.67
19970813	17.66	18.44	0.69
19970814	0.41	16.3	0.75
19970815	0.24	16.55	0.76
19970816	0.07	18.2	0.7
19970817	0.11	15.73	0.66
19970818	0.0	19.33	0.64
19970819	5.18	22.01	0.62
19970820	3.05	20.18	0.59
19970821	13.89	14.61	0.76
19970822	0.75	13.86	0.96
19970823	4.47	13.43	1.03
19970824	0.01	14.16	0.97
19970825	5.2	14.29	0.85
19970826	7.69	15.14	0.84
19970827	6.79	13.24	0.94
19970828	3.2	14.11	0.98
19970829	2.18	12.5	0.95
19970830	5.25	12.61	1.01
19970831	10.58	14.71	1.1
19970901	2.74	12.6	1.44
19970902	32.13	14.21	1.91
19970903	24.36	12.31	5.23
19970904	1.86	13.55	7.52
19970905	1.31	13.11	6.83
19970906	11.81	13.28	6.07
19970907	0.04	13.68	5.75
19970908	0.05	11.42	5.04
19970909	0.01	10.65	4.25
19970910	0.0	12.86	3.4
19970911	11.76	12.45	2.83
19970912	4.71	9.04	2.56
19970913	11.08	9.26	2.48
19970914	8.07	12.13	2.54
19970915	31.48	13.02	4.37
19970916	37.4	11.41	9.79
19970917	0.05	11.94	13.98
19970918	0.02	10.43	12.17
19970919	0.0	11.46	9.86
19970920	0.0	10.98	7.95
19970921	0.02	10.19	6.47
19970922	0.0	10.39	5.29
19970923	0.0	10.12	4.27
19970924	0.0	12.05	3.36
19970925	0.01	12.69	2.64
19970926	0.0	11.85	2.07
19970927	0.0	10.69	1.59
19970928	9.63	13.04	1.25
19970929	0.04	12.22	1.23
19970930	8.36	12.74	1.18
19971001	0.21	12.07	1.18
19971002	0.17	10.08	1.19
19971003	0.12	12.46	1.03
