date	precipitation	temperature	discharge_spec
19980517	0.0	14.39	0.87
19980518	0.0	13.75	0.84
19980519	0.0	14.45	0.83
19980520	0.0	13.28	0.82
19980521	0.01	10.66	0.81
19980522	0.38	11.84	0.78
19980523	0.06	11.7	0.79
19980524	3.48	11.61	0.72
19980525	2.3	9.88	0.73
19980526	0.21	7.93	0.75
19980527	2.7	7.86	0.74
19980528	10.07	11.14	0.75
19980529	0.51	12.52	0.87
19980530	3.7	12.64	0.76
19980531	0.03	12.56	0.78
19980601	9.33	12.35	0.8
19980602	23.58	7.21	1.65
19980603	0.19	8.25	1.23
19980604	0.0	10.59	0.94
19980605	3.64	12.89	0.86
19980606	9.81	13.37	0.99
19980607	1.28	11.09	0.95
19980608	20.2	11.29	1.8
19980609	10.81	11.82	3.72
19980610	10.35	8.91	4.42
19980611	0.94	7.68	3.95
19980612	1.89	8.76	2.62
19980613	1.68	9.86	2.01
19980614	1.61	9.31	1.57
19980615	0.32	9.83	1.26
19980616	0.14	10.06	1.05
19980617	0.93	12.82	0.92
19980618	3.31	13.98	0.89
19980619	0.1	16.26	0.87
19980620	1.97	17.85	0.88
19980621	0.67	13.7	0.72
19980622	38.34	12.98	2.66
19980623	42.58	14.19	14.54
19980624	5.42	12.9	24.48
19980625	4.08	12.82	8.41
19980626	6.92	12.39	5.38
19980627	3.42	12.59	4.48
19980628	1.42	12.77	3.61
19980629	0.83	12.25	2.78
19980630	0.13	10.97	2.21
19980701	0.1	13.6	1.79
19980702	0.0	14.07	1.46
19980703	0.03	14.21	1.23
19980704	0.76	14.37	1.07
19980705	0.19	12.94	0.99
19980706	0.01	12.47	0.93
19980707	0.62	13.37	0.86
19980708	16.04	13.06	1.26
19980709	0.01	12.8	1.55
19980710	9.09	13.28	1.57
19980711	8.46	12.37	1.54
19980712	6.91	11.97	4.14
19980713	2.41	12.25	4.01
19980714	4.65	11.93	2.88
19980715	0.11	12.48	2.34
19980716	6.19	13.83	1.87
19980717	4.67	11.81	2.11
19980718	0.78	12.48	2.13
19980719	14.07	14.0	2.25
19980720	15.34	14.33	6.09
19980721	3.52	13.24	5.03
19980722	20.13	14.21	5.4
19980723	0.25	12.82	8.61
19980724	0.07	12.11	4.87
19980725	0.0	13.3	3.16
19980726	15.09	12.65	4.1
19980727	2.56	14.32	4.02
19980728	9.4	13.96	3.37
19980729	6.63	13.55	4.89
19980730	5.32	13.83	4.02
19980731	0.32	14.34	3.2
19980801	0.08	13.37	2.46
19980802	48.16	14.53	2.26
19980803	23.1	13.35	35.42
19980804	0.21	14.38	11.61
19980805	13.24	14.7	6.07
