date	precipitation	temperature	discharge_spec
19960930	2.48	6.38	0.74
19961001	0.91	7.48	0.48
19961002	6.72	8.68	0.36
19961003	14.93	6.65	1.5
19961004	7.97	6.03	3.05
19961005	1.0	8.34	1.54
19961006	0.02	12.34	0.84
19961007	2.99	6.7	0.69
19961008	0.65	7.05	0.63
19961009	0.65	4.92	0.53
19961010	0.07	6.46	0.46
19961011	6.68	9.13	0.71
19961012	7.42	8.06	2.66
19961013	0.45	11.44	1.81
19961014	11.81	10.38	1.44
19961015	1.29	6.62	4.98
19961016	1.83	4.76	1.71
19961017	0.38	7.16	1.19
19961018	6.71	7.34	0.92
19961019	0.33	7.2	1.9
19961020	3.14	8.94	1.1
19961021	0.87	6.24	1.1
19961022	0.11	10.32	0.81
19961023	0.08	12.44	0.7
19961024	14.12	11.35	0.83
19961025	7.41	6.63	2.97
19961026	9.28	5.66	3.33
19961027	11.48	7.44	4.44
19961028	15.3	2.84	9.87
19961029	0.34	3.34	3.31
19961030	2.17	7.5	1.84
19961031	0.12	7.11	1.59
19961101	3.0	8.96	1.28
19961102	6.59	9.49	1.76
19961103	10.65	5.82	3.98
19961104	9.8	4.15	3.01
19961105	25.56	3.03	5.63
19961106	5.88	1.08	12.6
19961107	0.98	-0.05	2.92
19961108	12.38	0.81	2.57
19961109	0.42	0.13	2.08
19961110	0.01	-1.55	1.52
19961111	3.07	-1.32	1.24
19961112	0.82	0.75	1.18
19961113	6.84	4.19	2.08
19961114	0.25	8.38	4.98
19961115	1.13	7.27	2.5
19961116	5.05	3.92	1.93
19961117	0.12	-2.94	1.74
19961118	0.0	-5.57	1.04
19961119	5.29	-4.39	0.95
19961120	1.65	-2.53	0.93
19961121	0.15	-4.03	0.85
19961122	0.92	-3.82	0.72
19961123	0.5	-3.26	0.7
19961124	5.52	-0.88	0.77
19961125	5.86	-1.55	0.94
19961126	0.04	-3.88	0.69
19961127	0.83	-0.92	0.67
19961128	7.27	0.59	0.82
19961129	10.89	1.39	1.02
19961130	2.4	2.64	3.47
19961201	16.41	2.17	7.49
19961202	6.68	-0.17	7.58
19961203	29.89	-1.1	3.01
19961204	16.53	-0.32	6.57
19961205	0.12	-2.93	3.14
19961206	3.73	-0.62	1.96
19961207	5.94	5.67	6.89
19961208	0.44	7.02	14.47
19961209	0.08	5.33	6.97
19961210	0.04	2.31	3.53
19961211	1.59	1.27	2.43
19961212	0.74	-3.08	2.03
19961213	0.55	-1.49	1.52
19961214	1.85	3.43	1.85
19961215	0.5	2.27	1.85
19961216	0.07	-0.12	1.57
19961217	2.51	-2.24	1.29
19961218	4.88	0.79	2.15
19961219	0.01	-0.82	1.66
19961220	0.0	-2.72	1.09
19961221	0.0	-5.26	0.61
19961222	0.0	-6.26	0.63
19961223	0.0	-5.14	0.76
19961224	0.0	-6.77	0.65
19961225	0.0	-2.29	0.58
19961226	0.74	-0.18	0.74
19961227	0.76	-0.7	0.71
19961228	0.25	-1.31	0.72
19961229	3.26	-0.1	0.7
19961230	0.5	-2.07	0.73
19961231	0.0	-5.02	0.51
19970101	2.33	-3.91	0.54
19970102	1.5	-2.26	0.67
19970103	0.57	-3.92	0.56
19970104	0.09	-4.38	0.54
19970105	0.46	-3.02	0.54
19970106	0.5	-4.22	0.47
19970107	0.06	-5.99	0.48
19970108	0.0	-3.79	0.52
19970109	0.03	-3.16	0.52
19970110	0.14	-2.43	0.46
19970111	3.46	4.17	0.66
19970112	1.6	8.36	6.6
19970113	0.1	7.09	4.18
19970114	0.64	6.06	3.3
19970115	0.0	2.93	1.87
19970116	0.0	1.52	1.23
19970117	3.29	1.7	1.39
19970118	9.35	1.18	1.44
19970119	0.61	-0.33	2.21
19970120	0.18	-0.29	1.27
19970121	0.01	-0.39	0.9
19970122	0.1	-1.43	0.73
19970123	0.35	0.71	0.79
19970124	1.13	-0.3	0.74
19970125	0.13	1.21	0.74
19970126	1.33	3.57	0.79
19970127	0.24	2.36	1.06
19970128	0.14	2.9	0.83
19970129	0.0	0.42	0.78
19970130	0.19	0.95	0.69
19970131	0.15	0.22	0.64
19970201	1.1	1.25	0.61
19970202	0.46	0.55	0.62
19970203	5.45	1.96	1.04
19970204	0.17	-1.7	1.05
19970205	0.67	0.44	0.73
19970206	4.52	3.56	2.59
19970207	7.05	0.94	1.69
19970208	1.79	4.34	2.73
19970209	7.34	4.38	3.55
19970210	6.33	1.74	6.31
19970211	4.63	0.9	2.08
19970212	12.32	1.28	3.83
19970213	7.92	0.59	5.91
19970214	0.33	0.63	2.46
19970215	0.31	1.76	1.61
19970216	5.57	3.16	2.19
19970217	18.76	3.39	10.67
19970218	4.67	-0.65	3.84
19970219	28.85	2.18	9.23
19970220	23.78	1.38	9.66
19970221	3.33	3.14	8.06
19970222	5.34	5.18	12.92
19970223	7.54	1.86	7.67
19970224	12.36	0.84	3.54
19970225	4.36	-0.51	3.62
19970226	0.29	-0.43	2.39
19970227	7.57	4.65	6.47
19970228	22.82	1.83	7.76
19970301	24.59	3.06	25.38
19970302	11.61	1.37	10.22
19970303	0.74	2.42	4.83
19970304	0.07	4.11	3.4
19970305	1.99	2.48	3.99
19970306	1.77	4.62	2.77
19970307	11.82	3.44	7.47
19970308	0.01	3.32	3.33
19970309	0.03	4.82	2.24
19970310	0.01	5.65	2.08
19970311	0.0	8.33	2.34
19970312	0.31	8.21	2.79
19970313	0.52	7.23	2.91
19970314	2.22	6.96	2.43
19970315	9.69	4.97	2.51
19970316	0.4	7.75	3.28
19970317	1.22	5.91	2.1
19970318	4.36	5.04	2.12
19970319	1.26	3.36	2.29
19970320	0.24	0.82	1.56
19970321	3.38	3.76	1.29
19970322	0.01	2.89	1.45
19970323	4.66	6.05	1.32
19970324	1.09	5.13	1.63
19970325	8.37	7.33	1.55
19970326	12.75	5.19	5.07
19970327	7.76	2.47	3.41
19970328	2.17	3.3	2.76
19970329	0.35	5.75	2.35
19970330	0.01	7.14	1.76
19970331	0.91	6.73	1.49
19970401	0.09	6.77	1.38
19970402	5.26	4.15	1.23
19970403	2.36	-0.43	1.38
19970404	9.01	3.59	2.23
19970405	7.55	4.46	5.67
19970406	0.25	5.7	2.44
19970407	0.01	5.93	1.62
19970408	0.6	8.17	1.3
19970409	0.0	7.26	1.15
19970410	0.11	8.72	1.03
19970411	0.11	1.87	0.96
19970412	0.0	7.1	0.87
19970413	0.95	7.72	0.86
19970414	0.0	4.17	0.88
19970415	0.0	8.48	0.78
19970416	0.0	6.87	0.73
19970417	0.0	6.58	0.7
19970418	1.29	2.72	0.7
19970419	0.0	-0.42	0.68
19970420	3.03	4.55	0.63
19970421	0.19	1.77	0.68
19970422	0.01	3.35	0.63
19970423	7.95	5.45	0.67
19970424	2.0	1.6	1.08
19970425	0.0	3.49	0.76
19970426	0.0	4.4	0.64
19970427	0.59	9.23	0.61
19970428	3.44	10.31	0.62
19970429	0.28	8.12	0.64
19970430	0.0	11.1	0.59
19970501	0.0	13.81	0.55
19970502	0.0	10.28	0.51
19970503	7.27	9.02	0.5
19970504	22.69	3.15	3.62
19970505	7.18	-0.71	3.09
19970506	4.05	0.77	2.23
19970507	7.46	2.3	2.28
19970508	1.65	3.12	2.69
19970509	0.69	5.9	1.81
19970510	8.21	4.03	1.35
19970511	3.42	5.86	2.24
19970512	1.47	6.71	2.19
19970513	1.97	6.68	2.0
19970514	0.05	7.93	1.4
19970515	0.0	10.48	1.01
19970516	2.95	11.11	0.84
19970517	8.44	9.8	1.04
19970518	27.27	8.71	5.64
19970519	1.79	5.67	5.54
19970520	3.64	4.64	3.37
19970521	0.53	1.74	2.27
19970522	0.58	2.19	1.64
19970523	0.04	4.11	1.31
19970524	0.02	7.88	1.1
19970525	0.44	10.12	1.01
19970526	0.0	8.62	0.92
19970527	0.0	8.78	0.83
19970528	0.0	13.23	0.78
19970529	0.0	14.95	0.73
19970530	0.0	14.32	0.68
19970531	0.0	12.59	0.63
19970601	0.01	9.76	0.58
19970602	0.39	10.17	0.55
19970603	0.0	9.61	0.54
19970604	0.0	12.6	0.52
19970605	0.52	12.67	0.5
19970606	0.34	14.13	0.5
19970607	0.6	13.97	0.47
19970608	0.58	8.36	0.45
19970609	0.22	10.3	0.43
19970610	0.36	13.14	0.41
19970611	21.07	10.61	0.57
19970612	12.25	8.62	1.39
19970613	6.47	6.7	1.33
19970614	0.47	4.58	1.65
19970615	4.56	7.11	1.07
19970616	1.81	9.61	1.01
19970617	3.4	10.82	1.0
19970618	4.97	9.09	0.85
19970619	5.72	10.51	1.04
19970620	2.84	10.81	1.24
19970621	7.2	8.92	1.19
19970622	0.82	7.7	2.28
19970623	0.02	7.07	1.38
19970624	0.21	9.66	0.87
19970625	2.89	6.09	0.74
19970626	12.08	6.28	1.88
19970627	2.62	6.29	2.53
19970628	0.49	8.03	2.15
19970629	0.08	9.83	1.26
19970630	35.32	7.1	1.78
19970701	23.07	7.42	18.69
19970702	0.16	8.22	6.88
19970703	1.1	9.94	2.93
19970704	0.19	11.41	2.03
19970705	0.4	13.6	1.56
19970706	0.07	14.75	1.27
19970707	0.17	14.43	1.08
19970708	0.0	14.26	0.94
19970709	0.0	16.26	0.84
19970710	0.01	15.39	0.76
19970711	0.11	14.67	0.68
19970712	0.48	15.14	0.67
19970713	1.35	12.38	0.69
19970714	0.0	11.4	0.62
19970715	1.56	13.71	0.62
19970716	0.06	12.59	0.6
19970717	0.01	12.16	0.55
