date	precipitation	temperature	discharge_spec
19780412	3.78	-0.68	2.08
19780413	8.96	-0.94	2.06
19780414	0.75	0.42	2.07
19780415	0.03	2.85	2.41
19780416	0.05	4.68	2.41
19780417	0.25	5.8	3.08
19780418	1.15	4.07	3.07
19780419	0.02	6.05	2.73
19780420	1.41	5.44	2.63
19780421	0.01	4.23	3.02
19780422	0.0	8.92	2.48
19780423	1.82	7.24	2.48
19780424	2.6	1.27	2.24
19780425	2.48	1.6	1.98
19780426	4.24	1.57	1.88
19780427	10.58	0.67	1.87
19780428	1.67	1.39	2.76
19780429	1.21	1.45	2.65
19780430	0.05	3.05	2.65
19780501	0.0	3.14	2.43
19780502	0.0	3.6	2.42
19780503	1.65	6.0	2.07
19780504	9.8	6.36	1.92
19780505	1.21	4.53	2.54
19780506	0.0	8.21	2.67
19780507	0.0	8.46	2.67
19780508	0.0	6.08	2.1
19780509	0.0	7.07	1.9
19780510	0.68	13.59	1.8
19780511	4.49	7.93	1.82
19780512	12.78	5.66	1.92
19780513	8.65	4.75	4.63
19780514	0.05	4.99	4.63
19780515	1.66	6.28	4.63
19780516	0.0	7.38	4.63
19780517	0.0	9.77	4.63
19780518	0.25	8.49	4.63
19780519	0.53	7.7	4.63
19780520	0.0	8.69	4.63
19780521	8.07	11.13	4.63
19780522	23.73	7.24	1.55
19780523	1.36	6.61	9.2
19780524	0.01	9.5	2.76
19780525	0.0	14.72	1.9
19780526	1.61	13.98	1.69
19780527	1.65	14.7	1.54
19780528	0.0	14.56	1.54
19780529	0.0	16.33	1.57
19780530	0.0	15.46	1.42
19780531	0.0	17.15	1.33
19780601	0.0	16.75	1.29
19780602	0.0	17.45	1.25
19780603	0.0	13.91	1.24
19780604	2.58	16.36	1.24
19780605	1.17	13.72	1.29
19780606	2.81	12.79	1.17
19780607	0.05	8.12	1.21
19780608	0.45	8.51	1.14
19780609	1.3	7.05	1.12
19780610	2.78	9.25	1.12
19780611	0.05	8.65	1.12
19780612	0.0	5.33	1.04
19780613	0.0	4.48	1.03
19780614	0.0	8.49	1.0
19780615	0.01	7.9	1.0
19780616	0.01	8.67	0.98
19780617	0.0	8.32	0.98
19780618	0.46	11.07	0.98
19780619	0.0	9.17	0.94
19780620	0.44	11.4	0.93
19780621	5.81	8.62	0.92
19780622	2.02	7.35	0.99
19780623	6.57	7.28	0.97
19780624	1.72	8.61	1.08
19780625	0.04	6.45	1.08
19780626	0.21	8.8	0.94
19780627	2.04	12.35	0.89
19780628	0.01	11.9	0.91
19780629	12.9	10.74	0.86
19780630	0.06	8.52	0.98
19780701	1.84	10.66	0.89
19780702	1.83	8.77	0.89
19780703	60.61	7.26	0.85
19780704	24.61	6.24	0.85
19780705	3.53	5.56	0.85
19780706	1.93	6.13	0.85
19780707	0.41	8.58	0.85
19780708	0.1	9.41	2.01
19780709	0.0	10.94	2.01
19780710	0.0	13.36	1.52
19780711	0.0	11.42	1.4
19780712	0.0	11.48	1.39
19780713	0.0	12.8	1.3
19780714	0.0	8.81	1.26
19780715	0.12	10.54	1.24
19780716	0.0	9.59	1.24
19780717	3.43	11.42	1.11
19780718	0.39	11.15	1.14
19780719	5.14	9.25	1.08
19780720	0.4	6.8	1.24
19780721	0.01	10.79	1.1
19780722	0.19	13.39	1.0
19780723	0.18	11.18	1.0
19780724	0.01	11.35	0.98
19780725	2.35	12.39	0.96
19780726	1.9	11.71	0.97
19780727	1.53	14.69	0.97
19780728	0.02	13.27	0.98
19780729	0.0	12.89	0.98
19780730	6.42	12.11	0.98
19780731	0.76	11.07	0.98
19780801	2.78	10.15	0.98
19780802	24.62	13.9	0.98
19780803	1.99	12.72	0.98
19780804	29.71	14.28	0.98
19780805	3.22	11.64	0.98
19780806	3.96	10.07	0.98
19780807	2.59	9.81	0.98
19780808	1.14	8.61	0.98
19780809	0.09	8.17	0.98
19780810	0.03	11.76	0.98
19780811	0.05	11.63	0.98
19780812	3.37	12.23	0.98
19780813	0.15	12.68	0.98
19780814	3.08	11.96	0.99
19780815	14.45	11.24	1.0
19780816	7.89	11.71	1.64
19780817	0.0	11.72	1.9
19780818	0.01	14.93	1.24
19780819	0.05	14.27	1.04
19780820	1.99	15.45	1.04
19780821	7.75	11.46	0.94
19780822	0.01	11.71	1.14
19780823	0.0	12.56	0.92
19780824	0.0	11.39	0.91
19780825	0.0	10.29	0.89
19780826	3.99	11.59	0.89
19780827	1.02	10.23	0.89
19780828	5.87	11.91	0.88
19780829	8.75	8.01	1.06
19780830	11.53	7.08	2.09
19780831	1.14	9.51	2.22
19780901	0.68	7.2	2.3
19780902	8.33	5.36	1.42
19780903	0.17	8.4	1.42
19780904	0.0	7.22	1.39
19780905	3.44	10.86	1.21
19780906	1.27	10.23	1.16
19780907	1.32	11.37	1.24
19780908	0.65	11.6	1.2
19780909	0.54	13.32	1.08
19780910	2.43	10.72	1.08
19780911	8.96	8.58	1.0
19780912	11.76	9.88	1.54
19780913	0.47	10.31	3.49
19780914	10.55	9.75	1.54
19780915	1.2	11.23	2.73
19780916	0.59	10.54	1.61
19780917	0.5	9.54	1.61
19780918	6.27	8.73	1.14
19780919	0.1	10.28	1.42
19780920	0.01	13.5	1.24
19780921	0.62	14.21	1.1
