date	precipitation	temperature	discharge_spec
19701001	13.38	9.99	9.02
19701002	5.62	7.92	9.5
19701003	13.08	10.57	4.31
19701004	8.16	11.08	7.97
19701005	0.15	8.68	7.33
19701006	8.68	6.98	3.32
19701007	4.74	8.14	6.82
19701008	0.04	6.29	2.43
19701009	0.08	8.94	1.42
19701010	0.11	9.5	1.08
19701011	8.93	12.13	1.93
19701012	0.04	10.68	2.14
19701013	0.01	11.81	1.24
19701014	0.0	12.81	0.94
19701015	0.0	9.95	0.79
19701016	0.0	9.77	0.69
19701017	0.16	10.1	0.63
19701018	13.17	8.46	0.88
19701019	3.4	6.32	4.22
19701020	0.0	4.43	1.41
19701021	0.61	6.44	0.79
19701022	0.01	8.35	0.65
19701023	16.28	9.35	1.78
19701024	29.33	9.21	12.76
19701025	3.4	6.94	17.98
19701026	2.05	5.84	3.86
19701027	21.25	7.7	15.73
19701028	3.73	6.88	5.77
19701029	11.34	10.85	4.09
19701030	6.08	8.73	11.51
19701031	19.31	9.56	17.36
19701101	7.45	7.94	4.04
19701102	7.75	9.02	5.59
19701103	2.47	6.3	6.48
19701104	9.21	6.41	4.66
19701105	1.28	5.27	4.81
19701106	0.04	3.58	2.1
19701107	0.87	4.52	1.42
19701108	8.07	7.6	2.29
19701109	0.77	7.15	2.68
19701110	14.3	8.66	3.75
19701111	4.18	4.91	9.95
19701112	0.82	3.47	2.6
19701113	0.24	1.43	1.65
19701114	0.05	2.49	1.22
19701115	19.93	2.9	2.19
19701116	0.88	4.98	11.55
19701117	8.55	3.48	5.08
19701118	1.71	2.91	3.17
19701119	0.6	2.34	2.11
19701120	11.56	3.34	1.83
19701121	3.17	2.92	9.92
19701122	5.52	3.43	2.41
19701123	24.22	7.57	16.74
19701124	1.55	9.68	7.92
19701125	1.61	7.35	3.34
19701126	9.46	8.3	3.86
19701127	15.79	9.05	7.17
19701128	0.75	7.74	11.54
19701129	3.04	6.12	3.02
19701130	1.6	4.94	2.64
19701201	4.2	6.18	3.89
19701202	11.47	4.23	7.35
19701203	8.51	3.56	7.48
19701204	1.64	5.54	4.14
19701205	5.84	5.64	2.73
19701206	8.3	5.15	8.48
19701207	0.07	1.53	3.02
19701208	0.0	4.03	1.8
19701209	0.0	5.5	1.39
19701210	0.0	3.88	1.12
19701211	4.74	5.65	0.96
19701212	5.36	6.03	3.38
19701213	0.3	4.89	2.09
19701214	2.6	4.94	1.27
19701215	1.2	5.92	1.56
19701216	7.47	7.23	3.19
19701217	3.0	7.01	3.32
19701218	0.99	9.68	2.46
19701219	3.63	6.53	1.92
19701220	1.77	2.68	2.18
19701221	0.01	0.72	1.49
19701222	0.0	1.86	1.05
19701223	0.01	4.34	0.94
19701224	0.0	1.71	0.77
19701225	0.0	1.48	0.67
19701226	0.41	1.13	0.62
19701227	0.0	0.26	0.56
19701228	0.01	0.36	0.51
19701229	0.0	0.78	0.48
19701230	0.0	-1.21	0.39
19701231	0.0	-2.9	0.42
19710101	2.64	-0.89	0.43
19710102	0.21	1.29	0.46
19710103	0.0	-0.09	0.45
19710104	0.0	1.17	0.45
19710105	8.02	1.35	0.48
19710106	15.99	6.57	11.59
19710107	0.16	8.16	3.55
19710108	0.6	8.7	1.54
19710109	0.58	9.25	1.22
19710110	0.0	7.36	0.99
19710111	0.0	5.5	0.75
19710112	1.55	3.86	0.63
19710113	1.11	4.37	0.68
19710114	0.0	4.32	0.67
19710115	0.01	2.25	0.6
