date	precipitation	temperature	discharge_spec
19880501	0.98	9.44	1.67
19880502	0.36	9.05	1.13
19880503	2.11	10.2	0.96
19880504	0.4	5.75	1.05
19880505	0.01	8.89	0.85
19880506	0.0	10.27	0.74
19880507	1.19	12.71	0.65
19880508	5.77	9.65	0.96
19880509	0.0	10.39	0.81
19880510	0.03	11.25	0.65
19880511	1.2	11.03	0.59
19880512	2.27	11.73	0.7
19880513	0.18	13.72	0.64
19880514	0.0	14.66	0.53
19880515	0.0	13.03	0.46
19880516	0.0	12.72	0.43
19880517	0.03	7.3	0.42
19880518	0.34	5.03	0.41
19880519	0.06	5.73	0.41
19880520	0.08	6.53	0.4
19880521	0.0	9.38	0.39
19880522	0.03	10.92	0.38
19880523	29.99	12.42	2.85
19880524	12.88	8.18	3.53
19880525	0.07	8.32	1.75
19880526	6.08	8.38	1.03
19880527	0.06	9.55	0.93
19880528	0.04	11.54	0.64
19880529	6.92	9.35	0.76
19880530	2.6	10.78	0.72
19880531	4.89	11.51	0.72
19880601	1.79	10.55	0.69
19880602	7.91	10.96	0.92
19880603	3.3	9.89	1.3
19880604	0.19	9.69	0.78
19880605	0.23	9.36	0.56
19880606	2.43	11.61	0.5
19880607	0.0	13.34	0.5
19880608	0.0	13.57	0.42
19880609	0.0	12.25	0.36
19880610	0.0	13.39	0.33
19880611	0.0	12.14	0.3
19880612	0.0	13.52	0.29
19880613	0.0	16.45	0.27
19880614	0.01	15.97	0.25
19880615	0.0	14.84	0.24
19880616	0.0	15.36	0.24
19880617	0.0	12.86	0.24
19880618	0.0	14.48	0.23
19880619	0.0	15.72	0.22
19880620	0.43	15.59	0.22
19880621	0.72	10.76	0.22
19880622	0.0	13.88	0.22
19880623	0.0	14.54	0.2
19880624	0.01	16.82	0.19
19880625	5.39	16.82	0.18
19880626	0.06	13.64	0.2
19880627	0.0	14.79	0.19
19880628	0.0	14.01	0.18
19880629	0.14	14.43	0.18
19880630	4.34	15.18	0.17
19880701	0.9	12.4	0.17
19880702	0.56	11.04	0.17
19880703	2.13	13.96	0.16
19880704	1.69	12.97	0.16
19880705	5.99	13.91	0.34
19880706	4.17	14.2	0.34
19880707	10.36	11.8	0.4
19880708	4.6	11.21	0.59
19880709	45.21	13.12	8.51
19880710	1.04	13.36	5.19
19880711	2.8	12.19	1.18
19880712	39.09	13.06	10.31
19880713	3.69	13.68	10.74
19880714	0.25	12.07	2.5
19880715	5.7	12.22	1.23
19880716	10.48	11.74	3.41
19880717	3.44	12.27	2.48
19880718	3.67	13.42	2.15
19880719	0.5	11.33	3.58
19880720	6.1	12.97	1.55
19880721	5.27	13.6	1.95
19880722	14.11	14.41	6.15
19880723	4.81	12.63	3.83
19880724	27.7	13.07	9.51
19880725	2.97	12.83	7.82
19880726	5.76	11.47	2.99
19880727	10.35	11.23	2.32
19880728	7.59	9.85	4.97
19880729	10.4	11.35	2.63
19880730	9.34	10.5	6.84
19880731	0.82	10.78	2.95
19880801	0.02	11.51	1.75
19880802	0.32	13.46	1.19
19880803	2.18	12.06	1.05
19880804	0.38	14.76	0.96
19880805	0.09	14.81	0.83
19880806	0.01	13.15	0.74
19880807	0.03	17.27	0.64
19880808	14.58	16.53	1.35
19880809	0.33	14.37	1.57
19880810	11.37	12.18	2.25
19880811	35.64	12.81	10.79
19880812	2.0	12.51	15.24
19880813	41.97	13.31	21.88
19880814	9.13	13.14	19.07
19880815	0.03	11.19	4.63
19880816	0.0	11.5	2.51
19880817	40.19	14.26	9.81
19880818	14.88	12.58	21.94
19880819	7.11	12.64	7.86
19880820	2.09	12.0	4.85
19880821	0.0	9.16	2.79
19880822	0.03	13.21	1.89
19880823	6.68	13.14	1.5
19880824	14.5	11.6	4.69
19880825	5.72	10.24	7.6
19880826	24.96	13.41	11.62
19880827	0.56	11.94	8.63
19880828	4.54	11.72	3.1
19880829	9.43	11.66	3.67
19880830	16.59	10.64	9.39
19880831	20.79	11.77	4.83
19880901	28.35	11.13	31.65
19880902	5.77	10.57	10.18
19880903	4.5	10.99	4.6
19880904	28.23	11.33	12.85
19880905	0.47	13.37	10.06
19880906	15.57	13.56	9.44
19880907	10.79	16.94	6.38
19880908	0.23	12.61	7.32
19880909	1.13	12.23	3.33
19880910	5.8	12.25	3.22
19880911	8.35	11.52	3.49
19880912	1.85	10.46	5.29
19880913	0.01	8.66	2.36
19880914	0.0	7.69	1.66
19880915	0.0	10.87	1.35
19880916	0.03	11.75	1.17
19880917	0.2	10.09	1.0
19880918	0.38	11.9	0.89
19880919	0.06	11.39	0.86
19880920	0.11	11.67	0.8
19880921	6.85	9.98	0.96
19880922	39.45	10.4	6.23
19880923	12.39	8.57	14.81
19880924	1.3	7.84	5.91
19880925	23.73	11.17	10.47
19880926	2.29	11.56	5.07
19880927	8.31	11.21	2.95
