date	precipitation	temperature	discharge_spec
19960930	1.23	7.88	0.52
19961001	0.06	6.98	0.4
19961002	1.8	9.27	0.35
19961003	15.42	8.06	0.38
19961004	3.69	6.02	0.73
19961005	2.91	8.57	0.65
19961006	0.83	11.49	0.53
19961007	2.03	6.38	0.47
19961008	0.79	7.15	0.44
19961009	0.19	6.44	0.46
19961010	0.31	6.66	0.44
19961011	31.18	10.05	0.46
19961012	12.46	10.57	3.61
19961013	0.14	13.23	2.32
19961014	25.36	10.74	1.46
19961015	15.75	6.37	4.26
19961016	13.3	4.97	5.17
19961017	3.52	7.27	3.52
19961018	9.98	9.0	2.83
19961019	1.03	9.21	3.27
19961020	4.8	10.18	2.5
19961021	1.36	6.88	2.34
19961022	0.37	10.96	1.96
19961023	0.06	13.07	1.74
19961024	28.78	11.49	2.07
19961025	7.48	8.03	5.35
19961026	13.29	8.46	3.48
19961027	13.94	9.5	5.45
19961028	9.42	6.23	6.31
19961029	0.99	4.32	4.97
19961030	6.39	8.58	3.55
19961031	2.3	8.55	3.41
19961101	5.91	9.75	2.93
19961102	14.04	10.5	2.99
19961103	8.71	8.21	4.84
19961104	5.26	5.88	5.02
19961105	21.81	5.78	5.3
19961106	11.81	2.35	10.2
19961107	0.39	1.03	6.7
19961108	7.22	3.34	4.67
19961109	0.04	0.44	4.53
19961110	0.07	-1.04	3.4
19961111	10.66	1.97	3.33
19961112	0.02	0.45	4.16
19961113	3.25	3.33	2.9
19961114	0.12	7.79	2.74
19961115	0.52	6.56	2.39
19961116	8.0	4.3	2.22
19961117	0.0	-2.39	2.7
19961118	0.04	-2.78	2.21
19961119	13.16	-0.84	1.98
19961120	0.02	-2.58	1.88
19961121	4.15	-0.78	1.73
19961122	0.47	-2.6	1.92
19961123	0.61	-1.71	1.71
19961124	16.47	0.61	1.67
19961125	0.4	-1.06	2.5
19961126	0.01	-1.75	2.47
19961127	0.16	-1.31	1.89
19961128	15.71	1.68	2.1
19961129	5.79	2.56	5.7
19961130	1.92	3.65	5.63
19961201	14.0	3.87	6.48
19961202	4.65	2.01	8.05
19961203	23.86	0.31	5.79
19961204	2.38	-0.89	5.44
19961205	0.03	-3.58	4.32
19961206	0.08	-2.18	3.32
19961207	4.6	3.34	3.58
19961208	0.75	5.25	8.17
19961209	0.11	4.68	5.96
19961210	0.03	3.32	4.27
19961211	0.16	1.52	3.45
19961212	0.24	-1.11	2.98
19961213	0.59	-1.58	2.57
19961214	1.72	4.2	2.41
19961215	1.25	3.97	2.42
19961216	0.07	3.0	2.17
19961217	9.0	2.46	2.0
19961218	25.55	3.7	6.28
19961219	0.88	1.07	6.64
19961220	0.0	0.16	3.86
19961221	0.0	-1.63	2.98
19961222	0.07	-0.47	2.54
19961223	0.04	-0.8	2.27
19961224	0.01	-2.42	2.05
19961225	0.01	-1.37	1.85
19961226	2.04	-0.15	1.73
19961227	0.6	-0.52	1.64
19961228	0.35	0.37	1.53
19961229	0.83	0.63	1.46
19961230	1.32	-0.76	1.43
19961231	1.69	-1.79	1.36
19970101	0.96	-3.26	1.27
19970102	2.19	-1.07	1.23
19970103	1.16	-1.62	1.2
19970104	0.41	-1.65	1.14
19970105	0.08	-1.55	1.1
19970106	0.66	-0.83	1.06
19970107	0.04	-1.65	1.03
19970108	0.22	-0.92	1.0
19970109	0.24	-0.88	0.98
19970110	0.95	-0.5	0.95
19970111	4.68	4.37	1.2
19970112	1.79	7.95	2.34
19970113	0.5	7.18	1.76
19970114	0.37	6.32	1.5
19970115	0.07	3.5	1.33
19970116	0.18	2.65	1.23
19970117	2.48	2.93	1.19
19970118	1.38	3.1	1.23
19970119	0.14	0.41	1.17
19970120	0.02	-0.5	1.08
19970121	0.01	-0.35	1.04
19970122	0.0	-1.96	1.02
19970123	0.63	1.22	0.98
19970124	1.84	2.43	0.98
