date	precipitation	temperature	discharge_spec
19960930	1.46	7.84	0.48
19961001	0.11	7.33	0.39
19961002	1.41	9.66	0.35
19961003	16.05	8.47	0.53
19961004	4.53	6.42	1.1
19961005	2.09	9.17	0.81
19961006	0.65	12.03	0.52
19961007	1.88	6.87	0.42
19961008	0.78	7.93	0.38
19961009	0.1	6.92	0.4
19961010	0.16	7.2	0.36
19961011	30.72	10.59	0.68
19961012	10.04	10.82	5.39
19961013	0.11	13.66	2.66
19961014	22.43	11.15	1.58
19961015	10.73	6.71	4.39
19961016	9.47	5.53	4.02
19961017	2.69	8.04	3.21
19961018	7.86	9.4	1.99
19961019	0.91	9.73	2.68
19961020	3.98	10.45	1.89
19961021	1.64	7.46	1.77
19961022	0.29	11.25	1.41
19961023	0.08	13.4	1.2
19961024	21.73	11.79	1.32
19961025	5.36	8.47	4.53
19961026	10.91	8.86	2.96
19961027	12.84	9.76	5.57
19961028	8.46	6.54	6.24
19961029	1.26	4.67	4.82
19961030	6.49	8.86	2.98
19961031	1.78	9.04	3.77
19961101	5.43	10.21	2.69
19961102	15.11	10.97	3.77
19961103	7.82	8.72	6.3
19961104	3.37	6.51	4.99
19961105	20.35	6.28	5.71
19961106	13.14	2.79	10.56
19961107	0.28	1.58	7.31
19961108	9.86	3.7	4.93
19961109	0.07	0.97	5.26
19961110	0.08	-0.17	3.06
19961111	6.76	2.15	2.44
19961112	0.01	0.99	3.35
19961113	2.83	3.82	2.23
19961114	0.11	8.13	2.07
19961115	0.8	6.92	1.8
19961116	6.96	4.73	1.69
19961117	0.0	-1.69	2.41
19961118	0.03	-2.06	1.86
19961119	11.39	-0.44	1.55
19961120	0.03	-1.82	1.48
19961121	4.48	0.11	1.43
19961122	0.66	-1.91	1.78
19961123	0.5	-1.13	1.57
19961124	12.87	0.87	1.29
19961125	0.22	-0.78	1.56
19961126	0.0	-1.39	2.94
19961127	0.31	-0.77	2.57
19961128	12.77	2.11	1.62
19961129	6.05	3.05	2.19
19961130	2.44	4.05	6.72
19961201	14.63	4.43	7.14
19961202	4.49	2.41	8.97
19961203	22.01	0.89	6.35
19961204	1.35	-0.35	6.01
19961205	0.04	-3.22	4.48
19961206	0.11	-1.58	2.9
19961207	3.7	4.04	3.79
19961208	0.55	6.05	8.25
19961209	0.12	5.27	5.26
19961210	0.02	4.1	3.54
19961211	0.2	1.89	2.67
19961212	0.27	-0.86	2.22
19961213	0.84	-1.0	1.86
19961214	1.72	4.59	1.75
19961215	1.82	4.49	1.87
19961216	0.13	3.3	1.81
19961217	11.51	2.6	1.64
19961218	26.5	3.8	10.13
19961219	0.63	1.58	9.62
19961220	0.0	0.64	4.15
19961221	0.0	-1.28	2.66
19961222	0.09	-0.5	2.03
19961223	0.1	-0.5	1.72
19961224	0.02	-1.87	1.5
19961225	0.0	-0.78	1.33
19961226	1.98	0.26	1.22
19961227	0.35	-0.37	1.21
19961228	0.27	0.25	1.09
19961229	0.63	0.56	1.04
19961230	1.0	-0.33	1.01
19961231	1.59	-1.35	0.98
19970101	0.76	-2.98	0.89
19970102	1.88	-0.62	0.87
19970103	1.36	-1.3	0.85
19970104	0.4	-1.48	0.81
19970105	0.06	-1.12	0.76
19970106	0.45	-0.54	0.73
19970107	0.04	-1.27	0.72
19970108	0.19	-0.7	0.7
19970109	0.32	-0.46	0.68
19970110	0.84	-0.22	0.66
19970111	5.14	4.83	1.18
19970112	1.36	8.57	3.16
19970113	0.44	7.74	1.99
19970114	0.25	6.94	1.41
19970115	0.04	3.78	1.14
19970116	0.42	3.16	1.0
19970117	2.0	3.45	0.98
19970118	1.31	3.61	1.03
19970119	0.15	0.81	0.96
19970120	0.04	0.1	0.84
19970121	0.01	0.33	0.81
19970122	0.0	-1.5	0.79
19970123	0.66	1.61	0.73
19970124	2.58	2.56	0.87
19970125	0.25	3.24	0.92
19970126	0.05	5.08	0.85
19970127	0.0	1.41	0.77
19970128	0.08	1.48	0.7
19970129	0.01	0.9	0.68
19970130	0.02	-0.21	0.66
19970131	0.03	0.23	0.63
19970201	4.63	2.93	0.67
19970202	0.43	1.85	0.82
19970203	19.91	4.42	2.79
19970204	0.58	0.64	3.98
19970205	2.72	2.14	2.04
19970206	4.63	5.22	2.13
19970207	0.23	3.05	2.06
19970208	11.0	4.87	2.22
19970209	14.23	5.98	3.85
19970210	11.75	3.18	6.82
19970211	7.01	4.61	6.54
19970212	10.48	5.98	9.12
19970213	0.84	2.38	6.84
19970214	0.28	2.19	3.66
19970215	3.55	3.61	2.69
19970216	12.96	4.59	3.3
19970217	31.09	4.72	14.38
19970218	8.04	1.33	13.22
19970219	23.99	4.34	12.12
19970220	17.85	4.49	17.12
19970221	1.08	5.6	12.25
19970222	8.13	6.86	6.0
19970223	7.74	4.58	5.92
19970224	5.84	3.03	6.22
19970225	3.93	3.04	5.05
19970226	8.58	1.86	5.2
19970227	14.65	5.35	8.5
19970228	9.86	4.94	7.22
19970301	12.45	5.61	8.15
19970302	3.28	3.12	8.6
19970303	0.1	2.5	5.04
19970304	0.04	4.74	3.54
19970305	4.15	3.06	3.43
19970306	2.8	4.53	2.81
19970307	5.46	3.67	2.8
19970308	0.02	3.48	2.79
19970309	0.32	5.93	2.1
19970310	0.1	4.85	1.82
19970311	0.02	7.41	1.54
19970312	1.09	6.82	1.34
19970313	5.13	7.84	1.48
19970314	4.19	8.41	2.04
19970315	7.41	8.1	2.15
19970316	1.43	7.57	3.95
19970317	2.95	7.29	3.37
19970318	5.47	5.61	3.01
19970319	0.46	5.22	3.55
19970320	0.01	3.24	2.11
19970321	0.0	4.0	1.67
19970322	9.66	6.22	1.65
19970323	3.69	6.77	2.66
19970324	0.74	7.4	2.31
19970325	4.24	7.76	1.97
19970326	7.66	6.75	2.49
19970327	9.08	3.88	6.05
19970328	0.31	5.29	4.08
19970329	0.02	7.02	2.4
19970330	0.0	6.99	1.85
19970331	0.14	8.2	1.56
19970401	0.03	8.14	1.39
19970402	2.15	6.12	1.25
19970403	1.12	1.84	1.19
19970404	5.5	5.12	1.22
19970405	0.58	7.22	1.74
19970406	0.69	7.66	1.39
19970407	0.14	9.39	1.17
19970408	0.0	7.53	1.06
19970409	0.0	7.22	0.93
19970410	0.0	8.9	0.85
19970411	0.0	4.76	0.79
19970412	0.0	8.67	0.75
19970413	0.08	8.83	0.72
19970414	0.49	9.02	0.7
19970415	0.07	7.18	0.68
19970416	0.0	9.29	0.65
19970417	0.0	8.34	0.62
19970418	1.11	6.58	0.61
19970419	0.0	1.63	0.6
19970420	0.83	5.84	0.57
19970421	0.98	5.0	0.57
19970422	0.01	3.45	0.55
19970423	21.29	7.71	1.34
19970424	0.29	6.58	2.81
19970425	0.03	5.93	1.24
19970426	0.22	6.09	1.24
19970427	6.27	9.79	1.24
19970428	3.21	9.62	1.24
19970429	0.09	7.72	1.24
19970430	0.0	11.87	1.24
19970501	0.0	12.21	1.24
19970502	0.0	12.06	1.24
19970503	15.41	11.72	1.24
19970504	26.09	8.49	1.24
19970505	5.75	1.0	1.24
19970506	0.43	2.63	1.24
19970507	4.08	3.82	1.24
19970508	0.37	2.77	1.24
19970509	1.17	5.48	1.24
19970510	12.33	6.62	1.24
19970511	6.22	6.92	1.24
19970512	8.0	7.29	1.24
19970513	7.36	7.93	1.24
19970514	0.09	8.21	1.24
19970515	0.22	11.45	1.24
19970516	3.09	10.77	1.62
19970517	0.72	10.26	1.49
19970518	1.79	9.35	1.41
19970519	6.29	10.28	1.31
19970520	3.47	7.34	1.76
19970521	0.09	6.36	1.73
19970522	0.0	4.59	1.25
19970523	0.01	5.38	1.03
19970524	0.0	8.98	0.92
19970525	0.03	11.8	0.84
19970526	0.01	11.97	0.78
19970527	0.0	12.98	0.73
19970528	0.0	12.86	0.68
19970529	0.0	14.1	0.65
19970530	0.0	15.07	0.62
19970531	0.0	12.87	0.59
19970601	0.0	11.15	0.57
19970602	0.02	11.54	0.54
19970603	0.0	10.24	0.53
19970604	0.0	13.91	0.51
19970605	5.89	14.91	0.58
19970606	1.54	15.73	0.59
19970607	5.04	14.09	0.55
19970608	1.86	9.35	0.56
19970609	1.02	12.09	0.54
19970610	3.08	15.03	0.5
19970611	14.19	10.73	0.65
19970612	7.64	11.4	0.98
19970613	11.53	9.98	1.09
19970614	0.12	8.66	1.49
19970615	1.69	8.04	1.02
19970616	0.02	10.87	0.82
19970617	0.04	12.78	0.68
19970618	4.51	11.41	0.61
19970619	12.9	10.22	1.03
19970620	4.28	11.51	1.47
19970621	6.38	12.12	1.33
19970622	1.9	10.6	1.7
19970623	0.02	9.95	1.28
19970624	2.85	11.26	0.86
19970625	1.8	9.37	0.76
19970626	2.95	9.44	0.82
19970627	2.07	9.83	0.83
19970628	0.63	11.21	0.73
19970629	0.01	12.37	0.71
19970630	12.11	10.72	0.64
