date	precipitation	temperature	discharge_spec
19981001	0.08	11.65	1.11
19981002	0.0	9.27	1.13
19981003	0.02	9.84	1.1
19981004	0.3	8.42	1.06
19981005	0.2	8.28	1.02
19981006	0.0	8.27	1.0
19981007	0.0	6.67	0.97
19981008	2.87	8.41	0.92
19981009	17.01	10.0	4.32
19981010	4.11	9.12	1.96
19981011	8.73	8.03	2.55
19981012	7.45	10.36	2.35
19981013	8.56	10.74	6.17
19981014	8.71	7.15	4.78
19981015	11.06	7.13	4.29
19981016	25.02	6.5	24.63
19981017	1.5	3.09	8.86
19981018	10.13	5.71	7.43
19981019	0.78	3.7	5.25
19981020	63.4	6.4	44.11
19981021	13.14	12.52	28.02
19981022	44.64	9.65	50.56
19981023	4.64	7.75	16.78
19981024	22.64	8.05	29.9
19981025	1.08	5.87	9.9
19981026	14.98	7.11	8.33
19981027	13.51	5.86	11.99
19981028	3.27	5.97	9.57
19981029	1.74	4.44	6.21
19981030	0.68	4.53	4.34
19981031	0.0	3.52	3.33
19981101	0.12	2.62	2.68
19981102	9.37	3.08	3.42
19981103	0.11	2.95	2.98
19981104	4.56	2.75	2.4
19981105	6.96	3.24	5.52
19981106	0.81	4.36	3.62
19981107	4.66	9.59	3.28
19981108	19.88	11.04	5.77
19981109	7.35	7.02	11.55
19981110	8.97	5.16	8.8
19981111	1.02	6.34	6.6
19981112	5.97	6.25	5.5
19981113	0.02	4.73	4.43
19981114	0.02	4.94	3.25
19981115	0.0	1.43	2.58
19981116	0.0	1.04	2.17
19981117	0.91	0.87	1.96
19981118	3.86	2.43	2.35
19981119	3.65	3.93	2.4
19981120	12.5	7.24	4.88
19981121	20.86	9.02	10.46
19981122	0.32	4.6	10.69
19981123	13.58	5.21	7.98
19981124	2.64	6.59	7.61
19981125	26.71	5.93	11.3
19981126	4.86	5.93	19.24
19981127	27.89	8.06	20.33
19981128	1.13	5.01	16.29
19981129	0.05	5.04	7.83
19981130	1.85	8.17	5.36
19981201	0.23	7.7	4.08
19981202	0.28	6.76	3.28
19981203	0.02	3.47	2.66
19981204	0.37	0.78	2.21
19981205	0.0	-2.57	1.91
19981206	0.27	-2.11	1.7
19981207	8.63	4.83	2.31
19981208	2.44	6.6	4.58
19981209	2.82	7.68	2.91
19981210	7.81	7.02	4.63
19981211	11.64	7.53	6.46
19981212	2.1	6.15	5.06
19981213	16.17	8.77	9.64
19981214	7.55	8.44	9.42
19981215	6.41	5.82	6.72
19981216	0.18	9.45	4.92
19981217	22.61	7.44	10.81
19981218	1.25	3.34	8.34
19981219	0.01	1.17	5.02
19981220	0.38	-0.49	3.54
19981221	2.94	1.57	3.64
19981222	3.06	3.96	3.79
19981223	1.44	2.15	4.7
19981224	29.21	6.37	11.66
19981225	12.1	3.53	12.92
19981226	20.94	4.82	14.94
19981227	0.6	1.23	8.91
19981228	0.06	0.83	5.16
19981229	2.61	5.29	3.89
19981230	1.07	4.85	3.8
19981231	2.1	5.13	2.94
19990101	5.29	5.17	2.99
19990102	18.4	4.47	7.07
19990103	13.02	4.71	5.62
19990104	14.98	5.08	14.46
19990105	10.71	3.3	18.12
19990106	0.92	3.85	7.19
19990107	1.59	1.86	4.74
19990108	0.07	0.81	3.64
19990109	0.0	-0.38	2.72
19990110	0.02	-1.22	2.17
19990111	8.85	0.58	1.87
19990112	0.57	1.62	2.07
19990113	14.85	3.68	9.4
