date	precipitation	temperature	discharge_spec
19960930	3.32	8.08	2.37
19961001	0.69	8.33	0.98
19961002	5.12	9.64	0.62
19961003	26.34	8.89	4.16
19961004	3.45	7.23	5.94
19961005	0.17	9.94	1.52
19961006	1.22	12.96	0.94
19961007	1.04	7.62	0.81
19961008	2.19	8.66	0.74
19961009	0.15	7.19	0.68
19961010	0.5	8.19	0.59
19961011	38.23	11.12	5.66
19961012	18.53	11.21	22.17
19961013	0.35	13.82	4.05
19961014	23.5	11.34	6.48
19961015	11.45	7.42	12.1
19961016	4.55	6.54	6.47
19961017	4.9	8.9	3.12
19961018	7.83	9.32	4.8
19961019	1.63	9.9	3.43
19961020	6.51	10.85	3.09
19961021	2.92	8.27	2.37
19961022	0.14	11.38	1.89
19961023	1.25	13.68	1.45
19961024	11.35	12.55	2.71
19961025	6.19	9.09	4.18
19961026	23.67	9.5	8.47
19961027	28.8	9.86	18.63
19961028	29.98	6.36	34.97
19961029	0.84	5.73	6.35
19961030	13.07	9.52	3.8
19961031	1.45	9.51	9.05
19961101	11.79	10.53	4.82
19961102	26.13	10.96	14.88
19961103	19.64	9.12	14.47
19961104	4.17	6.84	17.57
19961105	27.79	6.62	18.01
19961106	13.44	3.59	16.95
19961107	0.2	2.48	6.57
19961108	10.23	3.71	5.65
19961109	0.05	2.16	4.97
19961110	0.04	1.27	2.75
19961111	0.03	2.42	2.01
19961112	0.01	2.76	1.59
19961113	2.12	5.93	1.42
19961114	0.39	9.45	1.38
19961115	1.9	8.19	1.2
19961116	6.05	4.95	1.54
19961117	0.0	-0.38	2.41
19961118	0.02	-1.45	1.41
19961119	1.26	0.64	1.2
19961120	1.13	0.54	1.05
19961121	16.62	0.99	3.88
19961122	0.24	-0.43	2.65
19961123	0.65	0.44	1.59
19961124	17.35	1.43	2.6
19961125	0.01	0.38	2.83
19961126	0.11	-0.19	1.77
19961127	0.15	0.69	1.37
19961128	15.1	2.78	7.97
19961129	8.49	4.15	10.61
19961130	4.11	5.06	6.7
19961201	18.56	5.22	13.1
19961202	3.54	2.82	9.51
19961203	8.02	1.93	4.62
19961204	0.01	1.56	3.07
19961205	0.0	-2.37	2.07
19961206	1.38	-0.75	1.54
19961207	5.36	5.33	2.57
19961208	1.34	7.59	3.84
19961209	0.65	6.64	2.12
19961210	0.71	5.14	1.58
19961211	0.01	2.51	1.33
19961212	0.01	0.16	1.18
19961213	1.93	1.02	1.03
19961214	1.45	5.64	1.18
19961215	2.11	5.14	1.23
19961216	1.68	3.94	1.45
19961217	14.98	2.8	1.29
19961218	23.58	3.83	15.12
19961219	0.66	2.17	8.27
19961220	0.0	1.5	2.86
19961221	0.0	-0.39	1.84
19961222	0.04	0.08	1.46
19961223	0.21	0.8	1.28
19961224	0.06	-0.21	1.17
19961225	0.02	0.99	1.05
19961226	5.25	1.04	1.18
19961227	0.16	-0.03	1.29
19961228	0.75	0.53	1.01
19961229	0.15	0.89	0.95
19961230	0.17	0.96	0.89
19961231	0.36	-0.7	0.81
19970101	0.69	-1.52	0.75
19970102	1.54	0.34	0.75
19970103	0.64	-0.47	0.75
19970104	0.2	-0.58	0.71
19970105	0.07	-0.4	0.68
19970106	0.01	-0.19	0.66
19970107	0.0	-0.64	0.64
19970108	0.0	-0.24	0.61
19970109	0.02	0.2	0.6
19970110	0.91	0.14	0.6
19970111	16.19	5.2	2.38
19970112	2.56	9.36	6.34
19970113	1.41	8.76	2.37
19970114	1.12	8.0	1.65
19970115	0.11	4.53	1.32
19970116	0.49	3.58	1.12
19970117	8.65	3.89	2.59
19970118	7.41	4.8	3.48
19970119	0.13	1.53	2.19
19970120	0.03	0.26	1.4
19970121	0.02	1.37	1.19
19970122	0.0	-0.8	1.09
19970123	2.06	2.39	0.96
19970124	2.19	2.38	1.35
19970125	0.56	1.93	1.15
19970126	0.53	4.94	1.04
19970127	0.01	2.82	0.96
19970128	0.01	3.21	0.87
19970129	0.01	1.61	0.83
19970130	0.02	0.8	0.78
19970131	0.04	0.69	0.73
19970201	7.1	3.43	0.83
19970202	1.22	2.28	1.42
19970203	17.62	4.37	8.76
19970204	0.03	1.05	3.43
19970205	4.2	2.38	1.77
19970206	4.13	5.53	3.07
19970207	1.72	3.29	2.33
19970208	18.19	5.54	7.79
19970209	16.54	6.74	8.22
19970210	23.66	3.73	16.78
19970211	11.53	4.51	11.92
19970212	20.5	5.59	25.31
19970213	1.31	3.03	5.99
19970214	0.06	2.69	3.19
19970215	5.62	4.12	2.3
19970216	12.68	5.32	5.79
19970217	31.27	5.31	29.76
19970218	20.81	1.69	9.95
19970219	27.79	4.65	30.59
19970220	27.24	4.62	24.73
19970221	2.22	5.88	10.03
19970222	5.74	6.93	4.54
19970223	12.29	5.01	8.91
19970224	6.64	3.7	8.19
19970225	1.71	3.39	5.54
19970226	3.17	1.95	3.07
19970227	19.45	5.98	12.27
19970228	13.76	5.67	6.9
19970301	23.81	5.41	27.57
19970302	5.4	4.04	10.25
19970303	1.23	3.41	4.96
19970304	0.51	5.23	3.11
