date	precipitation	temperature	discharge_spec
20090401	0.0	7.3	1.1
20090402	0.0	9.07	0.92
20090403	13.11	9.9	0.9
20090404	5.59	6.0	9.1
20090405	0.02	7.86	2.21
20090406	6.49	6.53	1.7
20090407	31.47	6.04	23.14
20090408	5.78	7.33	9.99
20090409	5.55	8.5	6.98
20090410	1.5	5.99	5.22
20090411	0.35	6.71	2.92
20090412	0.01	7.64	2.06
20090413	0.12	9.37	1.53
20090414	2.42	8.17	1.46
20090415	0.05	9.67	1.28
20090416	0.0	9.63	1.04
20090417	0.0	7.38	0.85
20090418	0.0	6.73	0.73
20090419	0.0	8.81	0.64
20090420	3.57	10.99	0.58
20090421	0.26	6.85	0.61
20090422	12.75	9.57	0.68
20090423	6.23	10.28	3.07
20090424	4.95	9.44	3.08
20090425	6.14	11.03	3.99
20090426	12.57	7.13	4.04
20090427	5.33	7.03	5.97
20090428	1.79	10.26	2.44
20090429	9.77	8.76	5.32
20090430	14.5	7.98	11.4
20090501	4.61	8.71	11.07
20090502	2.15	8.26	2.72
20090503	7.05	7.99	2.46
20090504	8.5	8.6	5.75
20090505	13.33	7.61	16.12
20090506	7.41	7.93	8.05
20090507	11.15	6.9	5.7
20090508	3.79	7.84	7.62
20090509	4.32	6.3	5.66
20090510	0.22	7.85	2.7
20090511	0.0	9.48	1.72
20090512	0.0	9.7	1.26
20090513	0.03	11.58	0.99
20090514	0.38	10.85	0.86
20090515	3.22	9.08	0.77
20090516	7.18	9.64	1.59
20090517	15.06	10.09	2.84
20090518	9.52	9.45	9.5
20090519	2.33	10.08	3.27
20090520	1.9	8.83	1.95
20090521	0.75	8.74	1.34
20090522	0.21	11.99	1.05
20090523	3.8	8.5	1.08
20090524	0.94	11.78	1.03
20090525	7.67	9.24	1.2
20090526	4.03	9.13	1.49
20090527	2.76	11.47	1.69
20090528	0.12	12.71	2.25
20090529	0.0	15.54	1.4
20090530	0.0	14.68	0.97
20090531	0.0	16.12	0.74
20090601	0.0	16.67	0.61
20090602	0.0	15.82	0.52
20090603	0.0	11.45	0.47
20090604	0.24	10.44	0.43
20090605	4.33	8.54	0.4
20090606	0.12	9.31	0.38
20090607	0.01	9.5	0.35
20090608	0.0	10.26	0.32
20090609	0.3	9.28	0.3
20090610	0.0	9.75	0.29
20090611	0.0	8.12	0.26
20090612	1.26	12.39	0.25
20090613	0.4	12.9	0.26
20090614	7.69	13.54	0.29
20090615	2.32	12.8	0.46
20090616	24.32	13.79	0.64
20090617	6.08	11.1	8.92
20090618	7.92	10.64	2.33
20090619	5.0	11.08	3.24
20090620	1.9	11.59	3.09
20090621	2.59	12.28	1.9
20090622	0.1	13.18	1.81
20090623	0.0	17.27	1.24
20090624	0.0	16.9	0.83
20090625	0.0	15.82	0.59
20090626	0.22	18.47	0.44
20090627	0.02	16.69	0.38
20090628	0.42	16.72	0.33
20090629	0.13	18.93	0.28
20090630	0.21	18.89	0.23
20090701	4.81	17.75	0.22
20090702	23.11	19.02	0.36
20090703	10.24	15.51	2.87
20090704	0.61	14.87	1.55
20090705	0.62	15.11	0.94
20090706	4.41	14.71	0.87
20090707	0.02	13.43	0.77
20090708	0.0	12.33	0.51
20090709	0.0	10.78	0.37
20090710	0.0	11.36	0.3
20090711	24.66	16.18	2.16
20090712	1.84	13.18	3.5
20090713	9.99	14.6	3.04
20090714	1.77	14.61	2.71
20090715	0.35	13.43	2.67
20090716	0.37	14.13	2.55
20090717	2.08	14.27	1.75
20090718	0.79	13.22	1.11
20090719	0.98	12.94	0.91
20090720	3.3	13.4	0.81
20090721	14.56	13.79	5.57
20090722	3.46	15.16	2.68
20090723	3.61	14.03	1.38
20090724	0.13	11.91	1.04
20090725	14.5	14.71	0.81
20090726	3.17	14.74	4.34
20090727	1.17	12.96	2.16
20090728	3.06	13.57	1.95
20090729	0.69	12.98	1.55
20090730	0.24	12.12	1.2
20090731	14.54	13.46	11.89
20090801	5.74	13.77	9.62
20090802	0.38	13.99	3.64
20090803	4.15	14.21	6.59
20090804	1.01	14.96	6.89
20090805	4.9	14.97	2.99
20090806	1.85	13.97	3.21
20090807	4.33	14.25	1.7
20090808	1.15	13.61	1.63
20090809	15.93	15.28	1.98
20090810	0.16	14.41	3.99
20090811	7.99	13.48	3.25
20090812	1.57	12.74	2.71
20090813	1.36	13.52	1.75
20090814	45.57	13.97	26.17
20090815	2.69	14.19	12.05
20090816	9.13	13.37	3.91
20090817	1.04	13.61	4.38
20090818	12.35	14.71	3.82
20090819	47.98	14.82	23.32
20090820	6.88	12.6	20.79
20090821	8.49	12.83	6.92
20090822	28.8	13.81	10.61
20090823	13.11	11.99	20.5
20090824	1.92	13.26	3.75
20090825	14.52	13.4	2.2
20090826	3.93	13.8	22.33
20090827	7.55	11.98	5.2
20090828	1.9	12.03	4.89
20090829	10.73	11.88	2.35
20090830	22.64	13.73	7.47
20090831	8.02	12.55	11.23
20090901	5.9	12.23	5.95
20090902	11.21	12.16	6.49
20090903	3.09	11.72	5.35
20090904	4.27	12.48	2.68
20090905	1.74	11.96	5.35
20090906	12.58	12.58	11.67
20090907	15.93	14.08	10.41
20090908	2.65	13.04	12.99
20090909	0.07	11.55	2.63
20090910	0.04	11.13	1.71
