date	precipitation	temperature	discharge_spec
20021001	0.07	11.3	0.67
20021002	11.68	9.75	1.74
20021003	9.14	6.17	2.82
20021004	21.23	8.85	10.64
20021005	0.01	9.07	3.61
20021006	0.32	7.72	1.72
20021007	1.05	7.96	1.29
20021008	0.0	8.12	1.16
20021009	0.0	7.4	0.94
20021010	0.34	7.36	0.85
20021011	20.69	5.79	4.27
20021012	8.16	3.16	6.88
20021013	3.7	4.08	3.33
20021014	0.25	4.02	2.79
20021015	0.03	2.33	1.75
20021016	0.02	2.18	1.35
20021017	0.69	1.62	1.17
20021018	0.2	0.21	1.04
20021019	1.04	-1.55	1.01
20021020	4.31	-1.49	0.95
20021021	34.33	0.88	3.44
20021022	17.15	0.88	11.12
20021023	23.62	-0.6	6.91
20021024	16.72	1.77	7.42
20021025	11.78	0.71	10.15
20021026	23.0	1.81	9.48
20021027	13.72	1.8	11.34
20021028	8.51	1.42	8.43
20021029	0.04	0.01	4.26
20021030	0.81	1.7	3.62
20021031	0.79	4.08	4.51
20021101	5.61	6.38	12.39
20021102	8.06	6.37	17.09
20021103	27.92	5.2	23.92
20021104	8.01	6.1	13.32
20021105	16.07	6.88	15.63
20021106	21.98	3.03	17.69
20021107	18.99	4.03	16.89
20021108	0.02	2.89	8.38
20021109	8.33	3.04	4.19
20021110	29.73	4.71	21.17
20021111	34.42	1.89	24.67
20021112	2.96	1.01	9.53
20021113	5.48	2.78	9.61
20021114	0.63	3.58	6.29
20021115	0.98	1.92	3.67
20021116	0.88	-1.1	3.05
20021117	0.04	-0.3	2.35
20021118	0.1	2.5	2.19
20021119	0.3	2.86	1.89
20021120	1.15	4.41	1.91
20021121	25.66	5.05	10.1
20021122	6.05	4.95	6.85
20021123	1.47	3.78	4.16
20021124	0.71	3.82	3.05
20021125	1.73	3.22	2.56
20021126	8.59	5.52	4.95
20021127	11.99	6.06	14.11
20021128	3.12	3.08	7.03
20021129	6.99	3.58	4.81
20021130	10.57	2.66	8.85
20021201	7.17	2.78	9.0
20021202	0.36	2.6	4.74
20021203	13.6	2.51	6.85
20021204	3.18	0.93	7.99
20021205	0.04	1.52	3.72
20021206	0.44	1.54	2.89
20021207	0.05	0.77	2.43
20021208	0.02	0.7	1.98
20021209	0.01	0.47	1.63
20021210	0.0	-0.35	1.43
20021211	0.0	-0.11	1.28
20021212	0.0	-1.04	1.19
20021213	0.03	-0.29	1.15
20021214	0.01	0.11	1.15
20021215	0.0	-1.22	1.07
20021216	0.0	-2.86	1.01
20021217	0.01	-2.42	0.94
20021218	0.0	-1.0	0.95
20021219	0.0	-2.2	1.03
20021220	0.17	-0.81	0.95
20021221	1.59	2.11	0.92
20021222	3.38	4.96	1.03
20021223	19.46	6.59	9.09
20021224	15.36	6.36	9.78
20021225	0.29	2.72	6.31
20021226	0.77	3.56	3.02
20021227	0.15	3.0	2.3
20021228	0.77	2.73	3.02
20021229	0.06	1.7	2.09
20021230	0.0	-1.3	1.52
20021231	0.17	-1.28	1.23
20030101	1.31	-0.09	1.22
20030102	0.03	-3.89	1.19
20030103	0.01	-5.08	0.95
20030104	0.01	-5.15	1.29
20030105	0.0	-5.41	1.18
20030106	0.01	-5.61	1.14
20030107	0.0	-4.79	0.76
20030108	0.01	-3.22	0.81
20030109	0.0	-2.67	0.87
20030110	0.0	-4.35	0.71
20030111	6.72	-0.34	0.84
20030112	30.49	5.15	18.88
20030113	56.52	6.47	46.38
20030114	44.41	4.88	42.46
20030115	15.2	3.31	15.02
20030116	27.68	5.28	29.68
20030117	13.19	1.48	19.23
20030118	11.25	1.59	10.57
20030119	1.82	-0.33	6.69
20030120	12.68	0.58	7.74
20030121	4.27	0.26	4.48
20030122	1.88	-1.96	4.25
20030123	7.71	2.18	5.18
20030124	54.54	5.21	58.39
20030125	19.9	5.92	19.59
20030126	21.5	8.54	28.78
20030127	18.4	3.67	25.68
20030128	11.55	-0.44	9.98
20030129	1.53	-2.84	5.13
20030130	0.45	-5.33	3.37
20030131	13.05	-2.22	3.61
20030201	27.04	-1.18	6.68
20030202	8.69	-3.12	4.36
20030203	5.37	-3.83	2.91
20030204	3.03	-5.13	2.31
20030205	5.09	-2.61	1.98
20030206	13.33	4.1	17.95
20030207	2.93	5.38	13.0
20030208	21.64	3.07	29.53
20030209	0.72	-0.44	7.3
20030210	36.23	3.95	16.56
20030211	1.84	1.33	10.07
20030212	0.18	1.21	4.81
20030213	0.03	-1.37	3.41
20030214	0.0	-2.72	2.47
20030215	0.0	-1.0	1.94
20030216	0.0	-0.74	1.92
20030217	0.0	-0.22	1.5
20030218	0.0	-0.58	1.18
20030219	0.0	-0.28	1.23
20030220	0.0	0.07	1.18
20030221	0.0	1.29	1.17
20030222	0.21	2.35	1.16
20030223	4.88	1.95	1.77
20030224	0.02	3.75	1.61
20030225	0.0	5.04	1.78
20030226	0.0	4.32	1.44
20030227	0.45	4.91	1.56
20030228	11.72	3.64	4.81
20030301	7.82	2.4	4.04
20030302	5.57	2.22	3.9
20030303	1.33	3.92	2.78
20030304	20.15	5.33	15.88
20030305	18.02	2.69	8.89
20030306	11.3	3.24	8.21
20030307	10.09	2.48	9.79
20030308	33.46	4.67	18.52
20030309	21.72	5.56	31.51
20030310	26.71	3.7	13.01
20030311	4.09	1.46	12.88
20030312	0.01	-0.0	4.43
20030313	0.0	1.03	3.03
20030314	0.0	2.57	2.35
20030315	0.18	3.46	1.93
20030316	0.0	4.27	1.7
20030317	0.01	5.27	1.54
20030318	0.0	6.93	1.43
20030319	1.43	4.98	1.34
20030320	0.16	4.32	1.35
20030321	0.0	4.23	1.27
20030322	0.0	4.32	1.28
20030323	0.0	4.88	1.17
20030324	0.0	6.03	1.09
20030325	0.0	4.51	1.14
20030326	0.64	5.19	1.05
20030327	0.19	5.06	1.05
20030328	0.78	5.23	1.06
20030329	1.77	3.37	1.09
20030330	0.03	1.16	1.09
20030331	35.65	2.83	5.74
