date	precipitation	temperature	discharge_spec
20090301	8.31	4.56	13.14
20090302	16.71	3.94	12.89
20090303	16.61	0.77	12.92
20090304	7.72	0.27	12.12
20090305	2.88	1.39	11.14
20090306	5.74	4.77	10.68
20090307	22.0	3.29	12.59
20090308	23.31	2.43	13.32
20090309	4.37	1.87	13.65
20090310	2.02	3.75	12.71
20090311	21.22	7.62	13.1
20090312	2.94	5.41	13.84
20090313	15.29	7.69	12.97
20090314	6.95	6.72	13.81
20090315	17.12	7.84	13.29
20090316	3.31	3.67	14.39
20090317	0.01	6.46	13.45
20090318	0.0	7.4	11.89
20090319	0.0	9.45	10.58
20090320	0.32	8.12	9.28
20090321	0.91	7.61	7.85
20090322	18.07	4.82	7.2
20090323	3.99	2.47	8.44
20090324	16.69	5.51	9.29
20090325	16.5	5.42	10.37
20090326	20.65	3.64	11.54
20090327	8.75	3.14	13.09
20090328	1.56	0.99	12.51
20090329	5.48	5.46	11.26
20090330	5.6	8.0	10.68
20090331	0.06	8.97	10.11
20090401	0.0	8.27	8.99
20090402	0.0	10.16	7.87
20090403	7.04	10.59	6.89
20090404	17.34	6.64	7.04
20090405	0.0	6.87	7.21
20090406	8.72	7.06	6.61
20090407	25.51	5.21	6.7
20090408	7.16	5.88	8.15
20090409	26.0	9.05	8.82
20090410	2.04	6.42	10.31
20090411	0.13	6.29	9.55
20090412	0.08	8.02	8.42
20090413	0.0	9.45	7.5
20090414	0.0	9.14	6.48
20090415	0.0	11.33	5.8
20090416	0.0	9.57	5.17
20090417	0.0	7.54	4.54
20090418	0.0	6.22	3.91
20090419	0.0	9.93	3.51
20090420	11.46	11.02	3.14
20090421	2.99	6.05	3.12
20090422	12.51	10.79	3.17
20090423	16.48	9.76	3.32
20090424	9.1	8.71	4.17
20090425	4.37	10.69	4.52
20090426	21.01	7.03	4.67
20090427	3.41	7.97	5.96
20090428	0.01	10.56	5.9
20090429	10.65	10.62	5.47
20090430	14.29	7.3	5.76
20090501	13.32	7.87	6.61
20090502	9.16	6.58	6.61
20090503	14.07	7.38	6.6
20090504	9.01	7.78	7.88
20090505	16.47	5.44	9.5
20090506	30.42	6.64	12.03
20090507	22.0	5.36	13.34
20090508	17.63	6.41	13.93
20090509	6.39	6.62	14.28
20090510	0.0	7.64	13.36
20090511	0.0	10.0	11.91
20090512	0.0	10.56	10.67
20090513	0.0	11.81	9.47
20090514	0.03	11.94	8.21
20090515	2.63	9.16	7.13
20090516	5.35	9.71	6.26
20090517	0.01	10.35	5.5
20090518	7.73	9.68	4.87
20090519	1.76	10.64	4.39
20090520	8.88	9.68	4.02
20090521	10.16	9.45	4.31
20090522	0.91	10.83	4.67
20090523	10.88	9.18	4.78
20090524	9.5	10.81	4.86
20090525	4.55	7.96	5.35
20090526	14.37	8.52	5.41
20090527	6.68	10.41	6.01
20090528	1.0	12.36	6.31
20090529	0.0	18.87	6.15
20090530	0.0	15.18	5.48
20090531	0.0	16.1	4.85
20090601	0.0	16.74	4.31
20090602	0.0	14.24	3.82
20090603	0.0	11.23	3.47
20090604	0.02	9.77	3.14
20090605	3.83	8.05	2.92
20090606	0.02	8.05	2.72
20090607	0.05	9.0	2.38
20090608	0.04	9.19	2.15
20090609	0.04	8.83	1.88
20090610	0.1	7.95	1.72
20090611	0.14	7.09	1.59
20090612	3.2	12.38	1.5
20090613	4.57	11.25	1.5
20090614	3.85	13.04	1.44
20090615	9.77	13.07	1.44
20090616	17.63	14.13	1.44
20090617	20.1	10.55	1.89
20090618	24.82	9.73	2.96
20090619	13.11	9.75	4.53
20090620	1.13	11.45	5.18
20090621	3.79	13.09	5.05
20090622	1.16	13.38	4.83
20090623	0.0	17.05	4.55
20090624	0.0	17.47	4.18
20090625	0.0	16.47	3.83
20090626	0.03	19.58	3.43
20090627	0.0	17.01	3.06
20090628	0.0	17.48	2.73
20090629	0.01	19.77	2.45
20090630	0.01	20.16	2.2
20090701	1.43	20.02	2.01
20090702	5.94	19.87	1.86
20090703	24.48	16.36	1.9
20090704	4.51	15.9	1.88
20090705	0.54	14.65	1.73
20090706	15.51	14.24	1.74
20090707	0.38	12.09	1.81
20090708	0.01	11.68	1.72
20090709	0.01	9.4	1.62
20090710	0.0	11.59	1.5
20090711	2.93	16.31	1.56
20090712	4.61	11.53	1.39
20090713	13.51	14.51	1.37
20090714	3.28	13.01	1.48
20090715	2.98	13.34	1.54
20090716	1.96	13.62	1.54
20090717	6.4	14.02	1.51
20090718	7.64	12.67	1.47
20090719	11.38	11.89	1.74
20090720	2.01	13.02	2.16
20090721	11.62	14.29	2.41
20090722	7.6	14.24	2.92
20090723	2.37	13.18	3.27
20090724	0.22	10.03	3.12
20090725	11.79	14.08	3.0
20090726	20.39	14.03	3.37
20090727	3.02	12.64	4.51
20090728	10.16	12.99	4.55
20090729	3.91	12.36	4.45
20090730	2.14	11.99	4.17
20090731	20.51	13.86	4.23
20090801	20.34	14.13	4.88
20090802	1.06	12.19	6.12
20090803	2.77	16.1	5.91
20090804	5.06	15.91	5.46
20090805	1.32	14.3	5.06
20090806	0.74	13.88	4.52
20090807	0.62	13.27	4.02
20090808	0.58	13.34	3.59
20090809	8.14	14.39	3.27
20090810	0.18	13.27	3.06
20090811	6.78	13.2	2.96
20090812	3.31	12.49	3.17
20090813	2.34	13.32	3.18
20090814	38.73	12.75	4.88
20090815	16.5	13.14	6.97
20090816	7.61	12.29	8.45
20090817	0.28	13.22	8.25
20090818	27.84	14.9	7.68
20090819	39.65	13.88	10.48
20090820	15.85	12.13	13.88
20090821	17.79	11.67	14.37
20090822	11.95	13.01	14.24
20090823	26.66	12.33	15.0
20090824	5.88	12.62	14.74
20090825	12.63	11.92	14.16
20090826	8.13	12.1	13.58
20090827	32.28	10.75	13.5
20090828	16.6	11.16	15.52
20090829	5.68	10.98	15.47
20090830	15.89	12.86	14.37
20090831	15.35	11.85	14.77
20090901	13.07	10.49	15.1
20090902	5.91	11.47	14.41
20090903	13.87	10.36	13.35
20090904	17.3	11.16	12.79
