date	precipitation	temperature	discharge_spec
19770801	12.45	15.22	3.08
19770802	6.14	10.63	3.64
19770803	3.53	9.68	3.04
19770804	18.41	8.65	3.11
19770805	1.71	8.62	3.08
19770806	0.0	9.46	2.81
19770807	1.18	11.49	2.61
19770808	0.04	12.01	2.49
19770809	0.0	13.03	2.38
19770810	0.0	14.33	2.3
19770811	0.0	15.75	2.22
19770812	0.0	15.48	2.14
19770813	0.0	16.21	2.06
19770814	0.0	14.72	1.99
19770815	0.25	15.51	1.93
19770816	0.0	14.32	1.85
19770817	0.0	11.35	1.78
19770818	0.0	10.34	1.74
19770819	0.0	11.49	1.69
19770820	0.16	13.05	1.61
19770821	0.0	12.57	1.55
19770822	0.36	13.37	1.5
19770823	0.01	12.1	1.46
19770824	10.73	12.38	1.43
19770825	17.57	10.88	1.51
19770826	2.37	7.23	1.64
19770827	0.97	8.85	1.68
19770828	7.84	11.91	1.7
19770829	2.35	10.86	1.86
19770830	9.61	9.66	1.84
19770831	2.11	10.47	1.92
19770901	5.92	11.38	1.9
19770902	6.53	10.11	1.89
19770903	4.51	10.63	1.93
19770904	8.37	10.32	1.96
19770905	16.18	9.86	2.19
19770906	6.24	8.24	2.85
19770907	7.11	8.48	2.72
19770908	6.94	7.12	2.58
19770909	14.38	8.25	2.79
19770910	5.8	9.74	3.27
19770911	25.07	9.93	4.82
19770912	0.75	9.54	4.14
19770913	5.99	10.72	3.49
19770914	7.68	10.4	5.14
19770915	0.06	6.72	5.16
19770916	0.03	7.0	4.23
19770917	0.0	6.74	3.87
19770918	0.0	8.52	3.64
19770919	0.0	7.02	3.46
19770920	0.0	7.88	3.3
19770921	0.0	8.06	3.17
19770922	0.0	7.67	3.03
19770923	0.0	6.9	2.87
19770924	0.12	11.91	2.77
19770925	2.46	12.0	2.65
19770926	3.2	10.01	2.59
19770927	8.91	10.15	2.55
19770928	13.98	8.07	2.67
19770929	32.04	9.21	5.07
19770930	21.09	6.24	5.84
19771001	16.81	6.09	5.95
19771002	3.22	7.12	6.15
19771003	9.05	7.3	14.11
19771004	3.24	5.39	13.29
19771005	3.9	5.98	11.32
19771006	0.5	7.75	9.61
19771007	3.96	7.77	8.38
19771008	0.02	8.35	7.39
19771009	0.39	8.18	6.45
19771010	0.61	5.31	5.52
19771011	12.77	8.0	4.98
19771012	10.11	9.75	5.02
19771013	0.35	9.82	5.25
19771014	0.3	11.48	4.51
19771015	0.0	12.78	3.93
19771016	0.0	12.24	3.43
19771017	0.0	12.08	3.07
19771018	0.1	12.41	2.74
19771019	2.8	12.55	2.47
19771020	3.07	11.3	2.33
19771021	0.04	13.56	2.18
19771022	1.65	10.64	2.0
19771023	7.98	9.28	1.87
19771024	4.2	10.86	2.22
19771025	7.07	11.25	2.54
19771026	3.05	10.1	2.74
19771027	20.69	8.65	3.12
19771028	24.65	9.16	7.28
19771029	5.07	9.55	7.38
19771030	5.13	9.26	6.93
19771031	8.62	5.31	6.71
19771101	6.09	4.42	6.67
19771102	0.86	5.59	5.82
19771103	32.9	4.58	5.94
19771104	7.94	3.59	10.5
19771105	15.24	4.94	9.54
19771106	5.33	8.14	9.31
19771107	11.8	5.19	8.94
19771108	20.87	5.2	10.66
19771109	9.75	7.64	10.16
19771110	11.59	9.02	8.9
19771111	31.95	4.0	10.14
19771112	7.95	2.4	11.8
19771113	16.82	4.49	10.15
19771114	35.79	2.66	11.54
19771115	9.83	2.58	14.89
19771116	11.62	1.29	12.42
19771117	9.0	1.58	11.38
19771118	35.97	3.75	11.85
19771119	27.09	2.44	20.09
19771120	13.22	-1.35	16.22
19771121	13.34	2.32	13.87
19771122	22.88	5.3	15.87
19771123	24.18	1.86	18.9
19771124	6.05	1.28	16.89
19771125	0.03	0.1	13.88
19771126	0.0	-1.66	11.49
19771127	0.0	-1.09	9.63
19771128	0.04	2.44	8.26
19771129	1.82	3.94	7.5
19771130	0.18	1.19	6.85
19771201	0.0	0.18	5.88
19771202	0.0	1.31	5.02
19771203	0.0	4.03	4.34
19771204	0.0	4.14	3.79
19771205	0.06	3.36	3.29
19771206	1.94	1.35	2.91
19771207	0.63	-1.0	2.52
19771208	0.63	1.52	2.24
19771209	0.3	4.4	2.06
19771210	1.88	6.35	1.91
19771211	4.67	3.38	1.88
19771212	1.37	5.87	1.9
19771213	3.25	7.65	1.93
19771214	0.22	7.66	2.13
19771215	0.03	5.2	2.16
19771216	5.13	5.55	2.06
19771217	0.08	0.31	2.3
19771218	2.07	2.88	2.17
19771219	3.01	5.95	2.36
19771220	0.08	4.3	2.36
19771221	0.16	3.14	2.23
19771222	3.73	5.15	1.99
19771223	4.26	4.44	1.89
19771224	4.13	5.72	2.17
19771225	2.67	5.87	2.77
19771226	3.67	3.19	3.31
19771227	6.45	1.24	3.29
19771228	9.8	3.29	3.35
19771229	7.7	1.97	4.56
19771230	4.17	2.54	4.26
19771231	12.67	5.75	4.53
19780101	7.8	3.11	6.04
19780102	16.55	1.09	5.8
19780103	0.09	-4.05	5.36
19780104	23.61	1.06	5.77
19780105	3.12	7.12	9.95
19780106	2.38	6.41	8.31
19780107	0.88	5.39	7.27
19780108	7.71	3.88	6.51
19780109	7.26	-0.36	6.15
19780110	11.91	-2.54	5.42
19780111	3.95	-1.72	4.81
19780112	9.31	2.19	5.36
19780113	3.9	6.57	9.29
19780114	1.51	5.68	8.6
19780115	5.26	2.45	7.55
19780116	0.65	-2.73	6.9
19780117	11.09	-1.44	6.09
19780118	2.96	-0.78	5.33
19780119	0.34	-0.43	4.66
19780120	0.29	0.39	4.11
19780121	7.61	2.16	3.95
19780122	15.57	0.04	6.03
19780123	7.48	0.54	5.6
19780124	25.0	2.07	7.38
19780125	2.09	-0.16	8.0
19780126	0.2	-3.4	6.95
19780127	7.9	-2.9	5.96
19780128	26.11	-0.98	5.49
19780129	5.41	-1.76	4.72
19780130	4.92	-3.32	4.28
19780131	7.61	0.22	3.88
19780201	7.13	1.15	4.04
19780202	5.58	1.44	4.6
19780203	2.9	2.7	4.77
19780204	1.83	3.57	5.69
19780205	3.18	2.48	6.0
19780206	15.25	1.94	6.74
19780207	1.53	2.67	7.73
19780208	2.3	-2.15	6.92
19780209	0.09	-2.31	5.92
19780210	0.31	-3.36	5.06
19780211	0.28	-5.14	4.36
19780212	4.3	-3.5	3.83
19780213	2.97	-2.87	3.44
19780214	0.61	-4.27	3.08
19780215	0.3	-4.66	2.74
19780216	1.47	-4.27	2.45
19780217	0.94	-6.05	2.21
