date	precipitation	temperature	discharge_spec
20000301	9.41	1.59	6.61
20000302	15.87	2.45	7.99
20000303	2.57	-0.83	7.58
20000304	5.82	1.55	6.48
20000305	14.14	5.95	8.59
20000306	50.71	6.64	15.79
20000307	24.7	7.03	21.18
20000308	31.5	5.9	21.52
20000309	13.28	5.84	20.77
20000310	21.68	7.03	23.34
20000311	1.99	6.41	20.19
20000312	6.54	7.73	17.29
20000313	8.53	3.2	16.49
20000314	9.34	2.93	14.13
20000315	0.95	6.83	12.94
20000316	1.02	7.19	11.09
20000317	3.41	3.2	9.94
20000318	0.03	6.3	8.74
20000319	1.5	9.57	7.53
20000320	16.0	4.99	7.24
20000321	1.51	3.29	7.89
20000322	0.1	2.15	6.71
20000323	0.61	4.06	5.88
20000324	0.48	3.71	5.03
20000325	0.06	3.7	4.42
20000326	0.13	5.01	3.94
20000327	0.01	3.14	3.52
20000328	0.0	5.08	3.16
20000329	0.0	6.37	2.85
20000330	0.0	6.35	2.6
20000331	12.66	4.68	2.46
20000401	10.0	0.57	2.67
20000402	4.75	-1.49	2.76
20000403	4.26	-0.89	2.67
20000404	2.56	1.87	2.65
20000405	0.02	4.83	2.71
20000406	0.0	5.53	2.63
20000407	0.95	6.35	2.5
20000408	0.01	5.88	2.44
20000409	0.62	5.34	2.3
20000410	11.12	3.19	2.25
20000411	16.78	3.09	2.69
20000412	24.79	2.42	4.65
20000413	12.53	1.88	5.32
20000414	0.06	2.7	5.25
20000415	0.23	3.67	4.8
20000416	0.1	1.49	4.31
20000417	0.94	3.89	3.89
20000418	0.71	3.54	3.57
20000419	2.98	7.36	3.31
20000420	0.23	9.15	3.11
20000421	6.52	6.9	2.98
20000422	0.17	7.21	2.81
20000423	7.33	7.62	2.7
20000424	1.9	2.71	2.78
20000425	0.76	4.07	2.67
20000426	11.12	4.4	2.51
20000427	0.09	7.87	2.59
20000428	0.01	7.93	2.51
20000429	0.0	10.0	2.34
20000430	0.0	7.2	2.18
20000501	0.02	8.1	2.02
20000502	0.0	10.93	1.87
20000503	0.0	7.34	1.73
20000504	0.0	9.41	1.6
20000505	0.0	9.19	1.51
20000506	0.0	10.98	1.36
20000507	0.39	11.12	1.26
20000508	0.0	12.99	1.19
20000509	0.0	11.92	1.11
20000510	0.02	9.02	1.07
20000511	0.0	10.02	1.01
20000512	0.0	11.31	0.94
20000513	0.0	13.9	0.85
20000514	0.0	17.96	0.8
20000515	0.07	11.6	0.75
20000516	2.67	8.5	0.73
20000517	11.99	7.96	0.74
20000518	16.32	6.72	0.91
20000519	1.51	6.02	1.41
20000520	2.28	8.76	1.46
20000521	0.74	7.38	1.38
20000522	4.36	7.3	1.28
20000523	5.99	8.29	1.27
20000524	4.17	5.81	1.42
20000525	1.91	5.98	1.49
20000526	3.3	5.14	1.52
20000527	9.0	6.74	1.82
20000528	8.99	5.57	2.28
20000529	5.92	6.83	2.38
20000530	5.42	6.9	2.49
20000531	3.24	8.84	2.44
20000601	3.72	8.71	2.35
20000602	0.0	7.12	2.38
20000603	0.0	7.72	2.21
20000604	0.0	7.43	1.98
20000605	0.01	8.5	1.77
20000606	5.56	8.59	1.6
20000607	0.85	8.59	1.5
20000608	2.27	10.44	1.43
20000609	0.31	11.08	1.3
20000610	3.63	10.55	1.22
20000611	9.39	10.16	1.18
20000612	17.81	10.59	1.79
20000613	9.75	9.35	3.04
20000614	5.78	9.21	3.16
20000615	0.84	7.17	2.8
20000616	1.33	12.33	2.56
20000617	0.5	12.05	2.33
20000618	3.67	13.21	2.15
20000619	0.01	14.15	2.02
20000620	1.68	14.35	1.87
20000621	12.77	10.02	2.13
20000622	21.51	9.22	3.9
20000623	7.98	7.9	5.94
20000624	0.21	7.48	5.73
20000625	0.0	6.7	4.64
20000626	0.0	10.56	4.12
20000627	0.22	11.99	3.74
20000628	0.0	10.47	3.43
20000629	0.01	9.81	3.11
20000630	0.64	9.63	2.81
20000701	0.08	12.3	2.56
20000702	0.0	12.36	2.35
20000703	0.0	13.65	2.13
20000704	0.12	10.17	1.94
20000705	0.02	8.4	1.71
20000706	4.65	10.54	1.5
20000707	19.67	9.69	2.02
20000708	1.62	10.28	3.14
20000709	9.05	10.01	3.11
20000710	3.76	7.83	3.26
20000711	0.0	7.75	2.99
20000712	12.18	11.44	2.71
20000713	5.59	10.13	3.08
20000714	1.22	8.7	3.57
20000715	0.01	9.06	3.36
20000716	0.0	9.43	3.03
20000717	0.0	14.65	2.75
20000718	0.21	14.31	2.49
20000719	0.08	13.01	2.29
20000720	0.01	13.51	2.12
20000721	0.0	14.56	1.95
20000722	0.0	15.51	1.81
20000723	0.0	13.86	1.64
20000724	0.01	12.35	1.47
20000725	1.44	12.97	1.34
20000726	0.0	15.24	1.23
20000727	0.09	15.3	1.12
20000728	0.09	14.73	1.02
20000729	0.01	13.82	0.95
20000730	0.09	13.9	0.9
20000731	0.0	15.96	0.87
20000801	8.52	12.58	0.8
20000802	0.35	13.92	0.78
20000803	0.21	11.65	0.72
20000804	2.15	13.3	0.68
20000805	7.09	14.84	0.69
20000806	0.33	11.65	0.78
20000807	13.3	11.73	0.92
20000808	6.48	14.13	1.27
20000809	13.79	14.89	1.78
20000810	4.83	11.16	3.42
20000811	0.58	14.6	3.29
20000812	4.4	13.61	2.94
20000813	1.3	15.22	2.72
20000814	5.76	13.05	2.59
20000815	1.32	11.93	2.35
20000816	2.24	11.71	1.83
20000817	1.26	10.96	1.87
20000818	3.69	10.88	1.86
20000819	4.92	10.8	1.82
20000820	6.87	10.24	1.82
20000821	0.22	10.16	1.8
20000822	0.0	9.64	1.72
20000823	6.29	12.76	1.64
20000824	0.45	11.83	2.22
20000825	6.98	15.15	2.25
20000826	22.92	14.45	3.23
20000827	0.55	12.73	3.29
20000828	0.25	11.29	2.79
20000829	0.0	9.8	2.55
20000830	1.69	12.75	2.35
20000831	5.95	11.86	2.27
20000901	1.43	11.47	2.21
20000902	0.02	8.58	2.09
20000903	0.0	9.47	1.98
20000904	6.42	13.83	1.89
20000905	13.65	12.88	1.86
20000906	4.71	11.38	2.4
20000907	8.22	12.45	2.55
20000908	5.57	11.64	2.84
20000909	5.68	10.75	2.84
20000910	0.1	11.1	2.8
20000911	0.99	11.16	2.61
20000912	0.85	10.09	2.42
20000913	1.02	10.32	2.33
